entrez	group
7503	Adipose-Subcutaneous_female
7403	Adipose-Subcutaneous_female
8242	Adipose-Subcutaneous_female
80000	Adipose-Subcutaneous_male
9189	Adipose-Subcutaneous_male
4267	Adipose-Subcutaneous_male
285095	Adipose-Subcutaneous_male
137868	Adipose-Subcutaneous_male
401577	Adipose-Subcutaneous_male
122042	Adipose-Subcutaneous_male
29842	Adipose-Subcutaneous_male
10699	Adipose-Subcutaneous_male
10164	Adipose-Subcutaneous_male
100288077	Adipose-Subcutaneous_male
246777	Adipose-Subcutaneous_male
285596	Adipose-Subcutaneous_male
107985433	Adipose-Subcutaneous_male
84432	Adipose-Subcutaneous_male
8618	Adipose-Subcutaneous_male
55653	Adipose-Subcutaneous_male
55510	Adipose-Subcutaneous_male
10630	Adipose-Subcutaneous_male
207063	Adipose-Subcutaneous_male
29951	Adipose-Subcutaneous_male
27151	Adipose-Subcutaneous_male
79400	Adipose-Subcutaneous_male
1964	Adipose-Subcutaneous_female
6191	Adipose-Subcutaneous_female
7543	Adipose-Subcutaneous_female
94056	Adipose-Subcutaneous_female
1654	Adipose-Subcutaneous_female
8908	Adipose-Subcutaneous_female
8226	Adipose-Subcutaneous_female
8243	Adipose-Subcutaneous_female
8233	Adipose-Subcutaneous_female
8228	Adipose-Subcutaneous_female
55787	Adipose-Subcutaneous_female
414	Adipose-Subcutaneous_female
554203	Adipose-Subcutaneous_female
1968	Adipose-Subcutaneous_female
412	Adipose-Subcutaneous_female
7499	Adipose-Subcutaneous_female
340591	Adipose-Subcutaneous_female
5613	Adipose-Subcutaneous_female
7317	Adipose-Subcutaneous_female
256714	Adipose-Subcutaneous_female
6299	Adipose-Subcutaneous_female
79742	Adipose-Subcutaneous_female
54960	Adipose-Subcutaneous_female
8552	Adipose-Subcutaneous_female
1121	Adipose-Subcutaneous_female
54821	Adipose-Subcutaneous_female
219287	Adipose-Subcutaneous_male
4314	Adipose-Subcutaneous_male
30818	Adipose-Subcutaneous_male
117283	Adipose-Subcutaneous_male
139065	Adipose-Subcutaneous_male
7571	Adipose-Subcutaneous_male
100289097	Adipose-Subcutaneous_male
25975	Adipose-Subcutaneous_female
3563	Adipose-Subcutaneous_male
202134	Adipose-Subcutaneous_male
7567	Adipose-Subcutaneous_male
441161	Adipose-Subcutaneous_male
162282	Adipose-Subcutaneous_male
140730	Adipose-Subcutaneous_male
100132529	Adipose-Subcutaneous_male
8623	Adipose-Subcutaneous_male
101060146	Adipose-Subcutaneous_male
54102	Adipose-Subcutaneous_male
2334	Adipose-Subcutaneous_male
63951	Adipose-Subcutaneous_male
284654	Adipose-Subcutaneous_male
79183	Adipose-Subcutaneous_male
3776	Adipose-Subcutaneous_male
6096	Adipose-Subcutaneous_male
11238	Adipose-Subcutaneous_female
145173	Adipose-Subcutaneous_male
101926892	Adipose-Subcutaneous_male
8260	Adipose-Subcutaneous_female
28227	Adipose-Subcutaneous_male
952	Adipose-Subcutaneous_male
337867	Adipose-Subcutaneous_male
1800	Adipose-Subcutaneous_male
293	Adipose-Subcutaneous_male
9337	Adipose-Subcutaneous_male
100	Adipose-Subcutaneous_male
9645	Adipose-Subcutaneous_male
10345	Adipose-Subcutaneous_female
477	Adipose-Subcutaneous_male
4887	Adipose-Subcutaneous_male
148	Adipose-Subcutaneous_male
100996842	Adipose-Subcutaneous_male
8622	Adipose-Subcutaneous_male
1734	Adipose-Subcutaneous_male
80339	Adipose-Subcutaneous_male
100505738	Adipose-Subcutaneous_male
8225	Adipose-Subcutaneous_male
6691	Adipose-Subcutaneous_male
53358	Adipose-Subcutaneous_male
5931	Adipose-Subcutaneous_female
3209	Adipose-Subcutaneous_female
8227	Adipose-Subcutaneous_male
92840	Adipose-Subcutaneous_female
148534	Adipose-Subcutaneous_male
8239	Adipose-Subcutaneous_female
9333	Adipose-Subcutaneous_male
8481	Adipose-Subcutaneous_female
79611	Adipose-Subcutaneous_female
2590	Adipose-Subcutaneous_male
10544	Adipose-Subcutaneous_male
64785	Adipose-Subcutaneous_male
5754	Adipose-Subcutaneous_female
65009	Adipose-Subcutaneous_male
5549	Adipose-Subcutaneous_male
