experiment	run	sex	age_group	fold
ERP016243	ERR1473074	male	fetus	1
ERP016243	ERR1473144	female	fetus	1
ERP016243	ERR1473178	male	fetus	1
ERP016243	ERR1473179	male	fetus	1
ERP016243	ERR1473218	male	fetus	1
ERP016243	ERR1473219	male	fetus	1
ERP016243	ERR1473234	male	fetus	1
ERP016243	ERR1473235	male	fetus	1
ERP016243	ERR1473251	male	fetus	1
ERP016243	ERR1473271	male	fetus	1
ERP016243	ERR1473272	male	fetus	1
ERP016243	ERR1473274	male	fetus	1
ERP016243	ERR1473315	female	fetus	1
ERP016243	ERR1473331	female	fetus	1
ERP016243	ERR1473358	female	fetus	1
ERP016243	ERR1473371	male	fetus	1
ERP016243	ERR1473372	male	fetus	1
ERP016243	ERR1473389	female	fetus	1
ERP016243	ERR1473390	male	fetus	1
ERP016243	ERR1473416	female	fetus	1
ERP016243	ERR1473436	female	fetus	1
ERP016243	ERR1473501	female	fetus	1
ERP016243	ERR1473516	female	fetus	1
ERP016243	ERR1473543	male	fetus	1
ERP016243	ERR1473549	male	fetus	1
ERP016243	ERR1473550	male	fetus	1
ERP016243	ERR1473558	male	fetus	1
ERP016243	ERR1473559	male	fetus	1
ERP016243	ERR1473560	male	fetus	1
ERP016243	ERR1473562	male	fetus	1
ERP016243	ERR1473567	male	fetus	1
ERP016243	ERR1473569	female	fetus	1
ERP016243	ERR1473570	male	fetus	1
ERP016243	ERR1473571	male	fetus	1
ERP016243	ERR1473572	male	fetus	1
ERP016243	ERR1473579	male	fetus	1
ERP016243	ERR1473600	male	fetus	1
ERP016243	ERR1473601	male	fetus	1
ERP017549	ERR1679571	female	fetus	3
ERP017549	ERR1679572	female	fetus	3
ERP017549	ERR1679573	female	fetus	3
ERP017549	ERR1679574	female	fetus	3
ERP017549	ERR1679575	female	fetus	3
ERP017549	ERR1679577	female	fetus	3
ERP017549	ERR1679578	male	fetus	3
ERP107424	ERR2383113	male	fetus	2
ERP107424	ERR2383114	male	fetus	2
ERP107424	ERR2383115	male	fetus	2
ERP107424	ERR2383116	female	fetus	2
ERP107424	ERR2383117	female	fetus	2
ERP107424	ERR2383118	female	fetus	2
ERP107424	ERR2383119	male	fetus	2
ERP107424	ERR2383120	male	fetus	2
ERP107424	ERR2383121	male	fetus	2
ERP107424	ERR2383122	male	fetus	2
ERP107424	ERR2383123	male	fetus	2
ERP107424	ERR2383124	male	fetus	2
ERP107424	ERR2383125	male	fetus	2
ERP107424	ERR2383126	male	fetus	2
ERP107424	ERR2383127	male	fetus	2
ERP107424	ERR2383128	female	fetus	2
ERP107424	ERR2383129	female	fetus	2
ERP107424	ERR2383130	female	fetus	2
ERP107424	ERR2383131	male	fetus	2
ERP107424	ERR2383132	male	fetus	2
ERP107424	ERR2383133	male	fetus	2
ERP107424	ERR2383134	male	fetus	2
ERP107424	ERR2383135	male	fetus	2
ERP107424	ERR2383136	male	fetus	2
ERP107424	ERR2383137	male	fetus	2
ERP107424	ERR2383138	male	fetus	2
ERP107424	ERR2383139	male	fetus	2
ERP107424	ERR2383140	male	fetus	2
ERP107424	ERR2383141	male	fetus	2
ERP107424	ERR2383142	male	fetus	2
ERP107424	ERR2383143	female	fetus	2
ERP107424	ERR2383144	female	fetus	2
ERP107424	ERR2383145	female	fetus	2
ERP107424	ERR2383146	male	fetus	2
ERP107424	ERR2383147	male	fetus	2
ERP107424	ERR2383148	male	fetus	2
ERP107424	ERR2383149	female	fetus	2
ERP107424	ERR2383150	female	fetus	2
ERP107424	ERR2383151	female	fetus	2
ERP107424	ERR2383152	male	fetus	2
ERP107424	ERR2383153	male	fetus	2
ERP107424	ERR2383154	male	fetus	2
ERP107424	ERR2383155	male	fetus	2
ERP107424	ERR2383156	male	fetus	2
ERP107424	ERR2383157	male	fetus	2
ERP107424	ERR2383158	male	fetus	2
ERP107424	ERR2383159	male	fetus	2
ERP107424	ERR2383160	male	fetus	2
ERP107424	ERR2383162	male	fetus	2
ERP107424	ERR2383163	male	fetus	2
ERP107424	ERR2383164	male	fetus	2
ERP107424	ERR2383165	male	fetus	2
ERP107424	ERR2383166	male	fetus	2
ERP107424	ERR2383167	female	fetus	2
ERP107424	ERR2383168	female	fetus	2
ERP107424	ERR2383169	female	fetus	2
ERP107424	ERR2383170	female	fetus	2
ERP107424	ERR2383171	female	fetus	2
ERP107424	ERR2383172	female	fetus	2
ERP107424	ERR2383173	male	fetus	2
ERP107424	ERR2383174	male	fetus	2
ERP107424	ERR2383175	male	fetus	2
ERP107424	ERR2383176	female	fetus	2
ERP107424	ERR2383177	female	fetus	2
ERP107424	ERR2383178	female	fetus	2
ERP107424	ERR2383179	male	fetus	2
ERP107424	ERR2383180	male	fetus	2
ERP107424	ERR2383181	male	fetus	2
SRP048556	SRR1593953	male	fetus	1
SRP048556	SRR1593954	male	fetus	1
SRP050260	SRR1663121	male	fetus	2
SRP050260	SRR1663122	male	fetus	2
SRP050260	SRR1663123	male	fetus	2
SRP050260	SRR1663124	male	fetus	2
SRP050260	SRR1663126	male	fetus	2
SRP056835	SRR1951554	male	fetus	3
SRP056835	SRR1951555	male	fetus	3
SRP056835	SRR1951561	male	fetus	3
SRP013825	SRR514127	male	fetus	3
SRP013825	SRR514129	female	fetus	3
SRP013825	SRR514131	male	fetus	3
SRP013825	SRR514133	male	fetus	3
SRP013825	SRR514135	female	fetus	3
SRP013825	SRR514136	male	fetus	3
SRP013825	SRR514137	male	fetus	3
SRP013825	SRR514139	male	fetus	3
SRP013825	SRR514140	female	fetus	3
SRP013825	SRR514141	female	fetus	3
SRP013825	SRR514142	male	fetus	3
SRP013825	SRR514143	male	fetus	3
SRP013825	SRR514145	male	fetus	3
SRP013825	SRR514147	female	fetus	3
SRP013825	SRR514148	male	fetus	3
SRP013825	SRR514149	male	fetus	3
SRP013825	SRR514150	male	fetus	3
SRP096593	SRR5168826	female	fetus	1
SRP096593	SRR5168827	female	fetus	1
SRP006575	SRR537119	female	fetus	2
SRP006575	SRR537120	female	fetus	2
SRP006575	SRR537122	female	fetus	2
ERP109940	ERR2704713	female	fetus	2
ERP109940	ERR2704714	male	fetus	2
ERP109940	ERR2704715	male	fetus	2
ERP109940	ERR2704716	male	fetus	2
ERP109940	ERR2704718	female	fetus	2
ERP109940	ERR2704719	male	fetus	2
ERP109940	ERR2704720	female	fetus	2
SRP083134	SRR4199325	male	fetus	2
SRP083134	SRR4199326	male	fetus	2
SRP083134	SRR4199327	male	fetus	2
SRP083134	SRR4199328	male	fetus	2
SRP083134	SRR4199330	male	fetus	2
SRP083134	SRR4199334	male	fetus	2
SRP083134	SRR4199336	male	fetus	2
SRP083134	SRR4199340	male	fetus	2
SRP083134	SRR4199342	male	fetus	2
SRP083134	SRR4199344	male	fetus	2
SRP125998	SRR6338846	male	fetus	3
SRP125998	SRR6338858	female	fetus	3
SRP125998	SRR6338859	female	fetus	3
SRP125998	SRR6338860	female	fetus	3
SRP125998	SRR6338884	female	fetus	3
SRP131252	SRR6509780	female	fetus	2
SRP131252	SRR6509781	female	fetus	2
SRP131252	SRR6509782	male	fetus	2
SRP131252	SRR6509783	male	fetus	2
SRP186861	SRR8632198	female	fetus	2
SRP186861	SRR8632199	female	fetus	2
SRP186861	SRR8632200	female	fetus	2
SRP186861	SRR8632201	female	fetus	2
SRP186861	SRR8632202	female	fetus	2
SRP186861	SRR8632203	female	fetus	2
SRP186861	SRR8632204	female	fetus	2
SRP186861	SRR8632205	female	fetus	2
SRP186861	SRR8632206	female	fetus	2
SRP186861	SRR8632207	female	fetus	2
SRP186861	SRR8632208	female	fetus	2
SRP186861	SRR8632209	female	fetus	2
SRP186861	SRR8632210	female	fetus	2
SRP186861	SRR8632211	female	fetus	2
SRP186861	SRR8632212	female	fetus	2
SRP186861	SRR8632213	female	fetus	2
SRP186861	SRR8632214	female	fetus	2
SRP186861	SRR8632215	female	fetus	2
SRP186861	SRR8632216	female	fetus	2
SRP186861	SRR8632217	female	fetus	2
SRP186861	SRR8632218	female	fetus	2
SRP186861	SRR8632219	female	fetus	2
SRP186861	SRR8632220	female	fetus	2
SRP186861	SRR8632221	female	fetus	2
SRP186861	SRR8632222	female	fetus	2
SRP186861	SRR8632223	female	fetus	2
SRP186861	SRR8632224	female	fetus	2
SRP186861	SRR8632225	female	fetus	2
SRP126077	SRR6343635	male	fetus	2
SRP126077	SRR6343637	male	fetus	2
SRP128898	SRR6463487	female	fetus	2
SRP128898	SRR6463488	female	fetus	2
SRP128898	SRR6463492	female	fetus	2
SRP128898	SRR6463493	female	fetus	2
SRP128898	SRR6463495	female	fetus	2
SRP128898	SRR6463496	female	fetus	2
SRP128898	SRR6463498	female	fetus	2
SRP128898	SRR6463499	female	fetus	2
SRP128898	SRR6463501	female	fetus	2
SRP128898	SRR6463504	male	fetus	2
SRP128898	SRR6463505	male	fetus	2
SRP128898	SRR6463506	male	fetus	2
SRP128898	SRR6463507	male	fetus	2
SRP128898	SRR6463509	male	fetus	2
SRP128898	SRR6463511	male	fetus	2
SRP128898	SRR6463521	male	fetus	2
SRP128898	SRR6463523	male	fetus	2
SRP128898	SRR6463525	male	fetus	2
SRP128940	SRR6466413	female	fetus	3
SRP128940	SRR6466418	female	fetus	3
SRP128940	SRR6466419	female	fetus	3
SRP128940	SRR6466421	female	fetus	3
SRP128940	SRR6466422	female	fetus	3
SRP128940	SRR6466424	female	fetus	3
SRP128940	SRR6466425	female	fetus	3
SRP128940	SRR6466427	female	fetus	3
SRP128940	SRR6466430	male	fetus	3
SRP128940	SRR6466431	male	fetus	3
SRP128940	SRR6466432	male	fetus	3
SRP128940	SRR6466433	male	fetus	3
SRP128940	SRR6466435	male	fetus	3
SRP128940	SRR6466437	male	fetus	3
SRP128940	SRR6466442	male	fetus	3
SRP128940	SRR6466444	male	fetus	3
SRP128940	SRR6466447	male	fetus	3
SRP128940	SRR6466451	male	fetus	3
SRP055967	SRR1926136	male	fetus	3
SRP055967	SRR1926133	male	fetus	3
SRP055967	SRR1926134	male	fetus	3
SRP055967	SRR1867792	male	fetus	3
SRP055967	SRR1926132	male	fetus	3
SRP031868	SRR1057974	female	fetus	1
SRP031868	SRR1015608	female	fetus	1
SRP031868	SRR1057973	female	fetus	1
SRP031868	SRR1015609	female	fetus	1
SRP031868	SRR1057975	male	fetus	1
SRP031868	SRR1057976	male	fetus	1
SRP031868	SRR1057993	female	fetus	1
SRP031868	SRR1057977	female	fetus	1
SRP072769	SRR3322276	female	infant	2
SRP072769	SRR3322275	female	infant	2
SRP072769	SRR3322288	female	infant	2
SRP072769	SRR3322287	female	infant	2
SRP062609	SRR2175399	female	infant	3
SRP062609	SRR2175475	female	infant	3
SRP062609	SRR2175474	female	infant	3
SRP053274	SRR2984383	female	infant	3
SRP053274	SRR2984386	female	infant	3
