gene	male_child_1
1	0
10	0
100	0
1000	0
10000	0
100009676	0.00982110283708029
10001	0
10002	0
10003	-0.00103580362962751
10004	0
100048912	0
10005	0
10006	0
10007	0
10008	0.01381956380753986
10009	0.001999900249211
100093630	0
100093698	0
1001	0
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	0
100126791	0
100126793	-0.02577165891329393
100127888	0
100127983	0
100128025	0
100128071	0
100128098	0
100128124	0
100128126	0
100128139	0
100128164	-0.01425490182952983
100128191	0
100128239	0.00547643482635664
100128325	0.00322485423209936
100128554	0
100128590	0.0953579364931222
100128640	0
100128731	0
100128750	0
100128782	-0.01043901320790738
100128788	0
100128881	0
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	-0.00401962773660747
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	-0.00740908369330179
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0
100129792	-0.03101690682810944
100129794	0
100129827	-0.00201047210463091
100129845	0
100129858	-0.06354262082502123
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	-0.01285329045340989
100130476	-0.00903225038869797
100130519	0
100130522	-0.01671669797347421
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0
100130733	-0.02594236061015809
100130776	0
100130894	0
100130933	-0.00232950195827028
100130950	0
100130958	-0.02999103007419203
100130967	-0.00507035196853563
100131017	0
100131067	0
100131117	0
100131138	0
100131187	0
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.07334097005770408
100131496	0
100131655	0
100131691	-0.01049229591739967
100131755	-0.0274942860738587
100131801	-0.00594371988999728
100131814	0.01315933050279855
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.02375581642447847
100133205	0
100133311	0
100133461	0
100133612	0
100133941	-0.01469239238234922
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	0
100141515	-0.03566613748548391
100144597	0
100144602	0
100144603	0
100144748	0.00775777267508643
10015	0
10016	0.00338599374963153
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	-0.01034043779314713
100188893	0
100188953	0
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0.00459990751484599
10021	0
10022	0
10023	0
10024	0.00963754601109835
10025	0.00941718987324255
10026	0
100268168	0
100270679	0
100272147	-0.01736909487120156
100286844	0
100287015	0
100287114	0
100287177	0
100287366	0
100287482	0
100287569	0
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0
100289097	0
100289098	0.00890448563800662
100289187	0
100289274	-0.00752091274542899
100289341	0
100289373	0
100289495	0
100289635	-0.00396912097060508
100289678	0
100292680	0
100293516	-0.01561717894548932
100294362	0
100294720	0
1003	0
100302691	0
100303728	0
100303755	0
100306951	-0.0055415811825868
100316904	0
100329135	0
100359394	0
10036	-0.00914779176230847
100379174	0
10038	0
