gene	female_adolescent_1
1	-0.0684734693041226
10	0
100	0.00262004474377875
1000	0
10000	-0.00141321772021513
100009676	0.0022751455768543
10001	0
10002	0
10003	0.01576035619123025
10004	-0.02045254575077841
100048912	-0.02664971863397245
10005	0
10006	0
10007	0.04625559834148601
10008	0.00974806137934943
10009	0
100093630	0
100093698	0
1001	0.01921751793700846
10010	0
100101467	0.01200395698775463
100101938	0
10011	0.01708664505590789
100113407	0
100124700	0
100125288	0.00598000961382866
100126791	0
100126793	0.00586178959446287
100127888	0
100127983	0
100128025	0
100128071	0
100128098	0.0174451370522079
100128124	-0.00679730620889023
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	-0.02525546280117537
100128554	0
100128590	-0.0110822821737475
100128640	0
100128731	0.0059292991653565
100128750	0
100128782	0.00731650185641506
100128788	0
100128881	0
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	-0.01517699430166971
100129250	0
100129271	0
100129361	0
100129427	0
100129461	-5.0495227353345e-4
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	0.00598568849883863
100129716	0
100129722	0
100129726	0
100129792	0
100129794	0
100129827	0
100129845	0
100129858	0
100129917	-0.0615774821747302
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0.02416443737144942
100130476	0
100130519	0
100130522	-0.01495125531932194
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0
100130733	-0.01837942556196159
100130776	0.01912029866357681
100130894	0
100130933	0
100130950	-0.04606588240574299
100130958	0
100130967	0
100131017	-0.02933373073069926
100131067	-0.01419920481451124
100131117	0.00559600654444982
100131138	0
100131187	-0.01310177962117401
100131211	-0.02275738120196125
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.01394817045754061
100131496	0
100131655	0
100131691	0
100131755	0
100131801	-0.00574102858991034
100131814	0.00727713374832523
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.02682441528771318
100133205	0
100133311	0
100133461	0
100133612	-0.00521247397114172
100133941	0.04316735787714525
100133985	0
100134229	-0.01391766888102009
100134259	0
100134368	0
100134713	0
100137047	-0.02157575179572044
10014	0.0046136054639762
100141515	0
100144597	0
100144602	0
100144603	-0.01860683032974036
100144748	0
10015	0.02295533489856906
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0.01060891707516306
100188893	0
100188953	0.01277043479745277
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	-0.01698299564156137
10024	0.02977951207261706
10025	0
10026	-0.03871526407020652
100268168	0
100270679	0
100272147	-0.03406321333411175
100286844	0
100287015	0
100287114	0
100287177	0
100287366	0
100287482	0
100287569	0
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0.01103523770189823
100288797	0
100289092	-0.00192554584261704
100289097	0
100289098	0.06703422614511542
100289187	0
100289274	0
100289341	-0.00477388897110356
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0.00976927025461905
100294362	-0.01691022974120093
100294720	0
1003	0.01278462415236984
100302691	0
100303728	0.0066805777425932
100303755	-0.02012602407857438
100306951	-0.01619096039651177
100316904	0
100329135	0
100359394	0
10036	0.00409693296193437
100379174	0
10038	0.01700721182174225
100381270	-0.05898265318837076
10039	-0.04264165986866852
