gene	female_adult_3
1	-0.01030400341790822
10	0
100	0
1000	-0.04151533581088841
10000	0
100009676	0
10001	0
10002	0
10003	-2.4407451329004e-4
10004	0
100048912	0.02463884793545047
10005	-0.00217820148664711
10006	0
10007	0
10008	0.01111407059176083
10009	0.01715340881236396
100093630	0
100093698	0
1001	-1.1548089031018e-4
10010	-0.01127189206835287
100101467	0
100101938	0
10011	0
100113407	-0.00963421003945012
100124700	0
100125288	-0.02412849201895044
100126791	0
100126793	0
100127888	-0.00472420862578666
100127983	0
100128025	0
100128071	0.0335216336443951
100128098	0
100128124	0
100128126	0
100128139	0
100128164	-0.0031182569581923
100128191	0
100128239	-0.04426717357407577
100128325	-0.05994923846315622
100128554	0
100128590	-0.06199039610522039
100128640	0
100128731	0
100128750	0
100128782	0.05498413014337385
100128788	0
100128881	-0.01358774954922754
100128893	-0.00161942549077014
100128927	0
100128946	0
100129128	0.00827217367741518
100129175	0
100129195	0
100129196	0
100129250	0
100129271	0
100129361	0.01058198678769424
100129427	0
100129461	-0.00586577636761944
100129482	0
100129503	0
100129550	0.0160409906894521
100129597	0
100129620	0
100129654	0
100129662	0
100129716	-0.04582603391417018
100129722	0
100129726	0
100129792	0
100129794	0
100129827	-0.1138547816229594
100129845	0
100129858	0.03693225965875029
100129917	-0.06634523294970623
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.00530336324230256
100130449	0
100130476	0
100130519	-0.001551594333151
100130522	0.03736578348801282
100130548	0
100130613	0
100130691	0.00491415983670187
100130705	0
100130717	0.03266914692078471
100130733	0.01553629503409809
100130776	0
100130894	0
100130933	0
100130950	0
100130958	-0.01808014721595512
100130967	0.03500203715793926
100131017	-0.00163426358006351
100131067	0.01940705673735052
100131117	-0.0230019201253039
100131138	0
100131187	0.00986615086850238
100131211	0.00278352281967252
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.04123749370890718
100131496	0
100131655	0.01541674952126886
100131691	0
100131755	-0.07304126757801672
100131801	0
100131814	-0.00276547662028998
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.06115854268133641
100133205	0
100133311	0
100133461	0
100133612	0
100133941	-0.05102649084523288
100133985	0.01770427948327052
100134229	0
100134259	-0.00569932578547121
100134368	0
100134713	0
100137047	0
10014	0
100141515	-0.02564375651148412
100144597	0
100144602	0
100144603	0
100144748	0
10015	-0.03761660837233857
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0.00470249825138422
100188893	0
100188953	-0.00747113876512938
100189589	0
10019	0.03201145809273095
100190938	0
100192379	0
100192386	0
1002	0
10020	0.02300956327000401
10021	0
10022	0
10023	0
10024	-0.09351601038418784
10025	-0.00174830918160933
