gene	female_old_adult_2
1	0.00836479615073364
10	0
100	-3.694871722584e-4
1000	0
10000	0.03346888608391945
100009676	0
10001	0
10002	0
10003	0
10004	0.00177143578438279
100048912	0
10005	0
10006	0
10007	0
10008	0
10009	0
100093630	-0.00584279250379207
100093698	0
1001	0
10010	0.01380766143302261
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	-0.00904832992838926
100126791	0
100126793	-0.00179301757254952
100127888	0
100127983	0
100128025	0
100128071	0
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0.03217262345715587
100128554	0
100128590	0
100128640	0
100128731	-0.02928965534320373
100128750	0
100128782	-0.01048959364370651
100128788	0
100128881	-0.03302352989042592
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	-0.02675835251728345
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	-0.00894183128350119
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0
100129792	0
100129794	0
100129827	0.00287184413578392
100129845	0
100129858	0
100129917	0
100129935	0
10013	-0.00472407563418647
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	-9.0247248565177e-4
100130519	0
100130522	-1.4867681511184333e-5
100130548	0
100130613	0
100130691	0.01292988137219298
100130705	0
100130717	0
100130733	-0.02374248424079463
100130776	0
100130894	0
100130933	0
100130950	-0.01348493279477194
100130958	0
100130967	0
100131017	0
100131067	0.01444446353160687
100131117	0
100131138	0
100131187	0
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	-0.00344535739362894
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.01712434386497912
100133205	0
100133311	0
100133461	0
100133612	0
100133941	-0.02542939770299199
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	0
100141515	0.03809272266645446
100144597	0
100144602	0
100144603	0
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0
100188893	0
100188953	0
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	-0.00326152531621921
10021	0
10022	0
10023	0
10024	0
10025	-0.0265648243032707
10026	-0.02495658833658009
100268168	0
100270679	0
100272147	0
100286844	0
100287015	-0.00611295202505059
100287114	0
100287177	0
100287366	0
100287482	-0.00418950661591996
100287569	-0.04524052015195514
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0.00427920010589189
100288797	0
100289092	0
100289097	0
100289098	-0.00222049569537855
100289187	0
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	0
100302691	0
100303728	0
100303755	0
100306951	-0.0336960529513661
100316904	0
100329135	0
100359394	0
10036	0.00832914869762089
100379174	0
10038	0
100381270	0.00666461937382204
10039	0
1004	0
10040	0
10042	0
100422737	0.0035727448475702
10043	0
10044	0
10045	0
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0
100500850	0.10151674160713164
100505474	0
100505478	0
100505495	0
100505501	0
100505515	0
100505538	0
100505540	0
100505545	0
100505549	-0.00155247937127358
100505573	-0.00337457421519478
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	0
100505641	0
100505658	0
100505659	0.01661748061220636
100505664	0
100505676	0
100505681	0.00227110076835964
100505685	0
100505687	0
100505696	0
100505715	0
100505718	0
100505738	0
100505741	0
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0
100505839	0
100505841	0
100505851	0
100505854	0
100505876	0
100505877	0
100505879	0
100505881	0
100505890	0
100505893	0
100505894	0
100505933	0
100505964	0.00474658591521245
100505967	0
100505975	0
100505978	0
100505984	0
100505985	0
100505989	0
100506012	0
100506013	0
100506022	0
100506025	0
100506049	0
100506068	0
100506071	0
100506082	0
100506083	0
100506098	0
100506100	0
100506107	0
100506108	0
100506113	0
100506115	0
100506119	0
100506122	0
100506125	0
100506126	0
100506127	0
100506142	-0.00975221317295203
100506144	0.01044868137880768
100506172	0
100506175	0
100506195	0.00758413460573518
100506207	-5.3834215646702e-4
100506215	0
100506229	-0.06378596172639428
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0
100506314	0
100506319	0
100506368	0
100506374	-0.03119704402440543
100506380	-0.01229252764379637
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	-0.01438992754533991
100506433	0
100506457	0.01842281720875494
100506462	0
100506465	0
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0
100506504	0
100506526	0
100506527	0
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0
100506599	0
100506603	-0.00676947962167291
100506606	0
100506622	0
100506655	0
100506660	0
100506668	0
100506675	-0.02928269683941937
100506677	0
100506679	0
100506680	0
100506686	0
100506691	0
100506696	0
100506697	0
100506710	0
100506713	-0.00870335742093793
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0
100506826	0
100506827	0
100506834	0
100506840	0
100506866	0
100506874	0
100506895	0
100506907	0
100506922	0
100506930	-0.0028245261618234
100506963	-0.00441765896796837
100506994	0
100506999	0
100507027	0
100507034	-0.00842935586779555
100507050	0
100507057	0.00713543951559769
100507058	0
100507059	0
100507062	0
100507064	0
100507086	0
100507114	0
100507117	0
100507143	0
100507156	0
100507171	0
100507173	0
100507203	0
100507206	0
100507240	0
100507246	0
100507250	0
100507254	0.02149598674568644
100507257	0
100507261	0
100507266	0.01004172661597486
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	0.00648178598155364
100507316	6.476525554629401e-5
100507331	0
100507336	0
100507362	0
100507384	0
100507388	0
100507389	0
100507391	0
100507392	-0.00781048783642498
100507403	0
100507421	0
100507423	0
100507428	0
100507433	-0.03153487433526282
100507436	0
100507459	0
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	0
100507477	0
100507487	0
100507495	0
100507506	0
100507524	0.00205159727953335
100507527	0
100507533	0
100507534	0
100507537	0
100507540	-0.0226905345706932
100507547	-0.00250854818768773
100507564	0
100507567	0
100507584	0
100507600	0
100507602	0
100507605	0
100507629	0
100507632	0
100507642	0
100507650	0
100508631	0
10051	0
10052	0
100526820	0
100528062	0
10053	0
100533106	0.00848991560395189
100533178	0
100533182	0
10054	-0.00359233148455221
10055	-0.00159187915156874
10056	-2.7247141202652e-4
10057	-0.00839440271343648
10058	0
10059	0
1006	0
10060	0
10061	0
10062	-0.02732129750444134
100628307	0
100631378	0
100652740	0
100652791	0
100652824	0
100652853	0
100652911	0
100652929	0
100652999	0
10066	0
10067	0
10068	-0.02076829242075861
10069	0
1007	0
10071	0
10072	-8.415519010328e-4
10073	0.00239394309703171
10075	0
10076	0
10077	0
10078	0
10079	0
1008	0
10081	0.00499285507715431
10082	0
100820829	0
10083	0
10084	0
10085	0
100852408	0
100852409	0
100859921	0
100859930	0
10086	0
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0
100862671	0.01569027242697068
100862679	0
100862680	0
100862704	0
10087	0
100873930	0
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0
100874253	0
100874323	8.5179772809194e-4
100874362	-0.02633097436928456
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0
10089	0
1009	0
10090	0.026937569102872
10092	0
10093	0
10095	0
10096	-5.9991152814894e-4
10097	0
10098	0.00445077154963131
10099	0
100996246	0
100996251	0
100996279	0
100996286	-0.04528386687819113
100996301	0
100996307	0.01880475025631201
100996342	0
100996419	0.00235802092577955
100996425	0
100996455	0
100996485	0
100996490	0
100996492	0
100996570	0
100996579	0.00550927047311098
100996590	0
100996624	0
100996671	0.01417346486404108
100996694	0
100996702	0
100996902	0
101	0
1010	-0.00557674423533305
10100	0.03669540646144408
10101	-0.00391805214597684
10102	0
10103	0
10105	-0.00827917003223189
101055625	-0.02895973192657803
101059948	0.00123316634013689
10106	0
101060019	0
101060200	0
101060264	0
101060544	0
10107	0
10109	0
10110	0
10111	0
10112	0.01152608838808836
10113	-0.01079180675767904
10114	0
10116	0
10117	0
1012	0
10120	0
10121	0
10123	0
10125	0
10126	0
10127	0
10128	0
10129	0
1013	0
10130	0
10131	-0.01245643762221597
10133	0.00533421886208827
10134	0
10135	0
10136	0
10137	0
10138	0.00796200652003552
10139	0
1014	0
10140	0
10141	0
101410533	0
101410538	0
10142	0
10143	0
10144	0.01302809816881567
10146	0
10147	0
10148	0
10149	0
1015	0
10150	0
10152	-0.00404812116916999
10153	0
10154	0
10155	0
101559451	-0.00949317430081408
10157	0
10158	-0.05359698065877183
10159	0
1016	0
10160	0
10161	0
10162	0
10163	-2.1417799737564e-4
10164	0
10165	-0.03346673244193742
10166	0
10168	0
10169	-0.01897500622850449
1017	0
10170	0
10171	-0.00447183709990273
10172	-0.02276472778493195
10174	0
10175	0
10178	-0.00931524203847558
10179	0
10180	0
101805491	0
10181	0
10184	0
10186	0
10188	0
10189	0
1019	0
10190	0
101926888	0
101926890	0
101926892	0
101926903	0
101926928	0
101926934	0
101926942	0
101926951	0
101926978	0
101926987	0
101927003	0
101927007	0
101927017	0
101927018	-0.00689750233410687
101927027	0
101927034	0
101927038	0
101927040	0
101927043	-0.00876525779622494
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	0
101927112	0
101927115	0
101927123	0
101927124	0
101927125	0
101927129	0
101927131	0
101927138	0
101927143	0
101927150	0
101927151	0
101927152	0
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	0
101927219	0
101927220	0
101927228	0
101927237	0
101927244	0
101927253	0
101927257	0
101927273	0
101927274	0
101927275	0.01459246872371489
101927282	0
101927286	0
101927292	0
101927295	0
101927310	0
101927314	0
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	0
101927420	-0.00328815018982989
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	0
101927482	0
101927494	0
101927495	0
101927498	0
101927502	0
101927503	0
101927513	0
101927523	0
101927526	0
101927528	0
101927531	0
101927539	0
101927543	0
101927547	-0.01614811283422736
101927553	0.00464373891281865
101927565	0
101927581	0
101927586	0
101927587	0
101927588	0
101927592	0
101927599	-0.01748183431449515
101927606	0
101927616	0
101927636	0
101927641	0
101927650	0
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	0
101927720	0
101927722	0
101927735	0
101927760	0
101927766	0
101927769	0
101927787	0
101927798	0
101927808	0
101927809	0
101927815	0
101927821	0
101927828	0
101927829	0
101927839	0
101927843	0
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0
101927900	0
101927901	0
101927907	0
101927914	0
101927934	0
101927943	0
101927948	0.00192233063888406
101927950	0
101927953	0
101927972	0
101927974	0
101927992	0
101927994	0
101928000	0
101928002	0
101928009	0
101928012	0
101928031	0
101928035	0
101928040	0
101928043	0
101928052	0
