gene	female_young_adult_2
1	0
10	0
100	0
1000	-0.05030561694388717
10000	-0.04623554031943759
100009676	0
10001	0
10002	0
10003	0
10004	0
100048912	-0.03663153000626046
10005	0
10006	0
10007	-0.00114872235953772
10008	-0.00537669242143715
10009	0
100093630	-0.02727504303448992
100093698	0
1001	0.00256038956501117
10010	0
100101467	0
100101938	0
10011	-0.01487054657290474
100113407	-0.00529472181522722
100124700	0
100125288	-0.01991103331515514
100126791	0
100126793	9.748049591149938e-6
100127888	0
100127983	-0.01527814132802159
100128025	0
100128071	-0.01957850715660243
100128098	-0.01515796110178877
100128124	0
100128126	0
100128139	0
100128164	-0.01096520670202547
100128191	0
100128239	0.00632627870405147
100128325	0.05639609509278871
100128554	0
100128590	0.01485590677799068
100128640	0
100128731	0.02804804798315271
100128750	0
100128782	-0.01275998707302132
100128788	0
100128881	-0.02042267436601463
100128893	-0.0053627404335803
100128927	0
100128946	0
100129128	-0.00648158153700981
100129175	0
100129195	0
100129196	0.00786619205577763
100129250	0.01675765554337238
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	-0.01400066380655425
100129550	-0.04377509812671372
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0.00618559859672028
100129722	0
100129726	-0.00869947302544701
100129792	-0.03453371887583674
100129794	0
100129827	0.03094008502497964
100129845	0
100129858	-0.01495687573323493
100129917	0.00314987572818634
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	-0.01803345401100528
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0
100130733	0.00229933930692833
100130776	-0.03800247080555507
100130894	-0.00180067948303829
100130933	0.00763897221800715
100130950	-0.04938874656797065
100130958	-0.01736789210991681
100130967	-0.00393257389597085
100131017	0.00823161953094242
100131067	0.00519261879979183
100131117	0.03395374180424474
100131138	0
100131187	0.00535164600663044
100131211	-0.04010290664043573
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0.00136610008793378
100131755	-0.04358440610263766
100131801	-0.00189680379201431
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.00517463058404695
100133205	-0.0042726905251317
100133311	0
100133461	0
100133612	0.01528908101167177
100133941	-0.05967082609451255
100133985	-0.05869634062589415
100134229	0
100134259	0.02587363634098673
100134368	0
100134713	0
100137047	0.0595956469213843
10014	0
100141515	-0.01366901084451036
100144597	0
100144602	0.00169233307432494
100144603	0
100144748	0
10015	0.01230582686384882
10016	0
100169752	0
100169989	0
10017	-0.00292090071198057
100170229	-0.00187704120768627
100170765	0
100170841	0
10018	0
100188893	0.00237495331291022
100188953	0
100189589	-0.02316102073911125
10019	0.0063160995064674
100190938	0
100192379	0
100192386	0
1002	0
10020	-0.00753939669325215
10021	0
10022	0
10023	0.04192448388129851
10024	0.0261794993419552
10025	0
10026	0
100268168	0
100270679	0
100272147	7.894059205335e-4
100286844	-0.04890294143824263
100287015	-0.00418192815863367
100287114	0
100287177	0
100287366	0
100287482	0.03210627928752511
