gene	male_child_2
10000	0
10001	-0.01563604729980073
10002	0
10003	-0.00285694108746557
100048912	0
10004	-0.00159521021692003
10005	0.01449062580082931
10006	0
10007	0.00457078363769483
10009	0.01124381133836311
1000	0
10010	-0.00696920401608182
100126791	-0.01053075152031038
100128124	0
100128640	-0.0351882017617359
100129128	-0.00837942693030179
100129250	-1.8666452989035e-4
100129271	0.01471546068691257
100129361	0.01623694248995866
100129482	-9.9184777256082e-4
100130331	0
100130449	-0.00637289754545165
100132341	0
100132476	0.00407840424608848
100134713	-0.0057258094647282
100137047	-0.00497720722416587
10013	0
10014	-3.8795645662092e-4
10015	0
10016	0
10017	0.00114985865442141
100188893	0
10018	-0.00248270184960762
10019	0
1001	-0.00452846715949371
10020	0.00737741216624722
10021	-0.00377346464373697
10022	0
10023	-1.3806661017489e-4
10024	0
10025	-6.5482216994816e-4
10026	0
100272147	0
100287932	0
100288413	0
100289678	0
100293516	-8.2818580145829e-4
1002	0.00646831110212663
100316904	0.00123072248689484
10036	0.0090286582007216409
10038	0
10039	0.00641394232882897
1003	-0.00419422040854393
10040	0.03282297383092696
10042	-0.0067039303185657
10043	0.0051168343743101
10045	-0.00765661090445185
10046	0
10047	0
10048	0
10049	-2.7928882254395e-4
1004	5.8823922458279e-4
100505741	0.01908055328050568
100505761	0.00130487330987343
100505879	0
100505933	0
100506144	0.0032346065011357
100506469	0.00408438250629894
100506504	0
100506571	0
100506581	-0.01146897630006215
100506963	0.0129510342375044
100507331	0
100507436	-0.02841618660602512
100507605	0
10050	0.00634979845701479
10051	0.00647887232858421
10052	0
10053	0.00691739052855895
10054	0
10055	-0.02016652535389522
10057	0
10058	-0.00574240353900783
10059	0
1005	-7.7194329413361e-4
10060	-7.076734814113468e-5
10061	0
10062	0.00775537932470593
10066	-0.00451175314450343
10067	0
10069	0
1006	0
10072	-0.00622887886709733
10073	0.00451202585457565
10075	-0.00283093964902431
10076	0
10077	-0.00963366885862274
10078	0.01515502956639595
10079	0
1007	0
10083	-1.9872161881315e-4
10084	-0.00853879843649837
10085	0
10086	0
10087	0
10089	0
1008	-0.00313472042476631
10090	-0.01406719047398345
10092	0
10093	0.00391592569589185
10095	0
10096	3.3075229708854e-4
10097	-0.00349243252262015
10098	0
10099	0
1009	-7.2281685576506e-4
100	0
10100	0
10101	0.00549789990514797
10102	0
10103	-0.00725957083916881
10105	-0.00659781792710359
10106	-0.00373939450191792
10107	0
10109	0
1010	0
10110	0
10111	0.00558987609419299
10112	-0.01364000387779262
10113	0.00427425085941476
10114	-0.01198351895131209
10116	0.01087868914410468
10120	0
10121	-0.00399585330379376
10123	0
10125	0.00792030415201631
10126	0
10127	0
10128	0
10129	0
1012	-0.01545952663230268
10130	0
10131	0
10133	0
10134	0.01122715265725288
10135	0.01625772869643772
10136	0.00236599000610448
10137	0
10138	0
10139	0
1013	-0.00919405194183128
10140	1.3985928304189e-4
10141	-0.00341055259093664
10142	6.0781554256538e-4
10144	0.00786558314624957
10146	0
10147	0
10148	7.237099404679124e-5
10149	0.00261294843090449
1014	-0.01943986675338331
10150	0.00267010320320676
10152	0.00842479125693053
10153	0.00604760586936568
10154	0.0160029600984239
10155	0
10157	0
