gene	male_child_3
10000	0
10001	-0.00429654581315659
10002	0
10003	-1.8101941980499e-4
100048912	0
10004	0
10005	0.00971409099634734
10006	0.0030073258791561
10007	0
10009	0.02396814393744795
1000	0
10010	0
100126791	-0.01151418396494649
100128124	0.00152525491378373
100128640	-0.02555100786401154
100129128	-0.00449021226983842
100129250	0
100129271	0.00639649602783809
100129361	0.01115217503018751
100129482	0
100130331	0.00189680054152091
100130449	-9.2961433172593e-4
100132341	-0.00173197125901857
100132476	6.7222811067268e-4
100134713	-0.0022427959563577
100137047	0
10013	0
10014	0
10015	0
10016	0.00346852533159115
10017	0
100188893	0
10018	-0.00397260404893585
10019	0.00357934040021856
1001	-0.01200755785389349
10020	0.00446646585451919
10021	-0.00514094482674622
10022	0
10023	0
10024	0
10025	0
10026	0
100272147	0.00359364653534453
100287932	6.8302094255099e-4
100288413	0
100289678	0
100293516	-0.01039816247011971
1002	0
100316904	-1.888429039342e-4
10036	0.01266840890266093
10038	0
10039	0.00772491058403516
1003	0
10040	0.01367599903138492
10042	0
10043	0
10045	0.00337492708272427
10046	0
10047	0
10048	0
10049	0
1004	0
100505741	0.00287153403146271
100505761	0
100505879	0.00331330956742455
100505933	0
100506144	0.00233307409986862
100506469	0
100506504	0.00590872758818942
100506571	0
100506581	0
100506963	0
100507331	-0.00482758340342405
100507436	-6.910230362674529e-5
100507605	-0.00117470567787928
10050	6.9466899265075e-4
10051	0.00206667126471565
10052	0
10053	0.00494144820797203
10054	0
10055	-0.02794091077961295
10057	-0.00255553725202306
10058	-0.01253531208004533
10059	0
1005	-7.7501202476619e-4
10060	0
10061	0
10062	0.00683828713741279
10066	-0.00383561140472698
10067	0
10069	-4.941952535305557e-5
1006	0
10072	0
10073	0.00744554542334327
10075	-0.0015305227991428
10076	-0.00912673870044444
10077	0
10078	0.01413098934651926
10079	0
1007	0
10083	-0.00674901641709667
10084	-0.01153803314494574
10085	-0.0022837856526090102
10086	0
10087	0
10089	0.00784127204958795
1008	0
10090	-0.0027151753275275
10092	0
10093	0
10095	0
10096	0.00244545012749684
10097	-0.01232373746809023
10098	0
10099	-0.0011705007766423
1009	-0.00260763435367543
100	0
10100	0
10101	0
10102	0
10103	-0.00689361740366713
10105	9.648749131108806e-5
10106	-0.00403807862763258
10107	0
10109	-0.00497584061911297
1010	0.00372341816677937
10110	-0.00211925822374551
10111	0.0040251654730494
10112	-0.01378338436168442
10113	0
10114	0
10116	0
10120	0
10121	0
10123	-0.00121265924574958
10125	0.0094472784442316
10126	7.4505015316946e-4
10127	0
10128	0
10129	-0.01675907590086995
1012	0
10130	0
10131	0.00167880640423052
10133	0.00367521659972094
10134	0.00430688473979102
10135	0.015686752561695
10136	0.01980056224605213
10137	-0.00804945259140101
10138	0
10139	0
1013	-0.01172365746000521
10140	0
10141	-0.00871906344162253
10142	0
10144	0.009908954039918
10146	0.00121017429148508
10147	-0.0125238608427235
10148	4.5503222463085e-4
10149	0
1014	-0.01731192854635615
10150	0.00304774127429772
10152	0.00373380297486693
10153	0.00970593021614235
10154	0.00743175147687099
10155	-6.501330959067219e-5
10157	0
10158	0.07439556881570894
10159	0.00244545772488103
1015	0.01240599854617332
10160	-0.0014193826165193
10161	0.00772629829149189
10162	0
10163	0.0050415606805851
10164	0
10165	-0.02152347737766403
10166	0.01051937928105981
10168	0.00264205966068095
1016	0
10170	0.00718417451884447
10171	0
10174	0
10175	0.01454441930024249
10178	-0.01330077527973501
10179	0.00585975179824086
1017	-0.00631320533799281
10180	-0.00690952921010631
10181	0
10184	-0.01111786102458305
10186	0.00111959554280655
10188	-0.01659217162425184
10190	-0.0044616822698431
10193	0.00235310570353092
10195	-0.00165776055906992
10196	-0.00425590500511297
10197	0
10198	0.00424522912592045
10199	0
1019	0
101	-0.00755330473596187
10200	-0.00893976661992614
10201	0
10202	0.00703645664401919
10203	-0.00490047029887287
10205	-8.3754918035868e-4
10206	-0.01101696793258779
10207	0
10208	1.9323418881886e-4
