gene	male_young_adult_2
10000	0
10001	0.01365973112241895
10002	0
10003	-0.02026880976098034
100048912	-0.00369041068600616
10004	-0.01076130050635754
10005	-1.8177139382634e-4
10006	0
10007	0.02339780244851499
10009	-0.02370426498533506
1000	0
10010	9.2139628662797e-4
100126791	0.01162391004719709
100128124	-0.00879752382300954
100128640	0.00377421802191838
100129128	0
100129250	0.0239366809691233
100129271	-0.00202884804718623
100129361	-0.01241803396499736
100129482	0.01261511696443618
100130331	0
100130449	0.00943524423083705
100132341	0.01001738159821698
100132476	0
100134713	0.02343928102968267
100137047	-0.00541458954148013
10013	0
10014	-0.02153551537711571
10015	0
10016	0
10017	0.00662685922180695
100188893	0.00170141644725467
10018	0.01782279359828724
10019	0.00804129504272824
1001	0.01653163043676357
10020	-0.04631002323255657
10021	-0.00565235261528083
10022	0.00335076587327173
10023	0
10024	0
10025	0.00450608895083495
10026	-0.00614256247126682
100272147	0.00506140146423843
100287932	0
100288413	0
100289678	7.6400887239906e-4
100293516	0.01031935068967062
1002	0
100316904	-0.01025937773871636
10036	0.00508613161469114
10038	-0.00688216415077631
10039	-0.00126024004025058
1003	-0.00457783252812385
10040	0.01043103306216308
10042	0.00480959245584413
10043	0.02560074226327544
10045	-0.01927239562835967
10046	0.00182784465593649
10047	0.00297347108862805
10048	0
10049	0.01145491732818412
1004	0
100505741	-0.03352251892602288
100505761	0.0028004963884402
100505879	-0.00535869005271843
100505933	-0.00113436877170514
100506144	0
100506469	0
100506504	0
100506571	-0.01443219543749046
100506581	0.0013813703735965
100506963	0.01149211509100921
100507331	-0.00408799010870589
100507436	0.06877502917905375
100507605	-0.01369765712785307
10050	-0.00330303474262482
10051	-0.01244617192119232
10052	0.01345898822121825
10053	-0.01353343890297605
10054	0.01661339507823147
10055	0
10057	0
10058	0.02801590730762892
10059	0.00415524849837714
1005	-0.00739301582195555
10060	7.126187028873e-4
10061	0.00619154348784148
10062	-0.00479877163102886
10066	0.00312955763948613
10067	-0.00828205558534416
10069	-0.00457225759762597
1006	-0.00429805736262615
10072	0
10073	0.00772588550047615
10075	-0.01155059100170172
10076	-0.01033485084954158
10077	0.02303771766922758
10078	-0.0046678440163804
10079	0.01844237534870644
1007	0
10083	0.00586205367180226
10084	-0.03165650166358098
10085	0
10086	-0.01067656658021378
10087	1.0211424312036e-4
10089	0
1008	-0.00507589057331602
10090	-0.01838863772741195
10092	0.01547056904757086
10093	0.01295268602125671
10095	-0.02375644614057631
10096	0
10097	0
10098	-0.00636025702981861
10099	-0.03672233813820919
1009	0.01088014154055488
100	0
10100	-0.02269169626136719
10101	-0.01642997878726834
10102	-9.928138047409e-4
10103	-0.01137419055159714
10105	0.03555376020396231
10106	-0.00320535733731778
10107	-9.8140382884134e-4
10109	0.00456138296058228
1010	0.00323846557569413
10110	-0.00276891266412565
10111	-0.01338416819519695
10112	0.03203566906813161
10113	-0.00765936216060157
10114	-0.00336114444801849
10116	0
10120	0.00405224609134317
10121	-0.00441780210208827
10123	0
10125	-0.0560519632944781
10126	-9.9273995300986e-4
10127	-0.01020983525371207
10128	0
10129	-0.03542012787133139
1012	0
10130	0
10131	-3.2591965101224203e-6
10133	0
10134	-1.2338998848590276e-10
10135	-0.00959664200552165
10136	-0.00968115338840056
10137	0
10138	-0.017859309872736
10139	0.02117153800495259
1013	0
10140	0.00722136488296332
