gene	female_young_adult_2
10000	0
10001	0
10002	0
10003	-0.01969636479230959
100048912	0
10004	0
10005	0.00486229808222888
10006	0
10007	0
10009	-0.00124293536637544
1000	-0.00507681764649249
10010	-0.00559863350691406
100126791	-0.00926697414789331
100128124	-0.00301549052493312
100128640	0
100129128	0.0023883301070429
100129250	0.01859408241779033
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	-0.00507985591160582
100132476	0.00122631597721677
100134713	0
100137047	0
10013	0
10014	0
10015	0
10016	0
10017	0
100188893	0
10018	-0.01140652362451744
10019	0
1001	0.00190475154206795
10020	0
10021	0
10022	-0.01948417297437328
10023	-6.6144252907089e-4
10024	0
10025	0.02575984144936541
10026	0.00266806162434251
100272147	0.01036210898206186
100287932	-5.158729817446027e-5
100288413	0.01648218257253613
100289678	-0.00328122570904005
100293516	0.01300164975418259
1002	0
100316904	0
10036	-0.00198488218902747
10038	-0.02284905540414581
10039	-0.00443763007807628
1003	0.01153363987199772
10040	-0.02243219186037374
10042	0.00693703324866274
10043	0
10045	-0.03710957254442353
10046	0
10047	0.00366879138293203
10048	0.01176773322643412
10049	-0.00915517560348197
1004	0
100505741	0.00374977694262611
100505761	0
100505879	0.00196406842639821
100505933	0.01007046454812996
100506144	4.8128824451525e-4
100506469	-0.00416780396624932
100506504	-0.00254638343699167
100506571	0
100506581	0
100506963	0.00135293551339306
100507331	0.00823299311423256
100507436	0.02290950595684616
100507605	-0.00156158086711053
10050	0
10051	0
10052	0.00624356385794573
10053	0
10054	0
10055	0.00142001280198948
10057	-0.01029971608304021
10058	0
10059	0
1005	0
10060	0
10061	0
10062	0.00497036276269076
10066	0
10067	0
10069	-0.00234503863737144
1006	0.00191137210216966
10072	0.00480632050553105
10073	0
10075	0
10076	-0.00164459606455947
10077	0.00946509463403682
10078	0.00537705279312169
10079	0
1007	0.00662082550728357
10083	0
10084	-0.00153964880328011
10085	0.00555329823874109
10086	-0.00372944019442117
10087	-0.00411059490335424
10089	0
1008	0
10090	0
10092	0.01059618594160306
10093	0.00207043867656115
10095	0
10096	0
10097	-0.01020221093565344
10098	0.04024032300140799
10099	0
1009	0.01167513898810951
100	0.0018463751119864
10100	-0.03876001291925062
10101	0
10102	0
10103	0
10105	0.00811846444965312
10106	-0.01751003262485711
10107	0.00508213317909034
10109	0
1010	0.00157994497041266
10110	-0.01113536021881986
10111	-2.18913314472856e-5
10112	0
10113	0.00120775449208059
10114	0
10116	0
10120	0
10121	0.00126158706949966
10123	0
10125	-0.00947103620135242
10126	0.02030346950201124
10127	-0.01172805614192472
10128	0.00148441950470244
10129	0
1012	0.00131011802819541
10130	0
10131	0.00842039303118525
10133	-0.00603435517471244
10134	0
10135	0.00185286314512503
10136	-0.00816809540072292
10137	0.0033061083590385
10138	0.00727771381310582
10139	0.00902675170268521
1013	0
10140	0.04333125315770307
10141	0.01110288256215167
10142	-4.5881812922482e-4
10144	-0.03279122935916032
10146	-0.01090925297845975
10147	-0.00428709151642449
10148	0
10149	0
1014	0
10150	-0.00941136467126114
10152	0
10153	0.00115020228128314
10154	0
10155	-0.00306097161791257
10157	-0.01447620699538247
10158	-0.0076554677192907
10159	0.00134695731165221
1015	0
10160	0.01184619859629615
10161	0
10162	-0.013176436763469501
10163	0
10164	-0.00357783887695802
10165	-0.01058663787067737
10166	-0.0121798024412388
10168	0.00310273190374484
1016	0.01454225368091452
10170	-0.04325483943175937
10171	0.00635905402480844
10174	6.7452077557719e-4
10175	0.01711150009545464
10178	2.6380457189448e-4
10179	0
1017	0
10180	0
10181	0
10184	-0.0016800665603658
10186	0
10188	0
10190	-4.334258727365e-4
10193	-0.00162131579012374
10195	-0.00980255454842134
10196	0.00286376078850216
10197	0
10198	0
10199	0.00741164610402741
1019	0
101	-4.4183711995794e-4
10200	-0.01013467571048248
10201	0
10202	-0.01146184159884737
