gene	male_infant_2
10000	-0.0018421352229257
10001	0
10002	0.0020235802546657
10003	0
100048912	0
10004	-0.01041782486998748
10005	0.00209636055491589
10006	0
10007	-0.00392934117997309
10009	-9.3355561969409e-4
1000	3.6426842722706e-4
10010	-2.729428045466e-4
100126791	0
100128124	0
100128640	0.00501664259457329
100129128	0
100129250	0
100129271	0.00605061490126185
100129361	0
100129482	0
100130331	0
100130449	0
100132341	-0.00190270041903232
100132476	0
100134713	0
100137047	0
10013	0
10014	0
10015	-7.3812253023897e-4
10016	-0.00260001386092132
10017	-0.00124285931382141
100188893	0
10018	0
10019	0
1001	0
10020	-5.1204310501983e-4
10021	0
10022	0
10023	0.00883217998844998
10024	0.00450300772513649
10025	0
10026	0
100272147	-0.00206270293521188
100287932	0
100288413	0
100289678	0
100293516	0.00575482050706149
1002	1.8197312376649e-4
100316904	0.0073373002053631
10036	0
10038	0
10039	0
1003	0
10040	-0.01067095652239935
10042	-0.00259138437167096
10043	-0.00205644739863137
10045	-3.0805873691874e-4
10046	0
10047	0
10048	0
10049	-0.00194859304875753
1004	0
100505741	0
100505761	0
100505879	0
100505933	0
100506144	-0.0166495543294257
100506469	0
100506504	0
100506571	-0.00666633685705275
100506581	0
100506963	0
100507331	0
100507436	-0.01865716745806616
100507605	0
10050	0
10051	0.01238710840653385
10052	-0.008188672022528
10053	0
10054	-4.9725352046963e-4
10055	0
10057	-0.00330351683718316
10058	-0.00678931288416834
10059	0
1005	0
10060	0
10061	0
10062	-9.5770161000957e-4
10066	0
10067	0
10069	0.00443380332745749
1006	0
10072	0
10073	0
10075	0
10076	0
10077	0
10078	0
10079	0
1007	0
10083	0.00215078983874366
10084	0
10085	0
10086	0
10087	0
10089	0
1008	0
10090	0
10092	-0.004736122583276
10093	0
10095	0
10096	0
10097	0
10098	0.00435980917990908
10099	0.00648697016133908
1009	0
100	0.00456887730315986
10100	0.008559954132523
10101	-0.00655543815075732
10102	0
10103	0
10105	-0.02033855637548142
10106	0
10107	0
10109	0
1010	0
10110	0
10111	0
10112	0.00179504644001809
10113	0
10114	0
10116	0
10120	0
10121	0
10123	0.01014722936994179
10125	0.00467813367971764
10126	-0.00463775332771847
10127	0
10128	0
10129	-0.01567055409145661
1012	0
10130	0
10131	-0.00321303779968555
10133	0
10134	-0.00512729172344798
10135	0
10136	0.01132997962660796
10137	0
10138	0
10139	-0.00730027077448875
1013	0
10140	0.00293666303655065
10141	0
10142	-6.5791643002913e-4
10144	0.00979964258924766
10146	0
10147	0.00223180403183966
10148	0
10149	-7.537147668559e-4
1014	0
10150	0
10152	0
10153	0
10154	-0.01778731966386536
10155	0.00593936595198699
10157	-2.8081172758847e-4
10158	-0.05395261673358594
10159	0
1015	-0.00364350672708944
10160	0
10161	0
10162	0
10163	0.00109450025754191
10164	0
10165	0
10166	0
10168	-0.01267224987454598
1016	0
10170	0
10171	0
10174	0
10175	0.00816174926874181
10178	-0.00551033066682242
10179	0
1017	0
