gene	female_infant_3
10000	0
10001	-0.0047092945455548
10002	0
10003	0
100048912	0
10004	-0.01073127529406466
10005	0
10006	0
10007	0
10009	0
1000	0
10010	0
100126791	0
100128124	0
100128640	0
100129128	0
100129250	0
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	1.759990437259e-4
100132476	0
100134713	9.50021617069977e-5
100137047	0
10013	0
10014	0
10015	0
10016	0
10017	0
100188893	0
10018	0
10019	0
1001	0
10020	-0.00845296402492081
10021	0
10022	-0.00178449367494773
10023	0.00951579314597984
10024	0
10025	0
10026	0
100272147	-3.6083032779378e-4
100287932	0
100288413	0
100289678	0.00479306820452857
100293516	-0.01108120033633107
1002	0
100316904	-0.00547260654222709
10036	0
10038	-9.4239893526428e-4
10039	0
1003	0
10040	-0.00797106281106137
10042	-0.00123594071261207
10043	0
10045	0
10046	-0.00164780033748473
10047	2.1411451279754e-4
10048	0
10049	0
1004	0
100505741	0
100505761	0
100505879	0
100505933	0
100506144	-0.01460761495657787
100506469	0
100506504	0.00133675819262795
100506571	0
100506581	0
100506963	0
100507331	0
100507436	-0.03111543150407234
100507605	0
10050	3.5180736732386e-4
10051	0.00835514162454949
10052	0
10053	0
10054	0.00412891373450607
10055	-0.0086374745442212
10057	-0.01599058792905978
10058	0
10059	0
1005	-0.00127918869781693
10060	0
10061	0
10062	-0.00996075910500328
10066	-0.00318074787894181
10067	0
10069	0
1006	0
10072	0
10073	-0.00350524982417483
10075	0
10076	0.00392932576561277
10077	0.00738261474274682
10078	0
10079	0
1007	0
10083	0
10084	0
10085	0
10086	0
10087	0
10089	0
1008	0
10090	-2.4710099244102e-4
10092	-0.00491279363597921
10093	0
10095	0
10096	0
10097	-0.00482762716705384
10098	-0.0022933704189993
10099	0.01644590535007126
1009	0
100	0.00275281035397677
10100	0
10101	-0.00260964338962248
10102	0
10103	0
10105	-0.00664751857321969
10106	-0.00192286618576302
10107	0
10109	-4.8168244845254e-4
1010	-0.00251244326657637
10110	0
10111	0.00908154737047271
10112	0
10113	-9.3561349284845e-4
10114	0
10116	0
10120	7.1047096265025e-4
10121	0
10123	0.00388362007539294
10125	0
10126	0
10127	0
10128	0
10129	0
1012	0
10130	-0.0045691845264029
10131	6.9434100473214e-4
10133	0
10134	0
10135	1.8648240648197e-4
10136	-0.00167517473105607
10137	0
10138	7.87529515998e-4
10139	-0.00288697001269881
1013	0
10140	0
10141	0
10142	-0.00120515029001973
10144	0.00295843062299386
10146	0
10147	0
10148	0
10149	-0.00556676935192568
1014	0
10150	0.00325969389505354
10152	-0.00149114963812965
10153	0
10154	0.0072703335962187
10155	0.00136713952755745
10157	-0.00609391549604075
10158	-0.0642297362611312
10159	0
1015	0
10160	7.9685035659531e-4
10161	0.00882886153701321
10162	0.00395166492336104
10163	0
10164	0
10165	0
10166	0
10168	-0.00348640879360459
1016	0
10170	0
10171	2.7359370626181e-4
10174	0
10175	0
10178	0
10179	0
1017	0
10180	-0.00404239783743553
10181	0
10184	0
10186	-0.00555358624528303
10188	0
10190	9.6579911444043e-4
10193	-0.00222435339042266
10195	0
10196	0.00136705888286536
10197	-0.00253511929702435
10198	0.00144218443112726
10199	0
1019	0
101	0.00391807720917388
10200	0
10201	-0.002794668298207
10202	-0.00418782614741804
10203	0.00228274547547952
10205	0
10206	0
10207	0
10208	0
10209	0
1020	0.0016074800523602
10210	0
10211	-0.00601459884247449
10212	6.8925151514431e-4
10213	0
10214	0
10215	0
10216	0
10217	-0.01107489472913528
10218	0
10219	0
1021	9.2433007743367e-4
10220	0
10221	0.00517876874106117
10223	0.01740086206384038
10225	-0.00277732910998736
10226	0
10227	0
10228	-0.00109947659816967
10229	0
1022	-0.00963595243631109
10230	-0.00315792515342863
10231	0
10232	0
10233	0
10234	-0.00498010507637512
10235	0.00393073611276605
10236	0
10237	0
10238	0
