gene	female_old_adult_3
10000	0
10001	-0.00607691444827864
10002	0
10003	-7.9701051957878e-4
100048912	0
10004	0.00720490951403102
10005	0.00224973381443896
10006	0
10007	0
10009	0
1000	0
10010	0
100126791	0
100128124	0
100128640	0.00205532005135422
100129128	0
100129250	0
100129271	-0.00579976673252048
100129361	0
100129482	0
100130331	0
100130449	0
100132341	-0.01889126603889827
100132476	5.1115254916712e-4
100134713	0
100137047	0
10013	0
10014	0
10015	-3.422636778477144e-5
10016	0
10017	0
100188893	0
10018	0.00722606831080998
10019	0
1001	0.00558888550126504
10020	0
10021	0
10022	1.458972157218e-4
10023	0
10024	0
10025	0.00934172839436772
10026	0
100272147	0
100287932	-0.00157754691710147
100288413	0
100289678	-0.00557996213791035
100293516	-0.01090942538014306
1002	0.00103260667313171
100316904	-0.00584377471954971
10036	0
10038	0
10039	0
1003	0
10040	0.00127594870985963
10042	-0.00102276157001743
10043	-0.00275518258651252
10045	0
10046	0.0048813230483185
10047	0.0016901934021141
10048	0
10049	0
1004	0
100505741	0.01544644186582418
100505761	-0.00823921618971138
100505879	0
100505933	0
100506144	-3.7631875147196e-4
100506469	0
100506504	-0.00379328730213264
100506571	0
100506581	0.00139368666618244
100506963	-0.0011173143065108
100507331	0
100507436	0.00540278741920519
100507605	0
10050	0
10051	0
10052	0
10053	0
10054	0
10055	0
10057	0
10058	0
10059	0
1005	0.00324360424423975
10060	0
10061	0
10062	0.00614134932092701
10066	8.987247273740061e-5
10067	0
10069	0
1006	0
10072	0.00357969801979336
10073	0
10075	0
10076	0
10077	0
10078	0
10079	-0.01568783235132559
1007	0.00257920693763395
10083	0.00302896259371835
10084	0.00432695922599897
10085	0
10086	0
10087	0
10089	0
1008	0
10090	0.00440923244266141
10092	1.5205780095111e-4
10093	-0.00166191773747082
10095	0
10096	0
10097	0
10098	0
10099	0
1009	0
100	0.01045915400815548
10100	0.00966922697358775
10101	0
10102	-0.00426591373691779
10103	-0.00569363031222065
10105	0
10106	4.0940919874398e-4
10107	0
10109	0
1010	0.00341202837329226
10110	9.5700400566382e-4
10111	0
10112	0
10113	0
10114	0
10116	0
10120	0.00311859163323189
10121	0
10123	-0.00401426709071548
10125	0
10126	0
10127	0
10128	-3.660884249083e-4
10129	0.00299048378728886
1012	-0.01277823330224614
10130	-0.00390789085551328
10131	0
10133	0
10134	-0.00114461305626234
10135	-0.0234889030437518
10136	-0.00665648311582215
10137	0
10138	0
10139	0
1013	0
10140	0
10141	0
10142	0
10144	0
10146	1.4441498364156e-4
10147	-0.00615201421339385
10148	0
10149	-0.00302699745468821
1014	-4.336722938011472e-5
10150	0.00151552284099645
10152	0
10153	0
10154	0
10155	-0.00122784963398572
10157	0.00245715508513938
10158	0.01106812495600556
10159	-0.00739716427406255
1015	0.00522847102793961
10160	0
10161	0
10162	0
10163	-0.00411827033367522
10164	-0.00581816487666781
10165	0.00782786262155049
10166	0
10168	0
1016	0
10170	-0.00893279982192085
10171	-0.00356399692046372
10174	0
10175	0
10178	0
10179	0.00449683381487044
1017	-0.00677457149151035
10180	-0.006067858686041
10181	-0.00318976942305699
10184	0
10186	0
10188	0
10190	0.00607262859052656
10193	0
10195	0
10196	0
10197	0
10198	0
10199	0
1019	0
101	0
10200	-0.0077227494927353
