gene	female_adolescent_3
10000	-0.01085443302950942
10001	-0.00357716734275881
10002	0
10003	-0.00665470662807049
100048912	0
10004	0
10005	0
10006	0
10007	0.00166187319320964
10009	0.00112855396634956
1000	-0.00226096943843826
10010	0
100126791	0
100128124	0
100128640	0.00380238482913534
100129128	0.00225280707485504
100129250	0
100129271	0.00688998688051207
100129361	0.00265099339502688
100129482	0.00199723592537841
100130331	0.00375557392457606
100130449	-0.00234570376926147
100132341	-0.00412256655225269
100132476	0
100134713	-0.00129443657054858
100137047	-0.00479348963651706
10013	0
10014	0
10015	0.00329363664690639
10016	0
10017	0
100188893	0
10018	0
10019	0
1001	0
10020	0
10021	0.00629206191260609
10022	0
10023	0
10024	0
10025	-0.0070527883191975
10026	0
100272147	0.00482557626837702
100287932	-0.00132192353957378
100288413	0
100289678	0.00232729418466418
100293516	0.00994566182249556
1002	0
100316904	0
10036	0
10038	0.00541037686836643
10039	0.00393448076282656
1003	0
10040	-0.01329522247195252
10042	-0.00478599498327875
10043	0
10045	-0.01181329533802045
10046	0.00666411910866983
10047	0.00111359816927761
10048	0
10049	0
1004	0
100505741	-0.0031714270898634
100505761	0.0028988029258002
100505879	-4.7329600678298e-4
100505933	0
100506144	0.0028253946854448
100506469	0.01049679841593382
100506504	-0.00692423876100755
100506571	-0.00308788739656442
100506581	0
100506963	0.00177636259067558
100507331	0.0102180496716868
100507436	0.01256260491109768
100507605	0
10050	0
10051	0
10052	0
10053	-1.542046455804e-4
10054	0
10055	0
10057	0
10058	0
10059	0
1005	0
10060	0
10061	-6.5895610975626e-4
10062	0.00822764948290763
10066	-0.00528082330212131
10067	3.1668760139805e-4
10069	0
1006	0
10072	0
10073	0.00565240208117976
10075	0
10076	-2.1514142780665e-4
10077	0.00106146027016857
10078	6.069076552175452e-5
10079	-2.7037554920811e-4
1007	0
10083	0
10084	-0.00597116846030257
10085	-6.0780703611859054e-5
10086	0
10087	0
10089	0.00283394285842098
1008	0
10090	-0.00553654084292911
10092	0.00239885467271415
10093	0
10095	0
10096	0
10097	-0.00223364403444987
10098	-0.02555219819009662
10099	0
1009	0
100	-0.00661869961867458
10100	-0.01308810747451954
10101	0
10102	0
10103	0.01041890071525155
10105	0
10106	0
10107	0
10109	-8.1300981653357e-4
1010	0
10110	0
10111	0
10112	-0.00413117300756793
10113	0
10114	0.00651514707250282
10116	0
10120	0
10121	0
10123	0
10125	-0.00428070380214994
10126	0.00929841670717427
10127	0.0036465438530637
10128	-0.00258707451649096
10129	0.00230334975715688
1012	-0.00493816517719385
10130	0
10131	0
10133	-0.02386251430687431
10134	0
10135	0.00520856346856062
10136	0
10137	0
10138	-0.00184746075054729
10139	0
1013	-7.11976598017e-4
10140	0.00352393571544094
10141	0
10142	0.00704190113303458
10144	0.00300858071606416
10146	0
10147	0
10148	0
10149	0.01078680046708063
1014	-7.2100386713197e-4
10150	-0.00101382779315899
10152	0
10153	0
10154	0
10155	0.00830534049952522
10157	0
10158	-0.06380235455184052
10159	0
1015	0.00261069669178492
10160	0.00244739862266163
10161	0.0018791647247142
10162	0.0010920429276697
10163	-0.00662389499923082
10164	-0.0018829924206691
10165	0
10166	-1.8620334166935e-4
10168	-6.0881102118374e-4
1016	0.00372940369933575
10170	0.02656869189266063
10171	0
10174	0
10175	0
10178	-0.02459393076119134
10179	0
1017	7.227149903678134e-5
10180	0
10181	0.0057525750832791
10184	-0.00724148346171197
10186	0
10188	0
10190	0
10193	-0.00532667991829353
10195	0.01024065978921009
10196	0.01745064936541134
10197	0
10198	0
10199	0
1019	0
101	0
10200	0
10201	-0.00170544065232753
10202	0.04610015262962027
10203	0.00389053020950323
10205	-0.00248666763443078
10206	-3.1369381129754e-4
10207	0
10208	0
10209	0
1020	0.02378572711985398
10210	0
10211	0
10212	-0.01134580712671139
10213	-5.900858974032832e-6
10214	0.0036225400531497
10215	0
10216	0
10217	0.00512941306676943
10218	4.06413126536e-4
10219	0
1021	-0.01469128096539408
10220	-0.00375198631056631
10221	0.02574752797947707
10223	0.00466293739894552
10225	0
10226	0
10227	0.005267823945183
10228	0
10229	0.00296302965479175
1022	7.1759851740046e-4
10230	0.00664443122434377
10231	0
10232	0
10233	-0.01147155821804422
10234	-0.00457439694983815
10235	0.00247642739527788
10236	4.3368762620261e-4
10237	0
10238	-0.00849869584401505
10240	0
10241	-0.00919515553371545
10242	0
10243	-0.00909288197207828
10244	0.00352098545262168
10245	0
10246	0
10247	0.01176609095262392
10248	0
10249	0
10250	0.00143906388928717
10252	0.00939104627340736
10253	-0.00498187657683854
10254	0
10255	0
10256	0
10257	-0.02303440932040229
1025	0.00832669178973804
10260	0
10261	0
10262	0.00644516871859724
10263	-8.1968177305865e-4
10265	-0.00705863023531785
10266	-0.01130743219311336
10267	0
10268	0
10269	0
1026	0.00498711558813816
10270	-0.00119409394748693
10272	0.0047795724010993804
10273	0
10274	0
10276	0
10277	0
10278	0
10279	-0.0076335620804428
1027	-0.00133547540717884
10280	-0.00263269563365509
10281	0
10282	0
10284	-0.00879325477239041
10285	0
10286	0
10287	0
10288	-0.00344877426405088
10289	-0.00355543092717995
1028	-0.02990489562794035
10290	6.6169340920223e-4
10291	0
10293	0
10294	0
10295	-0.00410904944688277
10296	0.00484238371485419
10297	0
10298	0
10299	0
1029	0
102	-0.00383417465247484
10300	0
10301	0.00161381056830894
10302	0
10307	0.0114375893823771
10308	0.01563664650274073
10309	0
1030	0.00874957699211054
10311	0
10312	0.00359490528134907
10313	0
10314	0.00207105707349323
10316	-0.00503938472933591
10317	0
10318	-4.2248544249055e-4
10319	-0.00421536375344917
1031	0
10320	0
10321	0.03594366397618354
10322	-0.00643135704721843
10324	-0.00264499117056001
10325	0.00263651843152168
10327	0.00213046234860043
10328	0.00606762969390241
10329	0
1032	-0.00333134686862481
10330	0
10331	0.0014931962220001
10332	0.00119891485591926
10333	0
10336	-0.01786730508778256
1033	2.6569300939368e-4
10342	-0.0012552420179414
10343	0
10346	0
10347	0.02768542471367627
10351	0
10352	-0.0011815036071248
10360	0.0058454207194068
10362	0
10363	0
10365	-0.01920929722216163
10367	0
10368	0
10369	0
1036	-0.01542285061687511
10370	0.02121147929668765
10371	0
10376	0.00288048150052681
10379	0
10381	-0.01327455257291023
10382	0
10383	-0.01959940697579328
10384	0
10385	0
10388	-8.9077942876442e-4
10389	-0.00451491552945549
1038	-0.01243356543543523
10390	0.014801901859135781
103910	0.0075576005102038
10391	-0.00959723085854879
10392	0
10393	0
10394	0.00868251073614487
10395	0.00771052566023942
10396	0.00306493978424218
10397	0
10398	9.5172151655874e-4
10399	0
1039	-0.00721429892258819
103	-8.0535171764507e-4
10400	-9.9340900077073e-4
10401	0
10402	0
10403	-0.00924912908474564
10404	0.00120659215950046
10406	0.00983719329858923
10407	0.01082277557587931
10408	0
10409	-0.01603594201828354
1040	-0.00170094417876024
10411	2.1884987136023e-4
10413	0
10417	-0.00743559003480996
10418	0
10419	0.00861671698397353
1041	0
10420	0
10421	0
10422	0.0091837138972238
10423	0
10424	-0.00113847413141201
10425	0
10426	0.01727084003297195
10427	0
10428	0
10430	0
10432	0.00190607682961717
10434	0.00662697241612674
10435	-0.00121486345316876
10436	-0.00188189855662173
10437	-0.00863221996845542
10438	0
10439	0
1043	-0.01806370293708441
10440	0
10443	0
10444	0.00387356580801458
10445	0
10446	-0.01015753991318679
10449	0
1044	0
10450	0
10451	0
10454	-0.00486794706078786
10455	-0.01334724725983875
10456	0
10457	0.00198409186262468
10458	0
1045	-0.00786493547392175
10460	0.02143252147770922
10461	0
10462	0
10463	8.0176901104638e-4
10464	0.00119494893690391
10465	0.01204023519021453
10466	0
10467	0
10468	-0.0034138691889325
10469	-0.00394203857771197
1046	-8.9049469400928e-4
10471	-0.00671641042275342
10472	0.01098834385694381
10473	0
10474	0
10475	0.00149865686302274
10478	0.00240392872492985
10479	0
1047	-0.02589600070883285
10480	0
10481	0.00218577798069135
10482	0.0078420790477994
10483	-0.0037543137921191
10484	0.00230004061482749
10485	-0.00719408616590937
10486	0
10487	0
10488	-0.00670710869921867
10489	0.00474747429759961
1048	0.00146160833261064
10490	0.017485782557535
10491	0
10492	0
10493	-0.00690934765494407
10494	3.0830538299511e-4
10495	0
10497	0.00349717797546502
10498	0
10499	0.01249446915631466
104	0
10500	0.00424809598318644
10501	0
10505	0
10507	0
1050	-0.01066473639549899
10512	-0.006807780580266
10513	0
10514	-0.00853119384425717
10516	-0.01950978331743983
10518	0
10519	-0.01187933077585727
1051	0.00187393269101585
10520	-4.152692636324e-4
10521	-0.02127413658591925
10522	-0.00427016644587999
10523	0
10524	0
10525	0
10526	0
10527	-0.00603389036732801
10528	0
10529	-0.01157999027565362
1052	0
10531	0.00989804487984047
10533	0.00578860078259892
10534	0
10535	0
10536	0
10537	0
10538	0
10539	6.5149513651248e-4
1053	0.00127777263550447
10540	0
10541	-9.7385776551289e-4
10542	-0.00424218191409934
10544	-0.0056989810014239
10548	0
10549	0
1054	-0.00467186902533953
10550	-0.0042594984174819
10551	0
10552	0.00180184083177372
10553	0
10554	0.00466281687509842
10555	0
10556	-0.00632218431500365
10557	0
10558	-0.00669824733510782
10559	0.00220973771363411
10560	0.00727134279920625
10561	0.02077178695210756
10562	2.3950663331168e-4
10563	0
10564	-0.0080300028655011
10565	0
10566	0
10567	-0.01616320245352925
10568	-0.00429775182100347
1056	6.2628500103953e-4
10570	0
10572	0
10573	0.00479293380116614
10574	0
10575	0
10576	-0.00236429155475715
10577	0.00444403950764001
10578	-0.0342120510098732
10579	-0.00198796417559627
10580	-0.00478280210859854
10581	0
10584	0
10585	-0.00289218443082034
10586	0
10587	0
10589	0
