gene	male_young_adult_1
10000	-0.00572518340836241
10001	-0.00936043360091969
10002	0
10003	-0.00340870360266892
100048912	-0.00749398918326876
10004	-0.01802385227089046
10005	0
10006	-5.4094390372604e-4
10007	0.02966816504809345
10009	-0.00985570406225499
1000	0
10010	0
100126791	0.01861971965399992
100128124	-0.01263704830973391
100128640	0.00503136232674663
100129128	-0.00974864796527714
100129250	0.00940755297804455
100129271	-2.8423264687898e-4
100129361	-0.00636543118573755
100129482	-0.00500792914851108
100130331	0.00390187322865327
100130449	-6.7949373580769e-4
100132341	0.02561107702803175
100132476	7.3338669301865e-4
100134713	0.01469143246119208
100137047	-0.01023968695591912
10013	0
10014	-0.01040007109295063
10015	0.00739612252322332
10016	-0.01343959261554354
10017	0.0053351667910414
100188893	0
10018	0.00741084652125075
10019	0.00707840221580935
1001	0.01464335718195527
10020	-0.01570782074087367
10021	0
10022	0.00975709690504002
10023	0.01997181861082235
10024	0
10025	-0.01681279427799825
10026	0.02596389292855279
100272147	0
100287932	-0.00877396424312913
100288413	-0.00487819982262342
100289678	-0.00278399799973013
100293516	-0.03123240698982105
1002	-0.01474972918380994
100316904	0
10036	0
10038	-0.0034469064776464
10039	-0.01505674249018269
1003	-5.1568274784836e-4
10040	0.0125954466111506
10042	0
10043	0.02070580690704501
10045	-0.01040766520436861
10046	0
10047	-0.01780407994998041
10048	6.0147128389069e-4
10049	0
1004	0
100505741	-0.0305505774865092
100505761	0.01272023080210806
100505879	0
100505933	0
100506144	-0.00236860100536439
100506469	-0.00978801050648489
100506504	0
100506571	0
100506581	0.00699891350640357
100506963	0.01225297596136073
100507331	-3.721022410935e-4
100507436	0.04350616267829542
100507605	-0.00102607947102111
10050	-0.01575986903748763
10051	-0.02363065814422789
10052	0.00527651386818102
10053	-0.01524044817574099
10054	0.01318912899287822
10055	0.00873778836545638
10057	0.00252623364083685
10058	0.02407347611738142
10059	0
1005	-0.01526828660985341
10060	0.00419261851389964
10061	0.00561460106124184
10062	-0.00191552600999587
10066	0.00189227691777294
10067	1.4595991082906e-4
10069	-0.00988662692728716
1006	-0.01073643881363171
10072	0
10073	-0.01126464012591632
10075	0
10076	0
10077	0.01079823161017325
10078	-0.00157296295416597
10079	1.0848329046779e-4
1007	-0.00276734108585061
10083	0
10084	-0.01353255479853473
10085	0
10086	-0.01443435289693088
10087	0.0317870727704158
10089	0.00651243679082834
1008	0
10090	-0.0287205677776549
10092	0.01879855683039453
10093	0.01271922499003253
10095	-0.02222217775314812
10096	3.164510068602e-4
10097	0
10098	-6.22086471639579e-5
10099	-0.00849712367804615
1009	0.01264262631064232
100	0.00227487217988191
10100	0.01323298139536487
10101	-0.03621482356949174
10102	-0.00759650833370305
10103	0
10105	0.00685966798737734
10106	0
10107	-0.00242346191738214
10109	0.00675992308849117
1010	0.00396723298928407
10110	-6.679435095543974e-5
10111	-0.02244549942401753
10112	0.01488938524267521
10113	0
10114	-0.0018040548886437
10116	0
10120	0.01298188183951713
10121	-0.00450040490978209
10123	0.01062874754871629
10125	-0.05395911658638391
10126	0
10127	-0.00125936318454391
10128	0.00466680407311255
10129	-0.02242877506036665
1012	-0.00534648432116114
10130	0
10131	0.01289015924841261
10133	2.7782162150680105e-10
10134	0
10135	-7.1160035621103e-4
10136	0.02126978142797368
10137	-0.00801441147337395
10138	-0.01015027462482744
10139	0.02029900431473014
1013	-0.00636276577604624
10140	0
10141	0.00342258506459853
10142	-0.00409347809504096
10144	-0.03987078377221984
10146	0
10147	0.00580035382999652
10148	-0.02055437546502413
10149	-0.01585476616544992
1014	0
10150	0.00127355464908166
10152	-0.00907388620281498
10153	0
10154	-5.8624954434839e-4
10155	-0.00934561927717837
10157	0
10158	-0.05527811328188867
10159	0
1015	0.00181355510484338
10160	-8.0882288813089e-4
10161	-0.03748613424780205
10162	0
10163	-0.01957110190787517
10164	0.02792953538573686
10165	0.01232723804416158
10166	-4.5702907125008e-4
10168	0
