gene	male-adult-coarse-3
1	-0.06885403198229055
10	-0.0506618312909349
100	-0.0014144235738435423
1000	-0.08131615647581825
10000	-0.03038915762601962
100009676	0
10001	0
10002	0
10003	0.01748285608126704
10004	0.05360278410256594
100048912	-0.0035407661696495313
10005	0.036769945112799
10006	7.13347629717907e-4
10007	0.018606452254832664
10008	0
10009	0.007551756685404514
100093630	-0.005727769482726931
100093698	0
1001	-0.00241486801290439
10010	0.021507353834041065
100101467	0
100101938	-0.027171370516400093
10011	-0.049864218534349414
100113407	0
100124700	0.006012449641016788
100125288	0.034293405251665604
100126791	-0.022984524273106335
100126793	-0.012833604298558498
100127888	-0.05545042168831117
100127983	0
100128025	0
100128071	0.030164435411747934
100128098	0
100128124	0.13268747812346382
100128126	0
100128139	-8.62545452768198e-4
100128164	-0.015204414071619939
100128191	-0.032240472421666534
100128239	-0.06582747471883925
100128325	0.01118497203139552
100128554	0
100128590	0.049882011982953126
100128640	0
100128731	0.0254523550808304
100128750	0.01767471787611871
100128782	0
100128788	-0.0023831986754706703
100128881	0.006065574437530275
100128893	-0.04834680092788447
100128927	-0.01020793713347536
100128946	0
100129128	-0.03721417494245071
100129175	0
100129195	0
100129196	0.04157632097926275
100129250	0.05533935037486798
100129271	0
100129361	0
100129427	0
100129461	-0.004788135213451261
100129482	0
100129503	0.004637407515405964
100129550	0.02405492755122075
100129597	0
100129620	0
100129654	-0.0261371995649323
100129662	0.018459047199082552
100129716	-0.006146464632602264
100129722	-1.9773535999461194e-4
100129726	0
100129792	-0.039788863758129706
100129794	0
100129827	0
100129845	0
100129858	-0.04055751530541223
100129917	-0.02595893767485143
100129935	0
10013	0.02131986777163186
100130155	-0.034512778056403334
100130249	0
100130264	0
100130331	-0.027818391912251647
100130357	0.04900233317036788
100130449	-0.10347721797061682
100130476	-0.043139806738070136
100130519	-0.028906986994448516
100130522	0
100130548	0
100130613	0
100130691	0.07590584652557385
100130705	0
100130717	-0.10724719369480623
100130733	-0.01849727435826185
100130776	0.0049577713908792774
100130894	-0.021997979622240614
100130933	-0.05925045012129333
100130950	-0.009725961922108489
100130958	-0.00481605218196267
100130967	-0.03482439678504006
100131017	0.019152478692372146
100131067	0
100131117	0.08362874990253868
100131138	-0.06305031843110247
100131187	0.03689149759586936
100131211	0
100131213	-0.05319968507218486
100131303	0
100131347	0
100131366	0
100131434	0.06625043217355064
100131496	0
100131655	0.0034333572621333503
100131691	-0.02257912678602946
100131755	0.012098318548461709
100131801	0.007446941314760283
100131814	-0.07214041877381464
100131816	0
100132074	0.033950396183559994
100132078	-0.0020107711702767395
100132341	0
100132386	0.016951609223953133
100132464	0.020367238682639385
100132476	0
100132596	0
100132677	0.004129764645697618
100132891	0
100133205	-3.6378785713880055e-4
100133311	0
100133461	0
100133612	0
100133941	-0.08580698724935526
100133985	0.03490318772482788
100134229	-0.023260168697829698
100134259	-0.03182168549022257
100134368	0
100134713	-0.00430527113582274
100137047	-0.1589656425416025
10014	-0.001719459153878738
100141515	0
100144597	0
100144602	-0.014714090853543258
100144603	0
100144748	-0.012776201833337825
10015	0.0035569747388053685
10016	0.02201027522221569
100169752	0
100169989	0
10017	0.029877440291962244
100170229	0
100170765	0
100170841	0
10018	0
100188893	0.003268319604457961
100188953	-0.07111096170304888
100189589	-0.07144644237321225
10019	0
100190938	0.004866783553511738
100192379	0
100192386	-0.0016249700343151752
1002	0
10020	0
10021	0
10022	0
10023	0.006255979787483706
10024	0.057421487103664806
10025	0.0283434960716559
10026	0.0341624725261123
100268168	0.04677316034582751
100270679	0
100272147	0.06615010440313979
100286844	-0.013442028214719412
100287015	-0.0014338938356756644
100287114	0
100287177	-0.07174425911868781
100287366	0.002266671153430206
100287482	0.04634241031226274
100287569	0
100287616	-0.02179506813833946
100287814	0
100287896	0.018782878798256453
100287902	0
100287932	0
100288079	0
100288122	0.0021722420642441265
100288198	-0.006110630121890534
100288413	-0.002148572253013829
100288637	0.003356786258836071
100288797	-5.80872299232313e-4
100289092	0.01412595634654671
100289097	0
100289098	0.054628855465767144
100289187	-0.016144645596530956
100289274	5.672977209047561e-4
100289341	0.0312937778779809
100289373	0.033540878845841705
100289495	0
100289635	0.00836710095223916
100289678	0.013890784327905695
100292680	0
100293516	-0.02979284205964558
100294362	0
100294720	0
1003	0.004198459928098225
100302691	0
100303728	-0.012396824583400608
100303755	0
100306951	-0.006343427809149
100316904	-0.035698458958512785
100329135	0
100359394	-0.003477883268739907
10036	-0.004970311213534493
100379174	0.0029044701562037792
10038	0.03006516022651384
100381270	0.02167246903924484
10039	-0.020214832709134194
1004	0.08660051463972868
10040	0.00831229361093374
10042	0
100422737	-0.008004164466901767
10043	0.041859806219849055
10044	0
10045	0.01528754833011216
10046	0
10047	0
10048	0.010599234997893248
10049	0
100499171	-0.03257286055523547
1005	-0.008933076049244489
10050	-0.02721380028233195
100500850	0.042120396294385104
100505474	-0.01521017556393448
100505478	-0.04474521039185646
100505495	-0.026644382032205056
100505501	0
100505515	-0.0017067310989997044
100505538	0.02928602477760272
100505540	0.002033601021004208
100505545	0
100505549	0.011369937872437693
100505573	-0.010596428677427234
100505583	-0.004909617163868699
100505609	0
100505616	-0.02832995780802362
100505619	0
100505622	0.0027330648502055916
100505624	0
100505641	-0.021170728629074095
100505658	-0.024243775809621625
100505659	-0.08986777251740939
100505664	-0.005511266556176648
100505676	-0.012549266506977623
100505681	-0.04513345514800491
100505685	0
100505687	0
100505696	0
100505715	0.0014394853535999006
100505718	0
100505738	-0.03036427087456889
100505741	-0.17073105833263558
100505746	0.06110765694309662
100505761	0
100505768	0
100505776	0
100505782	-0.008634272863925593
100505783	0
100505797	0
100505811	0
100505812	0.0056801740418933235
100505826	0
100505839	0.029893143509639192
100505841	-0.0014080159449700582
100505851	-0.026715755134786738
100505854	0
100505876	0
100505877	0
100505879	0.15179656218551923
100505881	0.04198518107088929
100505890	0
100505893	0
100505894	0.07920715052998625
100505933	-0.05008605315014178
100505964	0.0029444691130360635
100505967	0.0022824753441221092
100505975	-0.06385445892788473
100505978	0
100505984	-0.004041601881127032
100505985	-0.020062761193588883
100505989	-0.05582564029176923
100506012	-0.033364759490585066
100506013	0.02014977409914508
100506022	0.05157141574310928
100506025	0.025027973819399862
100506049	-0.0239029714771252
100506068	0
100506071	0
100506082	0.010391664178582043
100506083	0
100506098	0
100506100	0
100506107	-0.017724930176022103
100506108	0
100506113	-0.056527433380635754
100506115	0.04112244125386675
100506119	0
100506122	0
100506125	0.0127070822630314
100506126	0
100506127	-0.0022070164574467064
100506142	-9.035860611126234e-4
100506144	-0.013423674292267268
100506172	0
100506175	0.029508655355690774
100506195	0
100506207	0
100506215	-0.02916234491939716
100506229	0
100506237	0
100506243	0.05746442510164668
100506271	0.010146563069373128
100506274	-0.0131420202022698
100506286	0
100506289	0
100506302	0.007447536604794861
100506314	0.06923652437289123
100506319	0.007737811645013311
100506368	-0.01968928653142472
100506374	0.012755910761519945
100506380	0.09922060875859354
100506385	0
100506405	0
100506406	-0.0012963406159278875
100506409	0
100506413	0
100506421	-0.021973598744889054
100506428	0
100506433	0
100506457	-0.007513731309228436
100506462	0.020749711112365996
100506465	0
100506469	0.04203862839425703
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0.03733964210086363
100506498	-0.0015625153222173851
100506504	-0.003335481450617423
100506526	-0.026333496164739047
100506527	0
100506530	0
100506540	0
100506542	0.019860700303946304
100506571	0
100506581	-0.03358736852014172
100506599	-0.013998261554226541
100506603	0
100506606	0.07008388926987258
100506622	9.727558896468909e-4
100506655	0.002782395269705675
100506660	0.04506936359308533
100506668	0
100506675	0
100506677	0.006755674670846688
100506679	-0.018252439939854766
100506680	0
100506686	-0.1434440796517141
100506691	0.03246785353252499
100506696	-0.037385992203474536
100506697	-0.02114603720907812
100506710	0
100506713	0
100506714	-0.011265388369669591
100506724	0
100506733	0
100506742	0
