gene	male-middle_adult-fine-2
1	0.001974816294743219
10	0
100	0.016411268196317306
1000	0
10000	-0.021092975573146232
100009676	4.6105461970791147e-4
10001	-0.013945905333712068
10002	0.004881603839126939
10003	0.010664438551155312
10004	0.042812347268685366
100048912	-0.005051928481677638
10005	0
10006	0
10007	0
10008	-5.179895583810555e-4
10009	-0.00851462025893692
100093630	-0.011165815027988637
100093698	0
1001	-0.07266357301523894
10010	0
100101467	-0.059625333001590626
100101938	0.012202119620835563
10011	0.01734753131217945
100113407	0
100124700	0.0054116699124718125
100125288	0
100126791	0.001783876866683626
100126793	0.057287055931700866
100127888	0
100127983	-0.017082206909262702
100128025	0.012037806080791275
100128071	0
100128098	-0.01661047318983874
100128124	0
100128126	-0.02433924433872309
100128139	0
100128164	0.010332610863874131
100128191	-0.0018240024676539342
100128239	0.007709026841428677
100128325	0
100128554	0.01451565722286202
100128590	0
100128640	0
100128731	0
100128750	0.002379837928910551
100128782	0
100128788	0.014684406455095363
100128881	0.02948503660235715
100128893	0
100128927	0.02148621093193571
100128946	0.012586483267062973
100129128	0.0503414290512102
100129175	0
100129195	0.010113921017310437
100129196	-0.035735521813035874
100129250	0
100129271	0
100129361	-0.025154450133457042
100129427	0
100129461	-0.007184028472657109
100129482	0
100129503	0.015414777955479452
100129550	-0.020349406794576252
100129597	0.02804900889810506
100129620	0
100129654	-2.7952171194378033e-5
100129662	0.005685791556533276
100129716	0.026312866972000592
100129722	0.010875712978100851
100129726	-0.009507562150700647
100129792	0
100129794	-0.0036244986422830933
100129827	-0.029616571808895892
100129845	0
100129858	0
100129917	-0.055819752760563966
100129935	0
10013	-0.024442903681231996
100130155	0
100130249	0
100130264	0
100130331	-0.004781983009005788
100130357	0
100130449	-0.025372220921353862
100130476	0
100130519	-0.012041004277336778
100130522	-0.06677325436196832
100130548	-0.0021095087802156798
100130613	0
100130691	-0.019728096304105762
100130705	-0.0064699096933336425
100130717	7.296085014252261e-4
100130733	0
100130776	-0.025633626854937547
100130894	-0.0040682261381831866
100130933	0
100130950	0.05139614713994539
100130958	0.02685170729488093
100130967	-0.05644308017302418
100131017	0.018273008664141038
100131067	0
100131117	0.059922411653748106
100131138	0.0025751891631651484
100131187	0
100131211	-6.343778606232334e-4
100131213	0
100131303	0
100131347	0
100131366	-0.012785253659632893
100131434	0.021888788865790463
100131496	0
100131655	0
100131691	-0.01639928776343294
100131755	-0.053098954948423496
100131801	0
100131814	0.08252813423392798
100131816	0
100132074	-0.024826043106765214
100132078	-0.010687117322338022
100132341	0
100132386	0
100132464	0
100132476	0.007630117173521871
100132596	0
100132677	0
100132891	0.05667844555506406
100133205	0
100133311	0.006485727201046324
100133461	0
100133612	0.026984597925739453
100133941	-0.006303332106932179
100133985	-0.009971232001412332
100134229	0.04522807947834937
100134259	0.05890016600119065
100134368	0
100134713	0.0034088114838591093
100137047	0.040752342623308534
10014	0
100141515	0.017801321010112132
100144597	0
100144602	0.02114174660977507
100144603	-0.017570009117699886
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0.022810471314770354
100170229	0
100170765	0
100170841	0.028897263668519232
10018	0
100188893	0
100188953	-0.03934002168682731
100189589	0.055995047786070756
10019	-0.0419382552398504
100190938	0.03223254455792007
100192379	0
100192386	0
1002	0
10020	-0.008402209769305462
10021	-0.012020020567635325
10022	0
10023	0
10024	0.02530568028739077
10025	0
10026	-0.03649326895199457
100268168	0
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
100287177	0
100287366	0.005615938648842763
