gene	male-child-coarse-3
1	-0.007819227637552115
10	-0.0018338959577306614
100	0
1000	-0.015580527101292315
10000	0
100009676	0
10001	7.52329008271932e-4
10002	-9.80761045165638e-4
10003	0
10004	0
100048912	0
10005	0
10006	0.0026674129124472654
10007	0
10008	0
10009	0
100093630	0
100093698	0
1001	0.04625276526954945
10010	0
100101467	0
100101938	0
10011	0
100113407	-0.027684644122258663
100124700	0
100125288	0.003559199797476398
100126791	-0.0041540914215482385
100126793	0.009026722366990486
100127888	0.01328754135622608
100127983	-0.00803738617694263
100128025	0
100128071	-0.018552465361623617
100128098	-0.0020847840341282394
100128124	-0.002003056374224312
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0.011505279293778231
100128554	0
100128590	0.005508228384894729
100128640	0
100128731	-0.034066351812066714
100128750	0.002675553745498696
100128782	0.030336428707468548
100128788	0
100128881	0.018153038207812316
100128893	0.033706633906444135
100128927	-0.0012588132349537417
100128946	0
100129128	0
100129175	0
100129195	0
100129196	-0.01769585806831933
100129250	0.004158108900327101
100129271	-0.0015196170748536066
100129361	2.0708289500486615e-5
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0
100129597	0.009600113520895183
100129620	0
100129654	0
100129662	0
100129716	6.051445424222361e-4
100129722	0.005088444939303275
100129726	0
100129792	-0.012007493511881262
100129794	0
100129827	-0.02275746753958631
100129845	-0.005831472455423874
100129858	0.03141234998975159
100129917	0.027791032911981692
100129935	0
10013	-5.086980930834015e-4
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	-0.008281388310431306
100130522	0
100130548	0
100130613	0
100130691	-0.01554154044007495
100130705	0
100130717	-0.005181515233578667
100130733	0.026261261641543947
100130776	0.0060954196388007965
100130894	-0.015256232699514696
100130933	-8.131987833801352e-4
100130950	-0.02301223301849524
100130958	0.0038925092172050917
100130967	0.008273807499666346
100131017	0
100131067	0.034765716890915954
100131117	0.00970162472027821
100131138	0
100131187	0
100131211	-0.023637426508168972
100131213	0
100131303	0
100131347	0
100131366	-0.0010988557501431387
100131434	-0.04560716040784942
100131496	0
100131655	0.009228707162035877
100131691	0.006328874611328345
100131755	-0.011964838114096243
100131801	0
100131814	0
100131816	0
100132074	0
100132078	0.003507759416353568
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.03391750642397621
100133205	0
100133311	0
100133461	0
100133612	-0.0021028880374118534
