gene	male-infant-coarse-3
1	0
10	0
100	0.01907082176713783
1000	0.03525881031495302
10000	-0.009342846648200467
100009676	0
10001	0
10002	0
10003	0.0017958883779229037
10004	-0.032870934013089895
100048912	0
10005	-0.0020581616873278624
10006	0
10007	0
10008	0
10009	-0.008261976282642608
100093630	0.027264549372506556
100093698	0
1001	0
10010	0
100101467	0
100101938	0.006834097779541712
10011	0
100113407	0
100124700	0.0020115837772865376
100125288	-0.008045242416051921
100126791	0
100126793	0
100127888	0
100127983	-0.008294499922538931
100128025	0
100128071	1.816748183837508e-5
100128098	0
100128124	0
100128126	-0.003278986620956308
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0
100128554	0.002834133397722136
100128590	-0.02675582825981193
100128640	0
100128731	0
100128750	0
100128782	0.007820147408668232
100128788	0
100128881	0
100128893	0.008887632746067652
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	0.004869421325016912
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	-0.004307787302505764
100129716	0
100129722	0
100129726	0
100129792	-0.05966300647038827
100129794	0.0013776932285808703
100129827	0
100129845	0
100129858	0
100129917	-0.0035112846849249006
100129935	0
10013	0
100130155	0.004225570382283603
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0
100130705	0.001064629498432734
100130717	0.015493313509109591
100130733	0
100130776	-0.0023733432724687867
100130894	0.0020857318574362344
100130933	0.0038222434522637272
100130950	0
100130958	0
100130967	0
100131017	0
100131067	0
100131117	0
100131138	-0.00105050023887125
100131187	-0.007467004721689257
100131211	0
100131213	-0.0031644981076246153
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	0
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0.006431104631833249
100132476	0
100132596	0
100132677	0
100132891	-0.012404302366222138
100133205	0
100133311	0
100133461	0
100133612	0
100133941	0
100133985	0.00855750193449295
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	-0.03991532996274552
100141515	0
100144597	0
100144602	0
100144603	8.491532460966408e-4
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0
100188893	0
100188953	0
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	-0.01896806394958832
10025	0
10026	0.004248157365157513
100268168	8.445415175775502e-4
100270679	0
100272147	0
100286844	0.005099959456592448
100287015	0
100287114	0
100287177	0
100287366	0
100287482	0
100287569	0.011083117886472715
100287616	0
100287814	0
100287896	-0.00868981347704154
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-0.003972274734612689
100288797	0
100289092	0
100289097	0
100289098	0.003660231714430906
100289187	-0.005259707998003838
100289274	0
100289341	0.0016921152354157755
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	0
100302691	0
100303728	0
