gene	male-adolescent-fine-1
1	0
10	0
100	0.015507092286942966
1000	-0.010566242226926176
10000	-0.022409793040180738
100009676	-0.013328021709119368
10001	-1.515347734856642e-4
10002	0
10003	0.006855981384673934
10004	-0.020672263710720576
100048912	-0.026278177060326362
10005	0
10006	0
10007	0
10008	0.014312889473593054
10009	0
100093630	0.005925596414916828
100093698	0
1001	0.00241137966961491
10010	0
100101467	0
100101938	0.024542423685101084
10011	0
100113407	0.010245268088180578
100124700	-0.012739251537282642
100125288	0
100126791	2.3726040326642266e-4
100126793	0
100127888	-0.0021112486812807905
100127983	0.017071886840857784
100128025	0
100128071	-0.03164026371807216
100128098	-0.010265466323888462
100128124	-0.005767453853487164
100128126	0.007674945745279827
100128139	0
100128164	0.01495790576459451
100128191	0
100128239	-0.00402367797365343
100128325	-0.004377263380874385
100128554	0
100128590	-0.014365063666378427
100128640	0
100128731	-0.009941234350438493
100128750	0
100128782	0
100128788	0
100128881	0
100128893	-0.05411498289732438
100128927	0.01039265932212912
100128946	0
100129128	0
100129175	0
100129195	-0.015858458304339528
100129196	0
100129250	0
100129271	0.006870955860602703
100129361	0
100129427	0
100129461	-0.009193107777963738
100129482	0
100129503	0.03871779423116554
100129550	0.0020701971218856
100129597	-0.002760715847918989
100129620	0
100129654	0
100129662	-0.012417197748638982
100129716	0
100129722	0
100129726	0.044510671238177535
100129792	-0.02656787251220637
100129794	-0.013640359153405262
100129827	0.03290343397805364
100129845	0
100129858	0.006828659080959566
100129917	0.035970276236392255
100129935	0
10013	-0.008957558846197094
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.0015899627105079534
100130449	0.04444799712847312
100130476	0.030518412070077876
100130519	0
100130522	0.029659733212256262
100130548	0
100130613	0
100130691	-0.01771441734481097
100130705	0
100130717	0.022751398819071497
100130733	0.009243857115425577
100130776	-0.007169090514935856
100130894	0.0039850589292154594
100130933	-0.01673886897944921
100130950	0.012410142386815825
100130958	-0.03410849440008109
100130967	0.0471898921715042
100131017	0
100131067	-0.009242125292896298
100131117	-0.027328120746612315
100131138	0.0102900029244402
100131187	0
100131211	0.02839417671417801
100131213	0
100131303	0
100131347	0
100131366	0
100131434	-0.05515158287548876
100131496	0
100131655	-0.012550445038772728
100131691	9.771080731167702e-4
100131755	0.05128065920996429
100131801	0
100131814	-0.0033101248589618992
100131816	0
100132074	1.9971601462307647e-4
100132078	0
100132341	0
100132386	0
100132464	0
100132476	-0.0035026495067429597
100132596	0
100132677	0
100132891	0.030940489986947123
100133205	-0.023230261643989128
100133311	0.0013798473590662776
100133461	0
100133612	0
100133941	0
100133985	0.0022785303363326613
100134229	-0.02006686530848158
100134259	-0.0019777972412049864
100134368	0
100134713	0
100137047	0.0759111896295541
10014	0
100141515	0
100144597	0
100144602	-0.009017930701021738
100144603	0.02310987646730068
100144748	0.023562378127094746
10015	0.017340040030409436
10016	-0.0060295242890771724
100169752	0
100169989	0
10017	-0.02844404395038376
100170229	0
100170765	0
100170841	0.024279099539453907
10018	-0.013432634525699462
100188893	0
100188953	0.006386574540406755
100189589	0.009821410490940286
10019	-0.0015217790082669457
