gene	female-young_adult-fine-1
1	0
10	0
100	0
1000	0.009843424558067936
10000	-0.011376906714510446
100009676	-0.021600792797431854
10001	0
10002	0
10003	0
10004	0
100048912	-1.3801425309338997e-4
10005	0
10006	0
10007	0
10008	9.866754502228475e-4
10009	0
100093630	-0.012170473827093206
100093698	0
1001	-0.037798287884258354
10010	0
100101467	0
100101938	0
10011	0
100113407	-0.027713491158289857
100124700	0
100125288	-0.002069614763897678
100126791	-0.014409796007598162
100126793	0.03275336878505709
100127888	0
100127983	0
100128025	0
100128071	-0.011575804938313552
100128098	-0.02690807465653477
100128124	0
100128126	-0.004120109866175936
100128139	0
100128164	-0.010997972942759343
100128191	0.018478121401437925
100128239	0
100128325	0.02655183000385608
100128554	0
100128590	0.11704293264390418
100128640	-0.010381882693030274
100128731	0
100128750	0
100128782	-0.005109570052851155
100128788	0
100128881	-0.077253295554973
100128893	-0.03914607682889546
100128927	0.012766789040264284
100128946	0
100129128	-0.0063189493551987115
100129175	0
100129195	0
100129196	3.5696235931331104e-4
100129250	0.024820730325130352
100129271	0
100129361	-0.007554421570141845
100129427	0
100129461	0
100129482	0
100129503	0.006964919059878505
100129550	-0.0630629252692198
100129597	-0.00349296817242502
100129620	0
100129654	0
100129662	0
100129716	0.024332065055356854
100129722	0
100129726	-0.023341483985581207
100129792	-0.058665709047881466
100129794	0
100129827	-0.012275491284160462
100129845	0
100129858	-0.02856315977873126
100129917	0.03307218505582535
100129935	0
10013	-0.01884936429615185
100130155	-0.014411199265015051
100130249	0
100130264	0
100130331	0
100130357	-0.006407321176137574
100130449	-0.011628146741632671
100130476	-0.02711319945920643
100130519	0
100130522	-0.011338526761551304
100130548	0
100130613	0.0021161559903009513
100130691	0
100130705	0
100130717	-0.0030797162619645734
100130733	0
100130776	-0.07616983186619936
100130894	0
100130933	-0.013505865052295663
100130950	-0.04462122883086487
100130958	0.014108314130617467
100130967	0
100131017	0.0068953117400919455
100131067	0.013204880910688421
100131117	0
100131138	0
100131187	-0.0018483641957158208
100131211	0.026061856086244076
100131213	-0.025410588218968494
100131303	0
100131347	0
100131366	-0.006498977930503814
100131434	-0.06293479671883966
100131496	0
100131655	0
100131691	0.03400669266883811
100131755	-0.05255861127306526
100131801	-0.04444697772054738
100131814	-0.030149877336736526
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.006185359965000056
100133205	-0.04614539393198411
100133311	0
100133461	0
100133612	0.00323422611220826
100133941	-0.07135857301336594
100133985	0
100134229	-0.007806342770780499
100134259	0.008996961258342004
100134368	0
100134713	0
100137047	0.030691718667821027
10014	0.021154860425318125
100141515	-0.03570799847265326
100144597	0
100144602	0.016973684224876506
100144603	0.011934223962155948
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	-0.0014767347537079129
100170229	0
100170765	0.008027103981488622
100170841	0
10018	0
100188893	0
100188953	0
100189589	0
10019	-0.017270886914576882
100190938	0
100192379	0
100192386	0.018307446992901006
1002	0
10020	-8.899170631511318e-5
10021	0.012291125704962257
10022	0.021038666718993734
10023	0.04605130854458797
