gene	female-middle_adult-fine-1
1	0.04576694203738781
10	0.017200562073742702
100	-0.02510206743927498
1000	0.06531719719097483
10000	0.030565318795889203
100009676	0
10001	0.009251054163031914
10002	0
10003	-0.0021351601039265697
10004	0.04290644206404007
100048912	0.019684304328539935
10005	0.0024971527772689696
10006	0
10007	-0.029430492130322682
10008	-0.02543584329672734
10009	-0.028064473804040594
100093630	-0.08082483447048215
100093698	0
1001	-0.0035116524493809206
10010	0
100101467	0.002175585359498269
100101938	0.008810765186358939
10011	-0.012230459986573145
100113407	0
100124700	0.015560158242149465
100125288	0
100126791	0.02302491133999788
100126793	-0.09313906961998344
100127888	0.023454220955476644
100127983	0
100128025	0
100128071	-0.02045812107419143
100128098	0.013837117198467462
100128124	-0.01817219896198216
100128126	0.020799000017846424
100128139	0
100128164	0.010594401624187004
100128191	0
100128239	0.00835758554796971
100128325	-0.057300775746306154
100128554	-0.0015081012652393684
100128590	-0.015914371563240517
100128640	0
100128731	-0.008175123425528034
100128750	-0.003976517930674479
100128782	0.04654423299188894
100128788	3.549622899037161e-4
100128881	0.002151564185978328
100128893	0.028990613049982763
100128927	0
100128946	0
100129128	-0.004438011158117538
100129175	-0.01593371519085575
100129195	0
100129196	-0.026235505137727422
100129250	0
100129271	0.009496674120397513
100129361	-0.017400939041585774
100129427	0
100129461	0
100129482	0
100129503	-0.0057090410159197635
100129550	0
100129597	0.010398448329338617
100129620	0
100129654	-4.232895889824992e-4
100129662	-0.03216705921988835
100129716	0
100129722	0.015966261846234734
100129726	-0.018716514236111696
100129792	-0.002785845346490104
100129794	-0.021834300355844324
100129827	0.03417133534987355
100129845	-0.012895460876499036
100129858	-0.0013251931761361026
100129917	-0.06371648035669389
100129935	0
10013	0.0037029832289769966
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.04640373693867761
100130449	-0.008885963779902178
100130476	0
100130519	0
100130522	-0.024242333959901812
100130548	0
100130613	-0.012018825321362801
100130691	0
100130705	0
