gene	female-older_adult-fine-1
1	0.011629712007067961
10	0.012746793977915971
100	-0.02274262479127469
1000	0
10000	0
100009676	-0.032397252631167196
10001	-0.006585578460110722
10002	-0.0017588748222736553
10003	0.00921464115399539
10004	0
100048912	0
10005	0
10006	0
10007	0.037948392931256916
10008	-0.016797083188930344
10009	0
100093630	0.0014125547406769793
100093698	0.001625047520122167
1001	-0.016499017660381567
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	0.007299213413516447
100125288	4.383933874911105e-5
100126791	-0.003614379877361832
100126793	0.01734336693792189
100127888	7.889056724577863e-5
100127983	0.07136240323121627
100128025	0.014708385697045476
100128071	0.014878037328723353
100128098	0.005576145759749077
100128124	0.003457552433497873
100128126	0
100128139	0
100128164	0
100128191	-0.013995627148060926
100128239	-0.013332552491161921
100128325	-0.011259647423654127
100128554	-0.001352173377765894
100128590	0.025744514789620553
100128640	0
100128731	-0.011420931318281893
100128750	0
100128782	-0.002868670045267867
100128788	0
100128881	0.010934988871593512
100128893	-0.0067043732286310095
100128927	-0.005036121027809631
100128946	0
100129128	0
100129175	0
100129195	-0.01510647122664866
100129196	-0.021485055649592057
100129250	-0.01981797188336352
100129271	0
100129361	0
100129427	0
100129461	0.01325131950869094
100129482	0
100129503	-0.007886663619586308
100129550	0
100129597	0.010461097868349454
100129620	0
100129654	0.03749189019016705
100129662	0
100129716	0.03957225147409402
100129722	-0.018509897849887633
100129726	-0.0011525616587222285
100129792	0.004849592736782733
100129794	0.002035698777068349
100129827	0.014362903798960809
100129845	0
100129858	0
100129917	0
100129935	0
10013	0.019306628428723244
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.03246073830899425
100130449	0
100130476	0.004071428732757363
100130519	-0.007777068792336979
100130522	-0.013686427417511363
100130548	0
100130613	0
100130691	0.01834229956280041
100130705	0
100130717	-0.07009080732238228
100130733	-0.012672002030448085
100130776	0
100130894	-0.0018828522979298112
100130933	8.818163787858087e-4
100130950	0.020861572734941363
100130958	-0.0785002191771353
100130967	0.025171121611027223
100131017	0
100131067	0.0016574662321811773
100131117	-0.028478954557705705
100131138	0
100131187	-0.04411234719111383
100131211	-0.024460427223266457
100131213	0
100131303	0
100131347	0
100131366	-1.68118186985782e-5
100131434	0
100131496	0
100131655	0.0016775493523968068
100131691	-0.03788539725571829
100131755	0.047478092764343144
100131801	0.006772205246718504
100131814	0.04834593249030366
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	-0.023629106573039856
100132476	0.017021002563611838
100132596	0
100132677	0
100132891	0.013490662850411278
100133205	0.017631137477555535
100133311	-0.0034331910699233804
100133461	0
100133612	-0.06006049043142118
100133941	0.03251034090968078
100133985	0.03379698299949278
100134229	-0.012972819844557833
100134259	0.02376167633356077
100134368	0
100134713	0.0018724311709384048
100137047	0.012032188023605147
10014	0.036021827091128826
100141515	0.027329036466812423
100144597	0
100144602	-0.016455504526392672
100144603	0.03038877857948107
100144748	0
10015	-0.01647653616589217
10016	-0.01864897258241063
100169752	0
100169989	0
10017	-0.04883443723059325
100170229	0
100170765	0
100170841	0
10018	-0.021653426335443194
100188893	2.6503029103123023e-4
100188953	-0.012828450441548393
100189589	0
10019	0
100190938	0
100192379	0
100192386	-0.0074394304632774255
1002	0
10020	0.025314687043403884
10021	0.004530256416692822
10022	-0.018705408522448005
10023	0
10024	0.027657371572357984
10025	-0.0060636272283238705
10026	0.016775797379860766
100268168	0
100270679	-0.00784718775461891
100272147	-0.01718773085341446
100286844	0.007357966680884384
100287015	0.009109709039382456
100287114	-0.0019424452469886252
100287177	0.03541216125030981
100287366	0
100287482	0
100287569	2.0736580931296513e-4
100287616	-0.012492048891495366
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	-0.00399061407932969
100288637	-0.007165505614977434
100288797	0
100289092	0
100289097	0
100289098	0.004470640791504475
100289187	0.051226317808387524
100289274	0.00744269746035872
100289341	0
100289373	0.017021135674582945
100289495	0
100289635	0
100289678	0.00492620620888803
100292680	-0.024631215538986673
100293516	0.02084632177647027
100294362	0.011658015895363215
100294720	0
1003	0
100302691	0
100303728	-0.007397830914000578
100303755	0.01334395601827703
100306951	0.0896462062277048
100316904	0.033258481413277426
100329135	0
100359394	0
10036	0.012199586430791873
100379174	0
10038	-0.02835039493666171
100381270	9.283110081036761e-4
10039	0.01591007591897538
1004	0.0010738056017483954
10040	0.008497657817970659
10042	0.007479229317686935
100422737	-0.010193701056747058
10043	0
10044	-0.002556158044567169
10045	-0.0071911433848016225
10046	0.05424934501794991
10047	0
10048	0
10049	0.0205264265762052
100499171	0
1005	0
10050	0
100500850	-0.022564504307143032
100505474	0.006544097577489645
100505478	0
100505495	0
100505501	-0.011126223511431362
100505515	0
100505538	0.017301084126496204
100505540	0
100505545	0.008996900165493142
100505549	-0.007937167828550265
100505573	0
100505583	0
100505609	0
100505616	0.07123372761652574
100505619	0
100505622	0
100505624	-0.011534791085335746
100505641	0
100505658	0
100505659	0.06326781437615585
100505664	-0.030250924144109195
100505676	0.011481759879891957
100505681	0
100505685	0
100505687	0
100505696	0
100505715	-0.028233294250042396
100505718	0
100505738	0.0027184837741982748
100505741	0
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0.001109605206174886
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0
100505839	-0.007958095600757765
100505841	0
100505851	0.006296039729836982
100505854	0
100505876	4.565516769359435e-5
100505877	-0.015563497507332208
100505879	0.016549217834588525
100505881	-0.01806357784775602
100505890	0
100505893	0.019139796035316604
100505894	0
100505933	-0.028696108824654974
100505964	-0.0015867537536775665
100505967	0
100505975	0.006721594311177301
100505978	0
100505984	0.029468764493247795
100505985	0
100505989	-0.024080718688199044
100506012	0.057621992872808725
100506013	0
100506022	0
100506025	-0.0012633027672121747
100506049	-0.004311372562273715
100506068	-0.04062718465428309
100506071	0.004644413781806774
100506082	0.0013992107716681876
100506083	0.009423399036464278
100506098	0.038699132957971887
100506100	-0.01594128831657129
100506107	0
100506108	0.005721080758896619
100506113	3.3390391831175425e-4
100506115	-0.0372354158311775
100506119	0
100506122	-0.004711347680123726
100506125	0.03446941627932944
100506126	-0.018359063090697642
100506127	-0.0012478716118095776
100506142	0
100506144	0
100506172	0.0012350556561854806
100506175	-0.019570632786075775
100506195	-0.017212501646002635
100506207	-0.005949168392069142
100506215	0
100506229	0.02279784470787982
100506237	0
100506243	0.03367405248734397
100506271	0
100506274	0
100506286	0
100506289	0.01828565345066528
100506302	-0.04792025943385052
100506314	-0.040762922244025224
100506319	0
100506368	0
100506374	0
100506380	-0.10730837552918765
100506385	0
100506405	0
100506406	0
100506409	-0.014754182895858696
100506413	0
100506421	0
100506428	0
100506433	0
100506457	-0.00704143953192559
100506462	0
100506465	0
100506469	0
100506475	-0.021328986258389273
100506489	0
100506492	0
100506495	-0.00930173161675065
100506497	0.004878627537112812
100506498	0.017497017862422772
100506504	-0.018941766432641175
100506526	0
100506527	0
100506530	0
100506540	0
100506542	0
100506571	0
100506581	-0.0021253064243486426
100506599	0
100506603	0.004318949858464772
100506606	0
100506622	-0.011469485632772298
100506655	0
100506660	0.044560722731224425
100506668	-0.0017827607553626665
100506675	-0.027932092635548966
100506677	0
100506679	0
100506680	0
100506686	0.05191875192538859
100506691	0
100506696	0.017292078900482434
100506697	0
100506710	0.03759204289691661
100506713	-0.05023464422601018
100506714	0.028091119670736794
100506724	0
100506733	0
100506742	0
100506755	-0.01407474512612254
100506757	0
100506765	0
100506776	-0.009993816995490791
100506779	0
100506790	0
100506791	0
100506795	0.008138706135496228
100506797	-0.008173232281721489
100506826	0
100506827	0.029391749534114324
100506834	0.02660975377070379
100506840	0
100506866	-0.016674004462561762
100506874	0
100506895	0
100506907	0
100506922	-0.0016731402644099694
100506930	-0.017882690765222156
100506963	0.03178726181381815
100506994	0
100506999	0.03259695802827028
100507027	-0.02825939058791216
100507034	-0.019675755556344196
100507050	1.371293095703049e-5
100507057	0.018198065578688492
100507058	0
100507059	6.166649766472427e-4
100507062	0.009933495977286447
100507064	-0.0756326980182468
100507086	0
100507114	0
100507117	0
100507143	0
100507156	0.008086936733423427
100507171	-0.01273702581689405
100507173	-0.010149280633434864
100507203	-0.013123157580336055
100507206	0.056338298867939014
100507240	0.001598465471268444
100507246	0
100507250	0
100507254	0.03356821078072488
100507257	0.051941340277721265
100507261	0
100507266	0.014784469453651248
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0.02097322770356157
100507303	-0.011816240844069603
100507316	0.04270548057067979
100507331	0
100507336	0.03909923046874006
100507362	0
100507384	0
100507388	0.004266865120609816
100507389	0.004152110091174142
100507391	0.011055756894409135
100507392	0.0011613519060456503
100507403	0.0025769997322520684
100507421	0.06010122971907497
100507423	0
100507428	0
100507433	-0.08798212458150304
100507436	0.03696900244397258
100507459	0.008383480039540626
100507461	-0.001901143202040694
100507462	0
100507463	0.01954763827230796
100507468	-0.013420679625534983
100507470	0
100507475	-0.00827870376166265
100507477	0
100507487	0.059112130602453204
100507495	0
100507506	0
100507524	0
100507527	-0.0023335618158055248
100507533	0
100507534	0
