gene	female-adolescent-fine-2
1	0
10	0
100	0
1000	0
10000	0
100009676	0.008804200987892532
10001	0
10002	0
10003	0.004830121085800795
10004	-0.010652176229044987
100048912	0
10005	0
10006	0
10007	0.006518487214456592
10008	0.02702276894827681
10009	0
100093630	-0.015048721722637264
100093698	0
1001	0.028379562913510323
10010	0
100101467	0
100101938	0
10011	0.00931384849508244
100113407	0.010746799284951012
100124700	0
100125288	0.025278495174188027
100126791	0
100126793	0.00948797295835466
100127888	0
100127983	-0.02538108563139587
100128025	0
100128071	0
100128098	0.004700260208785017
100128124	-0.01630032360829033
100128126	9.419275999522258e-4
100128139	0
100128164	0
100128191	0
100128239	0
100128325	-0.033885470046668566
100128554	0.002086067304456623
100128590	0
100128640	0
100128731	0
100128750	0
100128782	-0.04395677597551683
100128788	0
100128881	-0.025986672044025712
100128893	-0.020303985390041964
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0.014073572625014892
100129196	0
100129250	0.004181513360034004
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0.03153454711006598
100129550	0.009536103611369959
100129597	0
100129620	0
100129654	0
100129662	0.015390163755434809
100129716	-0.026629176191224468
100129722	0
100129726	0
100129792	0.07992917029389685
100129794	0
100129827	0
100129845	-0.01256072032012031
100129858	0
100129917	-0.011456108884889706
100129935	0
10013	0.005895431206748283
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0.04051266725743423
100130476	0
100130519	0
100130522	-0.001722219907691727
100130548	0
100130613	0
100130691	0
100130705	0.0062748946245620345
100130717	0.0340719114752053
100130733	0
100130776	0
100130894	0.0013437915639269223
100130933	0
100130950	0
100130958	0.023423252704296734
100130967	0.06761177640956158
100131017	-0.006410476321433823
100131067	0
100131117	0
100131138	0
100131187	-0.027258680438839635
100131211	-0.00510720545559538
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0.0012941299787014961
100131691	0
100131755	0.09291853336301652
100131801	0
100131814	0.010276960294041524
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.017846058050945256
100133205	-0.018172191762346093
100133311	0.005257948971962867
100133461	0
100133612	-8.988362893401025e-4
100133941	0
100133985	0
100134229	-0.028546022699868678
100134259	0
100134368	0
100134713	0
100137047	0
10014	-0.03067889332895803
100141515	0
100144597	0
100144602	0
100144603	-0.03622901779391042
100144748	0.008522527916849074
10015	0.003850002005144293
10016	0
100169752	0
100169989	0
10017	-0.006130674009235149
100170229	0
100170765	0.030563417177935086
100170841	0.01722458755111778
10018	0.016585591221976097
100188893	0.016101038599627818
100188953	0
100189589	0.019612351917820486
10019	0
100190938	-0.012691919642417851
100192379	0
100192386	0
1002	0
10020	0.006227109141096439
10021	0
10022	0.01907183075642369
10023	-0.027824410133271277
10024	0
10025	0
10026	-9.090610600027186e-4
100268168	0
100270679	0
100272147	-0.07039666639591424
100286844	-0.015763042833774304
100287015	-0.007926518283233729
100287114	0
100287177	0
100287366	0
100287482	0
100287569	-0.03327154689257212
100287616	-0.03200891887978086
100287814	0
