gene	female-adult-coarse-3
1	-0.012207264707465389
10	0
100	0.0048854463098023035
1000	-0.020538417480302166
10000	-0.01832549246422159
100009676	-0.042773032040650305
10001	0.03276581756483268
10002	0.005733251936191114
10003	0
10004	0.09969523667167998
100048912	0.008366904751032113
10005	-0.012880377241821976
10006	0.021018587475772305
10007	-0.03876824617362917
10008	0.05849522031192716
10009	0
100093630	0.0015881974987732984
100093698	-0.021535235374312102
1001	-0.026162617247435398
10010	0.001459575128402532
100101467	0
100101938	-0.05348069410581638
10011	0
100113407	-0.028079595038147578
100124700	0.021206894928807656
100125288	-0.03480125480716598
100126791	0
100126793	-0.08081910020718061
100127888	0.05418766287772961
100127983	-0.020493989912387503
100128025	0
100128071	0
100128098	-0.044057848657956866
100128124	0
100128126	0
100128139	0
100128164	-0.004275741615082099
100128191	-0.01887219637762233
100128239	-0.027989653652119122
100128325	0
100128554	0
100128590	0.06609571181129814
100128640	0
100128731	0.04629270790817234
100128750	0.022526099975851442
100128782	-0.03180416060494011
100128788	0
100128881	-0.058060712605512745
100128893	0.04826582365860813
100128927	0
100128946	-0.015100856540361508
100129128	0
100129175	0
100129195	0.058877798602094626
100129196	0.07721838634955513
100129250	0.00992105538625034
100129271	-0.01296117594794359
100129361	-0.04807030659395825
100129427	0
100129461	-0.08860032725061714
100129482	0
100129503	0.028483390990088182
100129550	-0.010288133910143136
100129597	0
100129620	0
100129654	0
100129662	-0.013425433878374792
100129716	-0.07463703419235973
100129722	0
100129726	-0.008297228398480877
100129792	-0.0017661902708034378
100129794	-0.015438336569048715
100129827	-0.08550602042408528
100129845	0.025164382169651223
100129858	0
100129917	0.01697039507559547
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.02231379738451347
100130449	0
100130476	0.03552255995307616
100130519	-0.0011918756926586678
100130522	-0.02117068577843081
100130548	0
100130613	0
100130691	-0.01966529456460354
100130705	0
100130717	0
100130733	0.006656324298615077
100130776	-0.037660558450814216
100130894	-0.01248888298817546
100130933	-0.007700339302334046
100130950	0.011524850422105904
100130958	0
100130967	0.027193550119789165
100131017	0.03412653251224532
100131067	0.030244229823080455
100131117	0.010853842086516949
