gene	male-child-fine-3
1	0.0030663190058678406
10	-0.025885480311444466
100	0
1000	-0.028373720759424088
10000	0.010819200368541063
100009676	0.008364331763464817
10001	0
10002	0
10003	-0.020237132001206883
10004	0
100048912	0
10005	0
10006	0
10007	0
10008	-0.0038526503841511423
10009	0
100093630	0.05580866507813373
100093698	0
1001	0.002034291372371437
10010	0
100101467	0.009354191415206728
100101938	-0.023186491923399777
10011	0
100113407	0
100124700	0
100125288	0
100126791	0
100126793	2.3723443240413763e-4
100127888	0
100127983	0.020193441040811312
100128025	0
100128071	0
100128098	0.00781737908128682
100128124	-3.0916985781103735e-4
100128126	0
100128139	0
100128164	0
100128191	0.011832476962445042
100128239	0.014029475989955726
100128325	0.0208656943312826
100128554	0
100128590	0.09721590371431241
100128640	0
100128731	0
100128750	0
100128782	-0.011889882241987062
100128788	0
100128881	0
100128893	0
100128927	0.006640853065265568
100128946	0
100129128	0
100129175	0
100129195	0.012592065620453044
100129196	0.0020143203981098116
100129250	-0.024773170610266782
100129271	0
100129361	0.0066077055210854805
100129427	0
100129461	0.010590022498849884
100129482	0
100129503	0
100129550	-0.0044172296485486305
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	-0.004160333208715956
100129792	0.022023776798774517
100129794	0
100129827	0
100129845	-0.02877961545887548
100129858	-0.007176142313107293
100129917	0.022645115774761467
100129935	0
10013	0.008159682608154428
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.02421669677237916
100130449	-0.008732430559863093
100130476	0.011386177343174049
100130519	-0.017388445597846355
100130522	-0.0043206589384328295
100130548	0
100130613	0
100130691	0.03779749934111867
100130705	0
100130717	0
100130733	-0.010868018586997373
100130776	0.020643326850411883
100130894	0
100130933	0
100130950	0.04868100715811913
100130958	5.658319996243404e-4
100130967	0
100131017	0.006261135410500291
100131067	-0.05211907935146707
100131117	0
100131138	0
100131187	-0.010783217057355389
100131211	-0.003939890040289579
100131213	-0.011005013408350167
100131303	0
100131347	0
100131366	0.005631130866767998
100131434	0.088977176491363
100131496	0
100131655	0
100131691	-0.0027502461379250573
100131755	0
100131801	0
100131814	0.04616611086867217
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.02906754725506978
100133205	0.01044331479009484
100133311	1.0010238354406325e-4
100133461	0
100133612	0.006114327273771796
100133941	0.013603077488530572
100133985	0
100134229	0.01133238402973497
100134259	0
100134368	0
100134713	0
100137047	-0.04162444734940004
10014	-0.0050366407596477356
100141515	-0.0441822065545696
100144597	0
100144602	0
100144603	0
100144748	0.018567432626776452
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	-0.01920825057190051
100170841	-0.019670792973415195
10018	-0.02265797334623694
100188893	0
100188953	0
100189589	0
10019	0
100190938	0.016654962719405135
100192379	0
100192386	0
1002	-0.007319490305208117
10020	0.0032249035502875194
10021	0
10022	0.02937540642711518
10023	0
10024	0
10025	0.020847144083621674
10026	-0.026034010698955307
100268168	0
100270679	0
100272147	-0.01824372586045209
100286844	-0.035129729305799044
100287015	0.005406891967920844
100287114	0
100287177	0
100287366	0
100287482	-0.04280913956770539
100287569	-0.02488071493727433
100287616	0
100287814	0.05378864055069482
100287896	0
100287902	0
100287932	-0.002825793881432255
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	-0.04054828920614882
100289097	0
100289098	0.03212829474602371
100289187	0
100289274	0.012995541734102837
100289341	0
100289373	-0.0011149765837082887
100289495	0
100289635	0
100289678	0
100292680	0
100293516	-0.041025260478144164
100294362	-0.01640610822368245
100294720	0
1003	-0.001967772213252475
100302691	0
