gene	female-young_child-fine-3
1	0.005245586964679597
10	0
100	0.0018875718705060737
1000	0
10000	0
100009676	0
10001	0.006113028427477971
10002	0
10003	0.023690241251616322
10004	0.00413940833660904
100048912	-0.00501634408977994
10005	0
10006	0
10007	0
10008	0.008914807409648468
10009	0
100093630	0.041462044627890333
100093698	-0.017793524626302962
1001	0
10010	-0.0047414542017588865
100101467	0.001358456803609645
100101938	0
10011	-0.005048106717853968
100113407	-0.009506392563260533
100124700	0
100125288	0.007779306639783492
100126791	-0.004111261752969742
100126793	0.001903128762979044
100127888	-0.001612118567171025
100127983	5.105746546281731e-4
100128025	0
100128071	0.0035027903215868153
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0.005429385280396815
100128191	-0.01864248822277783
100128239	-0.007798613851461919
100128325	0
100128554	0
100128590	0.007162580787606629
100128640	0
100128731	0
100128750	0
100128782	0
100128788	0
100128881	-0.01808843955380736
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0.01784478964431919
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	-0.03415908351254404
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0.0038383240286795706
100129662	-0.0036617131857523653
100129716	0.005472567938825029
100129722	0
100129726	-0.021548812972245927
100129792	-0.01055163915574976
100129794	0
100129827	0
100129845	0
100129858	0.020540039384471936
100129917	0
100129935	0
10013	0
100130155	0.008109837427787155
100130249	0
100130264	0
100130331	0
100130357	0.006204978255874094
100130449	0
100130476	0.02783743544914837
100130519	0
100130522	0
100130548	0
100130613	0
100130691	-0.004746290455647408
100130705	-0.0027787123293782023
100130717	0
100130733	0.0049271117567266515
100130776	0
100130894	0
100130933	-0.01287234053860682
100130950	-0.017925365852445092
100130958	0.0021967307521376955
100130967	-0.0026802043733415463
100131017	-0.014455953297595319
100131067	0.005570866610962809
100131117	-0.011432044767480007
100131138	-0.004113642714513583
100131187	-0.009366879873778471
100131211	0.021537680161049264
100131213	3.0959667396123354e-4
100131303	0
100131347	0
100131366	-0.02740795349701945
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	-0.028622317875856236
100131814	-0.03720684559133382
100131816	0
100132074	0
100132078	-0.008523221926557327
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.006928538991834611
100133205	-0.004684458865869326
100133311	0
100133461	0
100133612	0
100133941	0.06884219088168941
100133985	0
100134229	0.016500507581083127
100134259	0
100134368	0
100134713	0
100137047	0
10014	-0.00821777979295303
100141515	-0.00520157454876875
100144597	0
100144602	0
100144603	0
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0.024884133970073736
100170229	0
100170765	-0.002409727283937759
100170841	0
10018	0
100188893	0
100188953	0.010257530057681333
100189589	0.005381604248064811
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	-0.0025564104647010726
10021	0
10022	0
10023	0.01797716268914311
10024	0
10025	0
10026	0.01635774232600467
100268168	0
100270679	0
100272147	-0.0026704687257950825
100286844	0
100287015	0.005580755082484261
100287114	0
100287177	0
100287366	0
100287482	0.01818500061215789
100287569	-0.05041778734051787
100287616	-0.03564435618665581
100287814	0
100287896	0
100287902	-0.0032617095961445146
100287932	0
100288079	0
100288122	0
100288198	-0.008031697105210834
100288413	0
100288637	-0.01707989766534143
100288797	0
100289092	0
100289097	0
100289098	0.028783530756900044
100289187	0.02432674079886228
100289274	-0.010928622314783785
100289341	-0.019986955951836645
100289373	0
100289495	0
100289635	-0.002671176433702127
100289678	0.0026481256376146844
100292680	0
100293516	0
100294362	0
100294720	-0.0058942619325611095
1003	0
100302691	0
100303728	-0.013890855264417464
100303755	0
100306951	0
100316904	-0.021586022120910223
100329135	0
100359394	0
10036	-0.02893947962011361
100379174	0
10038	0
100381270	0.006835589009080325
10039	-0.01959491482211453
1004	0
10040	0
10042	0
100422737	0.021845915266445224
10043	-0.0020729479839334698
10044	0
10045	-0.019156728477329854
10046	0
10047	0
10048	0.02001060454480292
