gene	male-older_adult-fine-3
1	-0.011254076965087557
10	0.0320342809324646
100	-0.027565154426450408
1000	0.05877023442502426
10000	0
100009676	-0.006143368477862339
10001	0
10002	-0.0016443440712464931
10003	0
10004	-0.04384884996674273
100048912	0.01626619283222447
10005	0
10006	0
10007	0
10008	0.011540125710267291
10009	0
100093630	-0.04367136507269376
100093698	0
1001	0
10010	0.023826145077841445
100101467	0.001209992984884102
100101938	0
10011	-0.009669100727086976
100113407	0.013494113997829967
100124700	0
100125288	0
100126791	-0.002683818843950503
100126793	-4.6353864780785005e-4
100127888	-0.0012557750738637003
100127983	0.020497439230984293
100128025	0
100128071	0.035763011728825414
100128098	-0.09582441043219332
100128124	-0.01945662823525741
100128126	0
100128139	0.019395686348032792
100128164	0
100128191	0
100128239	0.003841549719702791
100128325	-0.004600622995558417
100128554	0
100128590	0
100128640	0
100128731	0
100128750	0
100128782	-0.0316152097271963
100128788	-0.011400646110391375
100128881	0.03438234810672774
100128893	0
100128927	-0.005485135111734559
100128946	0
100129128	0.05957436015172379
100129175	0
100129195	0.021888563999612372
100129196	-0.02968868234795157
100129250	-0.02062478542646371
100129271	0
100129361	-0.014805086264700612
100129427	0
100129461	-5.232066516274815e-4
100129482	0
100129503	0.010669320175497493
100129550	0.024984682296997213
100129597	0
100129620	0
100129654	-0.023929848863794036
100129662	-0.005530344014348223
100129716	0
100129722	0.004081484352042596
100129726	0
100129792	0.09377942327060662
100129794	0
100129827	0
100129845	0
100129858	0
100129917	-0.026081375567059275
100129935	0
10013	-0.03438629974017091
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.05023521882471973
100130449	0.036806551777640424
100130476	0
100130519	-0.026363978779753848
100130522	-0.006500553132404495
100130548	0
100130613	0
100130691	-0.0031296535452241914
100130705	-3.452077311126182e-4
100130717	-0.05742762529068222
100130733	-0.05542783646970465
100130776	0
100130894	0.006093799530189353
100130933	0
100130950	-0.010564229492155026
100130958	-0.03597124412550238
100130967	0
100131017	0
100131067	-0.0013085938848617113
100131117	-0.023090070700022232
100131138	0.005320246756605869
100131187	0.011593117134037448
100131211	0
100131213	-0.002220863676613462
100131303	0
100131347	0
100131366	-0.03526048709291027
100131434	-0.038631136007699456
100131496	0.0010983241077041263
100131655	-0.006899364852098151
100131691	0
100131755	0
100131801	-0.012346230257533565
100131814	0.0165938338283791
100131816	0
100132074	-0.04338935012563733
100132078	0
100132341	0
100132386	0
100132464	0.006786088885363257
100132476	0
100132596	0
100132677	0
100132891	-0.03918044407769131
100133205	-0.026459812908610908
100133311	0.03298128716808029
100133461	0
100133612	-8.396495717854752e-4
100133941	0.0011384919159750958
100133985	-0.05118824642827613
100134229	-0.03331105448517228
100134259	0
100134368	0
100134713	0
100137047	0.04123215086197742
10014	0
100141515	0
100144597	0
100144602	-0.006503964253188909
100144603	0.024055258588979424
100144748	-0.027442586388632787
10015	-0.004120096952098429
10016	-0.005827208775701654
100169752	-0.008322443337481784
100169989	0
10017	-0.0803278978902919
100170229	0.0030173831575885887
100170765	0
100170841	0
10018	-0.005013163840008311
100188893	0
100188953	0.019665744829741563
100189589	0.004713200566103151
10019	0
100190938	0
100192379	0
100192386	0.05005444107501213
1002	0
10020	0.00358509135576159
10021	0
10022	0
10023	8.37199359079386e-4
10024	-0.016529902142591313
10025	-0.01736003395517186
10026	0.010361112266544547
100268168	0
100270679	0
100272147	0.002904968660743278
100286844	0.0018306102023889742
100287015	-0.005546582100613684
100287114	0
100287177	0
100287366	-0.035005567804502424
100287482	0.020631244694927605
100287569	0
100287616	-0.019989408719389527
100287814	0.0012951158027125465
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	-0.0019307307100219038
100288413	0.022070778266952546
100288637	0.08298292466494177
100288797	0
100289092	-0.03285043449861951
100289097	0
100289098	0.056615062129490835
100289187	0.0374800514538119
100289274	0
100289341	0
100289373	-0.021757365510879825
100289495	0
100289635	0.0041033132423795
100289678	0
100292680	0
100293516	0
100294362	0.021958688404875554
100294720	0.016163616945711674
1003	0
100302691	0.018701917774567235
100303728	0.015367942199020847
100303755	0.0031212640337699624
100306951	0.03960936339497264
100316904	0.030223332037451648
100329135	0
100359394	0
10036	0
100379174	0
10038	0
100381270	0.031257089334661065
10039	0.014135272562877993
1004	-0.05743642659053589
10040	-0.06072702392129725
10042	-0.0013015130757100604
100422737	0.008608142504596001
10043	0
10044	-0.0226732693582125
10045	-0.0063095415786909494
10046	0.002689066276748879
10047	0.001370106013890304
10048	0.03405020528036474
10049	-0.009108899716039578
100499171	0
1005	0
10050	0.01764420445186093
100500850	-0.12492116378821948
100505474	0
100505478	0.010970806698852325
100505495	0
100505501	-0.022545357376251397
100505515	0.008997320171689697
100505538	0.006010394473140334
100505540	1.3917510577996617e-4
100505545	0
100505549	-0.0019423858073090695
100505573	-0.0035725792843583266
100505583	0
100505609	-1.0424716213189364e-4
100505616	0.02278179885241846
100505619	-0.0054324839101319335
100505622	-0.016849665723198126
100505624	-4.6169217695718543e-4
100505641	0.011821902908790394
100505658	-0.003937186926218278
100505659	0.014378062541305966
100505664	0.03649593358746487
100505676	0
100505681	0
100505685	-0.005467040865470977
100505687	0
100505696	0
100505715	-0.030478191440123998
100505718	0
100505738	7.337184498777683e-6
100505741	0.021168672095214048
100505746	0
100505761	0.006406410815414796
100505768	0
100505776	0
100505782	0
100505783	0.016503830130272838
100505797	-0.04158237990697189
100505811	-0.01236896539679498
100505812	0
100505826	-0.028019096222410035
100505839	0.01564648372090013
100505841	0
100505851	-0.025309098026665103
100505854	-0.03162246849952001
100505876	4.071557074416949e-4
100505877	0.021843442630427846
100505879	-0.018144699292335875
100505881	-0.05367389154611744
100505890	0
100505893	0
100505894	0.015135516489984445
100505933	0.03887805732293038
100505964	0
100505967	0
100505975	0
100505978	-0.010745264053554195
100505984	0
100505985	0.019957801394341602
100505989	0
100506012	-0.003749119387975375
100506013	-0.001813294360215759
100506022	0
100506025	0
100506049	0
100506068	-0.07957333099225299
100506071	-0.01515602611594421
100506082	0
100506083	-0.02099195166135985
100506098	-0.019225624502364206
100506100	-0.02588486690282193
100506107	0
100506108	0.011584011123854892
100506113	-0.07857915914973615
100506115	0
100506119	0.005587311097544317
100506122	0
100506125	0
100506126	-0.008342545943028782
100506127	0.03916313968755203
100506142	0
100506144	-0.004476675124947852
100506172	-0.01811065190041152
100506175	-0.007433334413507615
100506195	0
100506207	-0.010759448091459678
100506215	0.02698326412439471
100506229	0.048245696534900386
100506237	0
100506243	-0.03783799686327074
100506271	0
100506274	-0.010098956152791836
100506286	0
100506289	0.01126044816732904
100506302	0.0013717173861846773
100506314	0.06411814462157076
100506319	-0.0059623495216523485
100506368	0.050009197189689276
100506374	-0.0028722016266680347
100506380	-0.07960805483210646
100506385	-0.029372320421885055
100506405	0
100506406	0.005919260536165293
100506409	0.02254311124331716
100506413	0
100506421	0
100506428	-0.0021536281202076684
100506433	0.03877723676970341
100506457	-0.004250931028202156
100506462	-0.007721253289682988
100506465	0
100506469	-0.01567090420449231
100506475	0
100506489	0
100506492	-0.005212017140377368
100506495	0
100506497	-0.04392687300683962
100506498	-0.06458618555683199
