gene	female-older_adult-coarse-1
1	0.05068686825829682
10	0.014572445572220814
100	-0.05360562785262866
1000	0.03806710743609955
10000	0.048525788396276706
100009676	0
10001	-0.027289028894846107
10002	0
10003	0.022215321144930147
10004	0.06340489229024054
100048912	0.004962358888858911
10005	0
10006	0
10007	0
10008	-0.10323923736324439
10009	0
100093630	-0.12607455847296634
100093698	0
1001	-0.034332349321871965
10010	0
100101467	-3.1676070377912e-4
100101938	-0.004074636099285835
10011	0
100113407	0.03779494187253408
100124700	0.0032770228535931706
100125288	0.027868565328244475
100126791	0
100126793	-0.034963367058518505
100127888	0.02621233527759091
100127983	0.03898726980952706
100128025	0
100128071	-0.050638974282019314
100128098	0
100128124	-0.01618961810838287
100128126	0.007453743527057646
100128139	0
100128164	0.03394262726425537
100128191	-0.006988650146832584
100128239	0.018327251045808488
100128325	-0.001082990550025319
100128554	-0.013158196182274694
100128590	-0.13812584189462154
100128640	0.018053933504638364
100128731	-0.017193573025655353
100128750	0
100128782	0.037792420900271614
100128788	0.021588727981208974
100128881	0.029044263573589513
100128893	-0.01504238499459341
100128927	0
100128946	0
100129128	-0.02825625201453414
100129175	0
100129195	-0.0016870936058505643
100129196	-0.03284103855692114
100129250	-0.0099693492039849875
100129271	0.0374506958180835
100129361	0
100129427	0
100129461	0.018252390772031668
100129482	0
100129503	-0.05791811980134942
100129550	0
100129597	0
100129620	-0.0028613775460799118
100129654	2.122425184021313e-4
100129662	-0.008072008301327514
100129716	0.08507884878202647
100129722	0
100129726	0.022095310019342604
100129792	0
100129794	0.002987618006578973
100129827	0.045742435384607906
100129845	0
100129858	-0.06473457651193142
100129917	-0.03648233722481689
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.036619535151555326
100130449	0.004587579611796978
100130476	-0.0032345246061178333
100130519	-0.0014200856389218917
100130522	-0.03118415471265931
100130548	-0.001639008760568662
100130613	-0.027356269822205365
100130691	0.006034395764749253
100130705	0
100130717	-0.009233672909337357
100130733	-0.05431623563606895
100130776	0
100130894	0
100130933	0
100130950	0
100130958	0
100130967	-0.021206157200329128
100131017	-0.0010182520401957385
100131067	0
100131117	0
