gene	male-child-fine-3
10000	0
10001	-0.018318668228817735
10002	0
10003	0
100048912	0
10004	-0.002970341280113847
10005	0
10006	0
10007	0.001539602428267439
10009	0.008310380244348508
1000	0.018733847786755003
10010	0
100126791	-0.020542674666923298
100128124	0
100128640	-0.046403060029722845
100129128	-0.016784306419298803
100129250	-0.00404428100736913
100129271	0.011193976784956582
100129361	0
100129482	0
100130331	0
100130449	0
100132341	0
100132476	0.0027870243103711124
100134713	0
100137047	-0.002657957307214612
10013	7.710571826714539e-4
10014	-0.0033416027885190634
10015	-0.0055986270201004076
10016	-3.141742995696923e-4
10017	0
100188893	0
10018	-0.006514885884289291
10019	0
1001	-0.015021113626368795
10020	0.0012375263277787582
10021	-0.0044793822432353855
10022	-0.002762336772836921
10023	0
10024	0
10025	0
10026	0.010986361217195758
100272147	0
100287932	0
100288413	-0.006449005465105017
100289678	0
100293516	-0.032168536913730665
1002	6.826308401219304e-4
100316904	0.006458899520927277
10036	0.010352219746208343
10038	0
10039	0
1003	0.011391404760938006
10040	0.016298569793659092
10042	0
10043	9.81364131440259e-4
10045	-0.0031189105075555734
10046	-0.016987031374896745
10047	-0.009732394987563807
10048	0
10049	-0.001591018692099192
1004	0
100505741	0.022102192194685667
100505761	0.00930929238363191
100505879	0
100505933	0
100506144	0.008049094318023463
100506469	0.005407951381460738
100506504	0
100506571	0.0042125363797073925
100506581	-6.231290914071298e-4
100506963	0
100507331	0
100507436	-0.019708706833132368
100507605	0
10050	0.011435573180793043
10051	0
10052	-0.008019518566607873
10053	0.0023854957333852003
10054	0
10055	-0.009563568495870136
10057	0
10058	-0.011756104518853807
10059	2.6190515768388634e-4
1005	0.001611737120060649
10060	-0.014559649061843982
10061	0
10062	0
10066	-0.0029774761389007335
10067	0
10069	0.001164644787282438
1006	0.0038326300276840817
10072	-0.008349962743919725
10073	0.0011846199446059079
10075	-0.004933170555883874
10076	0
10077	-1.6221386548401855e-4
10078	0.010473541568432401
10079	-0.015693427232619267
1007	0
10083	-0.014115994809797985
10084	-0.024331448119205533
10085	-0.004818614187944924
10086	0
10087	0.0010496797296328693
10089	-8.939062083364495e-5
1008	0
10090	-0.014515688069179465
10092	0.0023429430959343678
10093	4.4858320323240536e-4
10095	0.007066333519853184
10096	0.004320427479014613
10097	0
10098	-0.010754679317298685
10099	0
1009	-0.006402882169418112
100	-0.010921868668276352
10100	-3.0904096136084635e-4
10101	0
10102	-0.008013002784290879
10103	-0.01239838656509208
10105	-0.009923407276024976
10106	0
10107	0
10109	-0.006741100659236494
1010	0
10110	0
10111	0
10112	-0.005981404421336353
10113	0.002354690279441005
10114	0
10116	0.003978445515432687
10120	0.008035859533470916
10121	0
10123	-0.026368523561623745
10125	0.0088589069297073
10126	0
10127	0.0010220335143359936
10128	-0.004738306174023915
10129	-0.006416059369038179
1012	-0.010153383956854365
10130	0.00989129947462393
10131	-0.008192746290205964
10133	0.004328956194878198
10134	0.00597519029388004
10135	0.014474357693952621
10136	0.01595774691130979
10137	-0.0019990067626565965
10138	0
10139	0
1013	-0.005744033690323773
10140	-0.013078649088073812
10141	-0.009490409932037614
10142	-0.01000688712231693
10144	0
10146	4.727168217434089e-4
10147	-0.006890583783207803
10148	0.024334342402956798
10149	0
1014	-0.02461570334143418
10150	0.007254680698883829
10152	0.007660346329125038
10153	0.012242400332105037
10154	0.012165422412114931
10155	0
10157	0
10158	0.10488476195492151
10159	0.004637318316073484
1015	8.297533473018541e-5
10160	-0.00622750933201211
10161	0.010279727934069718
10162	0
10163	0.005898623867045683
10164	0
10165	-0.04185292531566464
10166	0.010871349018804224
10168	0
1016	0
10170	0.01258656680899556
10171	9.149819741926799e-4
10174	0.0014743076774616493
10175	0
10178	-0.02463222169374899
10179	0
1017	-0.002135682428370273
10180	0
10181	-0.004140694662382815
10184	-0.004337751087709514
10186	-0.007084474801313959
10188	-0.023597603377071518
10190	-0.01719101282019062
10193	0
10195	-0.0074473024953288745
10196	-0.014155506382590473
10197	0
10198	0.012992279271789232
10199	0
1019	0.0015245252467384156
101	0
10200	0
10201	0
10202	0.00692553466389659
10203	0.021385261695045725
10205	0
10206	0.0031906170763352612
10207	-0.01024113325033695
10208	0.005430044833044638
10209	0.004220876496109152
1020	0.010617285695456625
10210	0.008311803204559112
10211	0
10212	-0.016776594576298463
10213	-0.008104847379187015
10214	0
10215	-0.0031932194176059036
10216	-0.00914317065256026
10217	5.228921814616396e-4
10218	0
10219	0
1021	0
10220	0
10221	-0.001332620370894843
10223	0.011075790158082344
10225	-0.03951505969788217
10226	0.0016523019497163341
10227	0
10228	0
10229	0
1022	-0.023637757870146037
