gene	male-young_child-fine-2
1	0
10	0
100	0.023070215369423854
1000	0.017101173017005672
10000	0
100009676	0
10001	0.01664220892559758
10002	0
10003	0.0028622075936371952
10004	0.019553510620863867
100048912	-0.01862429231266041
10005	0
10006	0
10007	-0.01561792981748988
10008	-0.010528933229811988
10009	0
100093630	0.04558258407790637
100093698	0
1001	0.032693848221062825
10010	-0.0013941904501685671
100101467	0.005765022295322078
100101938	0
10011	0
100113407	0
100124700	0
100125288	-0.01643179236474409
100126791	0
100126793	0.014134832557502648
100127888	0
100127983	-0.0035442549821872796
100128025	0
100128071	-0.009064190284610751
100128098	-0.008135488833575708
100128124	0
100128126	0
100128139	0
100128164	0.010276607160522167
100128191	0
100128239	-0.013241046141720631
100128325	-0.010410066370063734
100128554	0
100128590	-0.0705978500777987
100128640	0
100128731	-0.013485536969578236
100128750	0
100128782	0.0754499061072899
100128788	0
100128881	-0.014907845988165849
100128893	0.005222632087201147
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	-0.022696853985778257
100129250	0.02384830926155496
100129271	0
100129361	0.0055572122762088125
100129427	0
100129461	0.004541951785189367
100129482	0
100129503	0
100129550	0.016117905668963303
100129597	0.002618129388262652
100129620	0
100129654	0
100129662	0.004709738414742552
100129716	0
100129722	0
100129726	0
100129792	0
100129794	0
100129827	0
100129845	0
100129858	0.023222103648057196
100129917	0.01612211416802591
100129935	0
10013	0
100130155	-0.012549434226522837
100130249	0
100130264	0
100130331	0.005406890550623953
100130357	-0.008648534652249948
100130449	-3.166065627679276e-4
100130476	0
100130519	0
100130522	0.03380191806310696
100130548	0
100130613	0
100130691	-0.015202892772184366
100130705	0
100130717	-0.040773160762581515
100130733	0
100130776	0
100130894	0
100130933	0
100130950	-0.021908574454950813
100130958	0.0482696516868371
100130967	0
100131017	0.0019300806221191798
100131067	0.017324186138032792
100131117	0.007986174065878877
100131138	0.01960464288930048
100131187	0
100131211	-0.01363428406903299
100131213	-0.006175854519209535
100131303	0
100131347	0
100131366	0
100131434	-0.03856488774230129
100131496	0
100131655	0
100131691	-0.008451019907266788
100131755	0
100131801	-7.680255790484463e-4
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.015334527125261654
100133205	0
100133311	0
100133461	0
100133612	-0.0018656067977645201
100133941	0
100133985	0
100134229	0
100134259	0.004068064063492523
100134368	0
100134713	0
100137047	0
10014	0
100141515	0.026861477334357082
100144597	0
100144602	-0.022833116494330407
100144603	-0.0057176827711234775
100144748	0.022789213962570467
10015	0
10016	0
100169752	0
100169989	0
10017	-0.012822572139713795
100170229	-0.016034351061066047
100170765	0
100170841	0
10018	0.003376121299922927
100188893	-0.020918565370630353
100188953	0.0010683039111256097
100189589	0.008722861953671932
10019	0
100190938	-0.001816537768042105
100192379	0
100192386	0
1002	0.0055893720641755976
10020	0
10021	0
10022	-0.015543894446376041
10023	0
10024	-0.05051779435065922
10025	0
10026	0
100268168	0
100270679	0
100272147	-0.011876990169153428
100286844	0
100287015	0
100287114	0
100287177	-0.020528994607732172
100287366	0
