gene	male-adult-fine-2
1	-0.021486351528398593
10	0
100	0
1000	0
10000	-0.007237423634407599
100009676	0.009696317535553453
10001	0
10002	-0.027392659557144438
10003	0
10004	0.01165983030492431
100048912	0
10005	0.005915231034783351
10006	0
10007	0.010199016609367
10008	0
10009	-0.0090790177139093
100093630	0
100093698	0
1001	0.02717614539021374
10010	-0.023661732356757254
100101467	-0.0016331704442558606
100101938	-0.030148254293429946
10011	0
100113407	0.045478740331749645
100124700	0
100125288	0.04997120735315102
100126791	0
100126793	-0.001528636031099228
100127888	0.01989995056184541
100127983	-0.019697483142365323
100128025	0.009842941636628393
100128071	0
100128098	0.019327368279480412
100128124	0
100128126	-0.0035728528085870776
100128139	-0.005261672708711293
100128164	0
100128191	-0.002277510767954273
100128239	-0.019538637091645394
100128325	0.04241538615948016
100128554	-0.033814092836640136
100128590	0.061018723144524674
100128640	0
100128731	0.001759974378855833
100128750	0
100128782	-0.01914981020758519
100128788	0
100128881	0
100128893	0
100128927	0.00242156205938126
100128946	-0.018359396279489407
100129128	-0.02168456261453238
100129175	0
100129195	-0.0037677284021780154
100129196	0.032327655115835345
100129250	0
100129271	0.004707237033361699
100129361	-0.0040719000758135445
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0.006068738471311212
100129597	0
100129620	0
100129654	0
100129662	0.021757793450434885
100129716	0.018198869691155885
100129722	0
100129726	0.03514549171694193
100129792	0.006889751862204613
100129794	0
100129827	0.04296856502926814
100129845	0
100129858	0
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	-0.018066640818322228
100130357	-0.07524709057135585
100130449	-0.029262162687260725
100130476	2.0456657839919073e-4
100130519	0
100130522	0
100130548	7.280744941457919e-4
100130613	0
100130691	-0.042099680521582986
100130705	0
100130717	0
100130733	0.001294187457804961
100130776	-6.996853911616694e-4
100130894	0
100130933	-0.019995656340155807
100130950	-0.019293428315682485
100130958	0.010702605752163327
100130967	0
100131017	0.02220635579317512
100131067	-0.0014457399264337536
100131117	0.06766471517989171
100131138	0
100131187	0
100131211	-0.03268414878026487
100131213	-0.00674163935769268
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0.009017204386883325
100131691	0.014953704000159745
100131755	0.012950981370636269
100131801	-0.04050584922452247
100131814	0
100131816	0
100132074	0.010186060639256977
100132078	0
100132341	0
100132386	0
100132464	0
100132476	-0.01787288198013518
100132596	0
100132677	0
100132891	-0.03734592331540466
100133205	0
100133311	-0.005387146268878032
100133461	0
100133612	-0.009053618311335531
100133941	0.0736526752326139
100133985	0
100134229	-0.05544981153447633
100134259	-0.003995756933654624
100134368	0
100134713	-0.016659547042784953
100137047	-0.0635097027765111
10014	0.002674397774886859
100141515	0.02166874849421905
100144597	0
100144602	-0.06227252211165255
100144603	0
100144748	-0.03533368396859131
10015	0
10016	-0.009633814206735042
100169752	0
100169989	0
10017	0.05119422281442014
100170229	0
100170765	-2.4764462981010125e-4
100170841	0
10018	0
100188893	0
100188953	-0.026144307954926463
100189589	-0.03875375219147379
10019	0
100190938	-0.01703898489168759
100192379	0
100192386	-0.03475915094937886
1002	0.009926139684549706
10020	0.014177722014529574
10021	0
10022	-0.015491377406271541
10023	0.008787917625662101
10024	-0.024799238746906937
10025	-0.028076453146097288
10026	0
100268168	2.4418272275807205e-4
100270679	0
100272147	0.01978572934054484
100286844	-0.006901283760168893
100287015	0
100287114	0
100287177	0.07092452615381785
100287366	0.002024341358469688
100287482	-0.015089399347307398
100287569	0.08288088550497627
100287616	-0.01921656878410607
100287814	0
100287896	-0.010394970646050447
100287902	-0.00208315857666652
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-3.5972102100071426e-4
100288797	0
100289092	0
100289097	0
100289098	0.0298576322126788
100289187	0.019004803908212155
100289274	0
100289341	-0.0066525729769884075
100289373	0.01348665161455302
100289495	0
100289635	0.07088749482476522
100289678	0
100292680	0
100293516	0
100294362	-0.027912857833045333
100294720	-0.018802897529678248
1003	0
100302691	0
100303728	-0.01388777839011153
100303755	-0.038367957060282724
100306951	-5.3322334317980596e-5
100316904	0.007822843203861497
100329135	0
100359394	0
10036	-0.0011657034813100427
100379174	0
10038	0.037139691767619575
100381270	0
10039	0.025224939995151484
1004	0
10040	0.032448095164110305
10042	0
100422737	0
10043	0
10044	0
10045	0.01831329330223702
10046	-0.005868295863814541
10047	0
10048	-0.012637610390595572
10049	0
100499171	-0.04782214649057913
1005	0
10050	-0.00816994739413524
100500850	-0.05789007904567045
100505474	-0.03427166737044175
100505478	-0.009541202517684913
100505495	0
100505501	-0.019507365929574503
100505515	0
100505538	0.04333968317169463
100505540	0
100505545	0
100505549	-0.0029499535787467545
100505573	-0.005506302700259145
100505583	0
100505609	0
100505616	-0.028616116880800457
100505619	0
100505622	0
100505624	0.04328984276938919
100505641	0
100505658	0
100505659	-7.651580283772329e-4
100505664	-0.050809003768811055
100505676	0
100505681	-0.008092462998573973
100505685	0
100505687	0
100505696	-0.06600115979858541
100505715	0.01862936801473019
100505718	0
100505738	-0.030140976446540613
100505741	-0.005899980960870369
100505746	0
100505761	-0.004325987198872044
100505768	-2.767926284658765e-4
100505776	0
100505782	0
100505783	-0.044370903913836246
100505797	0.04332255231028098
100505811	0
100505812	-0.003575977487408945
100505826	-0.0335548106115737
100505839	0
100505841	0
100505851	-2.9597042769304683e-4
100505854	-0.04192549771175538
100505876	0
100505877	-0.004032026622869466
100505879	-0.011453054398178385
100505881	0.04878427837614059
100505890	0
100505893	0
100505894	0
100505933	0.015253571466188446
100505964	0.007065299584575837
100505967	0
100505975	0.053486663827425916
100505978	0
100505984	0.013323844355127453
100505985	0
100505989	0
100506012	-0.007379037688137192
100506013	0
100506022	0.053463227488834024
100506025	0.015567186611755133
100506049	0
100506068	-0.014593290010367405
100506071	0
100506082	-1.7874755448833054e-4
100506083	0
100506098	0.016307452428469923
100506100	0.07831977560889725
100506107	0
100506108	0
100506113	0.005256630111909157
100506115	0.03312148914769265
100506119	-0.09445140118223402
100506122	0
100506125	0.005587039919803112
100506126	0
100506127	0.0035131262452243323
100506142	0
100506144	0
100506172	0
100506175	0
100506195	0
100506207	0
100506215	-0.01206773474035875
100506229	0.014372814291178693
100506237	0
100506243	-0.019058849729366587
100506271	0
100506274	0
100506286	0
100506289	-0.0011890629918878393
100506302	-0.022110549233714097
100506314	0.013586782330064854
100506319	0.019863970591965985
100506368	0.019146726745950707
100506374	0.05000363342588305
100506380	0
100506385	9.040100487848506e-5
100506405	0
100506406	0
100506409	0
100506413	0
100506421	-0.008547274413581848
100506428	-0.0011714338101539608
100506433	0
100506457	-0.03541934521029946
100506462	0.025444930408056843
100506465	0
100506469	0
100506475	0.018457551618391962
100506489	0
100506492	0
100506495	-0.03297129249059302
100506497	0
100506498	-0.00163242903423841
100506504	-0.09185097682071436
100506526	-3.519083275665251e-5
100506527	0.0020444913182181357
100506530	0
100506540	-0.06438129938623205
100506542	0
100506571	0
100506581	0.006260797230109985
100506599	-0.002596972483607764
100506603	-0.027774822192224286
100506606	0
100506622	0.006351761077615464
100506655	0.0068976402648739405
100506660	-0.028323447991236286
100506668	0
100506675	0
100506677	0
100506679	-0.006805921869531224
100506680	0
100506686	0.002206019372520869
100506691	-0.020824175899466318
100506696	0.030380285405678487
100506697	0.01219207744255381
100506710	0
100506713	0.016703684390067277
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0.03626819798755722
100506757	0.029381436263195695
100506765	0
100506776	-0.03067871855566163
100506779	0
100506790	0
100506791	0
100506795	-0.010851409183631802
100506797	0
