entrez	group
23416	Breast_female
3821	Breast_female
3822	Breast_female
3852	Breast_female
3855	Breast_female
121391	Breast_female
3887	Breast_female
3889	Breast_female
5288	Breast_female
89869	Breast_female
8437	Breast_female
6337	Breast_female
6579	Breast_female
6489	Breast_female
59341	Breast_female
7421	Breast_female
8900	Breast_female
2835	Breast_female
688	Breast_female
259232	Breast_female
10562	Breast_female
55504	Breast_female
57596	Breast_female
26257	Breast_female
122748	Breast_female
122618	Breast_female
26499	Breast_female
29986	Breast_female
548596	Breast_female
1159	Breast_female
1381	Breast_female
84978	Breast_female
145864	Breast_female
6447	Breast_female
8128	Breast_female
64220	Breast_female
23336	Breast_female
221188	Breast_female
6367	Breast_female
1001	Breast_female
1258	Breast_female
6376	Breast_female
54620	Breast_female
3038	Breast_female
9951	Breast_female
146433	Breast_female
10942	Breast_female
6299	Breast_female
6340	Breast_female
608	Breast_female
780776	Breast_female
8714	Breast_female
136	Breast_female
489	Breast_female
782	Breast_female
146754	Breast_female
2118	Breast_female
256957	Breast_female
22806	Breast_female
3691	Breast_female
3866	Breast_female
3872	Breast_female
8735	Breast_female
57125	Breast_female
9058	Breast_female
146802	Breast_female
146857	Breast_female
6662	Breast_female
80320	Breast_female
342667	Breast_female
30009	Breast_female
23495	Breast_female
84951	Breast_female
2837	Breast_female
79755	Breast_female
83539	Breast_female
1823	Breast_female
1824	Breast_female
1825	Breast_female
1828	Breast_female
1830	Breast_female
2922	Breast_female
9050	Breast_female
494470	Breast_female
5268	Breast_female
10331	Breast_female
84446	Breast_female
83987	Breast_female
973	Breast_female
60680	Breast_female
1264	Breast_female
125965	Breast_female
284340	Breast_female
93099	Breast_female
84467	Breast_female
2525	Breast_female
2528	Breast_female
84941	Breast_female
7087	Breast_female
126306	Breast_female
3783	Breast_female
147700	Breast_female
5653	Breast_female
11202	Breast_female
114783	Breast_female
94025	Breast_female
342897	Breast_female
284353	Breast_female
204801	Breast_female
199713	Breast_female
4902	Breast_female
342979	Breast_female
8612	Breast_female
79883	Breast_female
5672	Breast_female
10045	Breast_female
6689	Breast_female
91646	Breast_female
51298	Breast_female
57348	Breast_female
164284	Breast_female
671	Breast_female
64405	Breast_female
1908	Breast_female
2139	Breast_female
55612	Breast_female
5266	Breast_female
11122	Breast_female
55423	Breast_female
6590	Breast_female
7022	Breast_female
30813	Breast_female
81030	Breast_female
10317	Breast_female
9073	Breast_female
1525	Breast_female
54101	Breast_female
64699	Breast_female
53347	Breast_female
164668	Breast_female
91319	Breast_female
100423062	Breast_female
113730	Breast_female
150365	Breast_female
10633	Breast_female
6523	Breast_female
6663	Breast_female
25830	Breast_female
255349	Breast_female
164656	Breast_female
115650	Breast_female
959	Breast_female
2833	Breast_female
84443	Breast_female
84636	Breast_female
90293	Breast_female
54830	Breast_female
27334	Breast_female
9468	Breast_female
11040	Breast_female
139411	Breast_female
11254	Breast_female
84889	Breast_female
340543	Breast_female
56159	Breast_female
51442	Breast_female
1805	Breast_male
462	Breast_male
33	Breast_male
114800	Breast_male
114805	Breast_male
10736	Breast_male
13	Breast_male
7200	Breast_male
4887	Breast_male
2255	Breast_male
51334	Breast_male
5924	Breast_male
22836	Breast_male
153201	Breast_male
1268	Breast_male
222553	Breast_male
29887	Breast_male
5324	Breast_male
63951	Breast_male
6505	Breast_male
53354	Breast_male
9060	Breast_male
10008	Breast_male
84689	Breast_male
58475	Breast_male
5138	Breast_male
121601	Breast_male
552	Breast_male
83445	Breast_male
55885	Breast_male
114795	Breast_male
29953	Breast_male
122970	Breast_male
85445	Breast_male
1728	Breast_male
3217	Breast_male
3218	Breast_male
388336	Breast_male
80000	Breast_male
64344	Breast_male
54102	Breast_male
27443	Breast_male
139065	Breast_male
8653	Breast_male
9086	Breast_male
8284	Breast_male
22829	Breast_male
83259	Breast_male
6192	Breast_male
90665	Breast_male
9087	Breast_male
8287	Breast_male
7404	Breast_male
7544	Breast_male
8653	Caudate_male
9086	Caudate_male
8284	Caudate_male
22829	Caudate_male
83259	Caudate_male
6192	Caudate_male
90665	Caudate_male
9087	Caudate_male
8287	Caudate_male
7404	Caudate_male
7544	Caudate_male
8653	Cerebellar-cortex_male
9086	Cerebellar-cortex_male
22829	Cerebellar-cortex_male
6192	Cerebellar-cortex_male
8287	Cerebellar-cortex_male
7404	Cerebellar-cortex_male
7544	Cerebellar-cortex_male
148823	Cerebellum_female
9464	Cerebellum_female
11328	Cerebellum_female
2731	Cerebellum_female
338376	Cerebellum_female
284129	Cerebellum_female
1311	Cerebellum_female
55655	Cerebellum_female
