gene	female-adolescent-fine-1
10000	-0.004127580739235064
10001	-0.014777644883440355
10002	0
10003	-0.022429454274536312
100048912	0
10004	0.007099119020140781
10005	-0.005670425439447677
10006	-0.004715919082688104
10007	1.31995069367565e-10
10009	0
1000	-0.0038179826161792232
10010	0.018213241339572184
100126791	0
100128124	-0.0050882481708609435
100128640	0
100129128	0.015364322913273788
100129250	-0.00560337321169672
100129271	0.016535902026182006
100129361	0
100129482	0.013516050062745507
100130331	0.0028380394613053816
100130449	-0.006616692577762006
100132341	-0.0020372726006094594
100132476	0
100134713	0.005750502510512095
100137047	-0.005234830503158493
10013	0
10014	0.002223894710283829
10015	0.004082412922849049
10016	0
10017	-0.011155062826174851
100188893	7.842727461685301e-11
10018	0
10019	-1.6013494259549476e-9
1001	9.815763489044764e-12
10020	0.004751790299446446
10021	0
10022	-0.0026513370856300787
10023	-0.008902742340951383
10024	0
10025	-0.0053500168869738615
10026	0.002083039220771215
100272147	-0.0029647311839800143
100287932	-4.413895773340947e-4
100288413	3.8040594193433335e-11
100289678	-0.0021935823017777793
100293516	0.02900736130599561
1002	0
100316904	4.851763031771507e-10
10036	0.001175593532452063
10038	1.2364784905007888e-10
10039	3.74906945224498e-4
1003	0.0059805771727716615
10040	-0.04874286965729332
10042	-8.67827195826629e-4
10043	2.2818376247352098e-11
10045	-0.011385716881242494
10046	0.01507602106974614
10047	0.0064310005753183295
10048	7.43077399349794e-11
10049	1.6605782351156135e-10
1004	0.019347797168264996
100505741	-0.00365868966667568
100505761	0.009730920410132097
100505879	0
100505933	1.785939916424706e-11
100506144	0.005832722101179385
100506469	-0.0038529480084315546
100506504	-0.018041829923106885
100506571	-0.011925148236477001
100506581	-0.009738088370463029
100506963	-2.124762433636324e-5
100507331	0.012356975536653964
100507436	0.02111274592672782
100507605	0
10050	-0.014323914624354152
10051	1.6475324152747478e-10
10052	-0.006403050809005548
10053	-0.006198090133950091
10054	-8.766836057919987e-4
10055	-0.011370102784528104
10057	-0.009762371204679762
10058	0.02674273580180515
10059	3.057342070164097e-11
1005	0
10060	0.006364613327486124
10061	-0.006317346454698927
10062	0.01112512694760914
