gene	female-young_adult-fine-2
10000	0.001377585122627002
10001	0.016638126262708133
10002	0
10003	-0.0018284322108691614
100048912	-0.0049081219854724845
10004	0
10005	0.007883666281710267
10006	0.00935279623057888
10007	-0.013777780010759582
10009	-0.010025444473450799
1000	0.014984607762583486
10010	-0.008909477514765998
100126791	0.011621592538608064
100128124	3.542318024050979e-4
100128640	0.008895434562652852
100129128	0.008268279260343599
100129250	0.007958145857211215
100129271	0.003419383773825964
100129361	0
100129482	0.0036112901119808713
100130331	0.002064801008702767
100130449	0.005257841278208573
100132341	-0.028025998415485816
100132476	0.01611868227563958
100134713	5.6101507023004274e-5
100137047	6.114093422383304e-4
10013	-0.004732204692387242
10014	-9.27999984990671e-4
10015	0.010476080067236233
10016	0.015499754506994451
10017	0.01437803681432565
100188893	-0.007641758669928075
10018	-0.009423693718877857
10019	-1.6288284093532045e-5
1001	-0.0014747074674048002
10020	0.007572736200582965
10021	-0.014296601684395345
10022	-0.009407767666570666
10023	-9.46159390098289e-11
10024	0.007220563995410193
10025	0.03972546425803048
10026	-0.023930925687633643
100272147	0.01790379611588113
100287932	-0.003458042365496755
100288413	0.025033508590282492
100289678	-0.024483946361608982
100293516	-0.020824684055990503
1002	-0.008980549694781185
100316904	0.03300964293871796
10036	-0.0010273791095486739
10038	-0.014405163832029179
10039	-0.03749999970045764
1003	0.001351130318674837
10040	-0.022379494002891805
10042	-9.782376672982586e-4
10043	0.009265972529005387
10045	-0.04445646565487598
10046	-0.05726194206901125
10047	0.0028816874425418707
10048	0.02162675416112986
10049	0.018264712777645364
1004	-0.02635798483547791
100505741	0.020977996866256027
100505761	0.010919217472082536
100505879	-6.042014949845379e-4
100505933	0
100506144	0
100506469	-0.002735563641191924
100506504	0.025083032720472027
100506571	0
100506581	-0.005757190386953646
100506963	0.017718495417385825
100507331	0.002575440536797893
100507436	0.035898169935250523
100507605	0
10050	-0.020632857364296514
10051	-0.0025029762756563923
10052	0.009745653717033557
10053	0.01758636531337456
10054	0
10055	0
10057	0.0064697138968461505
10058	-0.019285327732575918
10059	0
1005	-0.011887254005147103
10060	0.004977045956238287
10061	-0.002362090186676229
10062	0.0010591058571280795
10066	0.011798290774298814
10067	0
10069	0.00415583179721074
1006	0
10072	-0.03528440296775888
10073	6.98318189113214e-4
10075	0.006489772456394868
10076	0
10077	0.02285763498849313
10078	0
10079	-0.034831140135765035
1007	0.09749595953433043
10083	-0.006815924390346645
10084	0
10085	0.04119601575853761
10086	0.009249772601106737
10087	-0.02057860402264169
