gene	female-adult-fine-2
1	-0.030486308130040694
10	0
100	0.009276285751652841
1000	-0.070434626923873
10000	0
100009676	0
10001	-0.004368237528321157
10002	0
10003	0.014695018448722117
10004	-0.04508089842190481
100048912	0.062245563788009675
10005	0
10006	0
10007	-5.540895003315925e-4
10008	0
10009	0.012580635720044392
100093630	0.11086678078271738
100093698	0
1001	0
10010	-0.006055872735597926
100101467	0
100101938	-0.0047709702914663045
10011	-0.011033451983763383
100113407	-0.05640246714088876
100124700	0
100125288	-0.015834502957260847
100126791	0.020969413986941403
100126793	-0.00902680127041696
100127888	-0.0400810487113259
100127983	-0.041749101775874445
100128025	-8.963034736946951e-4
100128071	0.019462483771271934
100128098	-0.0179654660432512
100128124	0.052933658739804476
100128126	-0.021286720262162242
100128139	0
100128164	-0.0037891797600181614
100128191	0
100128239	0
100128325	-0.028153863967760907
100128554	0
100128590	-0.11133846106745147
100128640	-0.004484332446884872
100128731	0
100128750	0
100128782	0.11300339756512663
100128788	-0.0020738816689764793
100128881	0.0463820627881326
100128893	0.060623464562596374
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	0.06732365899438378
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0.014130513953703
100129550	0
100129597	0
100129620	0
100129654	0
100129662	0.013177762460716799
100129716	-0.01401299131023937
100129722	0
100129726	0.008262695781681314
100129792	-0.03570140111312226
100129794	-0.0051376272023833545
100129827	-0.028338443242379215
100129845	0
100129858	0.011505196582728113
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	-0.009278419083821748
100130357	-0.0265326360203628
100130449	-0.012630528470686832
100130476	-0.023831389728326227
100130519	0
100130522	0.03277411111518166
100130548	0
100130613	0
100130691	0.03986301698296051
100130705	0
100130717	0.02211099228701677
100130733	0.03078632270861138
100130776	9.068582601882594e-4
100130894	0
100130933	-0.024779634130471503
100130950	0.018286309589829887
100130958	0.02596081142015644
100130967	0.00580082996617764
100131017	-0.03336307683541349
100131067	-0.02072718933839437
100131117	-0.03261099906829352
100131138	-0.017511532395399154
100131187	0
100131211	0.034450428067005746
100131213	-0.0018951103089963801
100131303	0
100131347	0
100131366	0.009485880752401546
100131434	0.0106222374520479
100131496	0
100131655	0
100131691	0
100131755	-0.07309234094814034
100131801	0.008933429663381565
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.06244353991352925
100133205	0
100133311	0
100133461	0
100133612	-0.016495260281076472
100133941	-0.0337152624773292
100133985	0.04308659218090812
100134229	0.01808907977044318
100134259	-0.021095332990993566
100134368	0
100134713	0
100137047	0
10014	0
100141515	-0.062481172781033566
100144597	0
100144602	0.009754241258228484
100144603	0.03643868257463323
100144748	0
10015	-0.009953254798793656
10016	0
100169752	0
100169989	0
10017	0.03752365092961129
100170229	0.009849193907147346
100170765	-0.02145644740609323
100170841	0
10018	0.013770945410200424
100188893	0
100188953	-0.01542504059094414
100189589	-8.535245909744296e-4
10019	0
100190938	0.03542106337884276
100192379	0
100192386	0
1002	-0.00817084883299153
10020	0.020839910196568525
10021	0
10022	0
10023	0
10024	-0.05710507946034807
10025	0.006101658733609075
10026	0.028540324642506457
100268168	0
100270679	0
100272147	0.006650458038759127
100286844	0
100287015	0.008431577217852633
100287114	0
100287177	0.047839461673688424
100287366	0
100287482	0.013887993204297776
100287569	0
100287616	-0.005680859581156289
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	9.605780121856873e-4
100288198	0
100288413	-0.032977101650257454
100288637	0
100288797	0
100289092	-0.0027650775184553306
100289097	0
100289098	-0.0011222948373014224
100289187	0
100289274	0.004784766093566557
100289341	0
100289373	-0.015982546152828677
100289495	0
100289635	-0.014342431743979799
100289678	0.022385062738370282
100292680	0
100293516	0.005397278302888872
