gene	female-fetus-coarse-1
10000	0
10001	0
10002	0
10003	0.009012692033009157
100048912	0
10004	0
10005	0
10006	0
10007	0
10009	0
1000	0.010092480943126599
10010	0
100126791	0
100128124	0
100128640	0
100129128	0
100129250	0
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	0
100132476	0
100134713	0
100137047	0
10013	0
10014	0
10015	0
10016	-0.00175536829975586
10017	0
100188893	0
10018	0
10019	0
1001	0.0011350985615516307
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100272147	-7.986251560168637e-4
100287932	0
100288413	0
100289678	0
100293516	0
1002	9.474143473912546e-4
100316904	0
10036	0
10038	0
10039	0
1003	0.0028059887407376072
10040	0
10042	0
10043	0
10045	0
10046	4.715995737493006e-4
10047	0
10048	-7.027341256161806e-4
10049	0
1004	0
100505741	0
100505761	0
100505879	0
100505933	0
100506144	0
100506469	0
100506504	0
100506571	0
100506581	0
100506963	0
100507331	0
100507436	0
100507605	0
10050	0
10051	0
10052	0
10053	0
10054	0
10055	0
10057	0.004749579062264382
10058	0
10059	0
1005	0
10060	0
10061	0
10062	0
10066	0
10067	0
10069	0
1006	0
10072	0
10073	0
10075	0
10076	0
10077	0
10078	0
10079	0
1007	0
10083	-0.0012111626072589395
10084	0
10085	0.0018803753696950587
10086	0
10087	0
10089	0
1008	0.0035293518373553812
10090	0
10092	0
10093	0
10095	-0.005992189367522582
10096	0
10097	0
10098	0.006612643476495167
10099	0
1009	0.021046850149649042
100	0
10100	0
10101	0
10102	0
10103	-0.0016768972655861777
10105	0
10106	0
10107	0
10109	0
1010	0.004177788733479523
10110	0
10111	0
10112	0
10113	0
10114	-6.401023667285084e-4
10116	0
10120	0
10121	0.0025450295188416253
10123	0
10125	0
10126	0
10127	0
10128	0
10129	0
1012	0.005529535064652068
10130	5.154456739147534e-4
10131	0
10133	0
10134	-0.0010723548073788543
10135	-4.686691632628069e-4
10136	0
10137	0
10138	0
10139	0
1013	0
10140	0
10141	0
10142	0
10144	0.00365031852631301
10146	0
10147	0
10148	0
10149	-0.002474756369486255
1014	0.002167871499120607
10150	0
10152	0
10153	0
10154	-0.007085341518198899
10155	0.0013426880606686507
10157	0
10158	0
10159	0
1015	0
10160	0.00398161193370971
10161	0
10162	0
10163	0
10164	-5.296240336668878e-4
10165	0
10166	0
10168	0
1016	-0.005503753256919456
10170	0
10171	0
10174	0
10175	1.5332271836245934e-4
10178	0
10179	0
1017	0
10180	0
10181	1.2107141385751547e-4
10184	8.506519023178712e-5
10186	0.0010626389134488724
10188	0
10190	0
10193	0
10195	0
10196	0
10197	0
10198	0
10199	0
1019	0
101	0
10200	0
10201	0
10202	-0.0023750852710266745
10203	0
10205	0
10206	0
10207	-0.0019480775336429296
10208	0.002390210774313208
10209	0
1020	0
10210	0
10211	-0.0036334830006825624
10212	0
10213	0
10214	0
10215	0
10216	-5.692867151112914e-5
10217	-1.3313489858119725e-4
10218	0
10219	-0.0025565320339484407
1021	0
10220	3.729668760748001e-5
10221	0
10223	-8.705146814373997e-4
10225	0
10226	0
10227	0
10228	0
10229	0
1022	0
10230	-0.0014130264146587938
10231	-0.007886864243521526
10232	0
10233	0
10234	0.03390672434763484
10235	0
10236	0
10237	0
10238	0
10240	0
10241	0
10242	0
10243	-0.002676545526377214
10244	0
10245	0
10246	0.0014511660282927863
10247	-0.002271859199327962
10248	0
10249	0
10250	0
10252	3.0045025765452945e-4
10253	0.00951650501217646
10254	0
10255	0
10256	0
10257	0.0020128894096426726
1025	-7.66095111735644e-4
10260	0.0035046863973680377
10261	-5.290215139859875e-4
10262	0
10263	0
10265	-0.002611776598272281
10266	9.900199337845755e-4
10267	-0.01267098604291514
10268	0
10269	0
1026	-5.7677365073669805e-5
10270	0
10272	0
10273	0
10274	1.3556789119734903e-4
10276	-0.0013657884669995325
10277	0
10278	0
