gene	female-adolescent-fine-3
1	0
10	0
100	0.02503339787901738
1000	-0.008268727055053942
10000	0
100009676	0
10001	-3.220476599350151e-4
10002	0.002272755095258268
10003	-0.013847205301174729
10004	-0.021862620023463494
100048912	-0.012140246465116125
10005	0.01949685066718573
10006	0
10007	0.01678032421621758
10008	0.036083455745246594
10009	0.007075709647412092
100093630	-0.02766650264823263
100093698	0
1001	5.255140486961081e-4
10010	0
100101467	0.008189786036127591
100101938	0
10011	-0.007899710007965206
100113407	0
100124700	0
100125288	-0.005634015147808728
100126791	0
100126793	0.031057987068648242
100127888	-0.001878041621589267
100127983	0.008544951280608726
100128025	0
100128071	-0.0057968591577393465
100128098	0
100128124	0
100128126	0
100128139	0
100128164	-0.005607076430022384
100128191	0.00476496427035607
100128239	0.014516429538107091
100128325	-0.0227292377742451
100128554	0.008490623732038917
100128590	-0.05687703681863346
100128640	0
100128731	0
100128750	0
100128782	-0.009035845677190452
100128788	0
100128881	0
100128893	-0.031133082502003116
100128927	0
100128946	0
100129128	0
100129175	0
100129195	-0.003214687350546708
100129196	-2.1815425094682406e-4
100129250	0.0394044419415444
100129271	0
100129361	0.011082331632126352
100129427	0
100129461	0
100129482	0
100129503	0.023545297223198237
100129550	0
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0.007396374235424293
100129792	0
100129794	0
100129827	0
100129845	-0.017589901202111808
100129858	0
100129917	-0.03612426324222392
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.03908132855925445
100130449	-0.007450346176352327
100130476	-0.024150638388195002
100130519	2.3088872590647098e-4
100130522	0
100130548	0
100130613	0
100130691	0.08756238297675242
100130705	0.007535205369195587
100130717	0.001991269998029461
100130733	0
100130776	0
100130894	0.0010357231283644845
100130933	0
100130950	0.005272620286992499
100130958	0.06389952191484828
100130967	0.04482574206027374
100131017	0
100131067	-0.06714188506890405
100131117	0
100131138	0
100131187	-0.024590966584593036
100131211	0.00858657132151785
100131213	0.001169660235253182
100131303	0
100131347	0
100131366	0
100131434	0.03381187019503213
100131496	-0.0027361210624424546
100131655	0
100131691	4.937722188985068e-4
100131755	-0.01599543090586984
100131801	-0.009142314951898892
100131814	-0.015365554779631363
100131816	0
100132074	0.003964682193647831
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.03828311099370733
100133205	0
100133311	0
100133461	0
100133612	-0.006178207983562403
100133941	0.07155513836222994
100133985	0
100134229	-0.01770388580219511
100134259	0
100134368	0
100134713	0
100137047	-0.005868566847425404
10014	0.010224832944026386
100141515	0
100144597	0
100144602	0
100144603	-0.010104010686422587
100144748	0.03650689166143213
10015	0.0054901666774943726
10016	0
100169752	-0.0064092033920333255
100169989	0
10017	-0.025114734619691485
100170229	0
100170765	0.014154592728221504
100170841	0
10018	0.017282458396006176
100188893	0
100188953	-0.019795886119812218
100189589	0.03830834759671143
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0.011057101405271816
10021	0
10022	0
10023	-0.003375325980771662
10024	0.0699847303231019
10025	-0.01252702912157651
