gene	male-young_child-fine-3
10000	-0.006054883942119218
10001	0.0028620866270341167
10002	-0.012585724137046275
10003	0
100048912	-0.005638273502151341
10004	0.015236332498726876
10005	0
10006	-0.001096979569115745
10007	0
10009	0.005731918219612586
1000	-0.005002785365877526
10010	0
100126791	0
100128124	0.01235881452954682
100128640	0.009806716209881584
100129128	0.0018752444145481214
100129250	0
100129271	0.0014347255077626357
100129361	0.015280478842742024
100129482	0
100130331	-0.002316653792866628
100130449	-0.009641423912744963
100132341	0
100132476	0
100134713	0
100137047	0.006207521086208572
10013	0
10014	0
10015	4.0759932321953906e-5
10016	-5.579878050472824e-4
10017	0
100188893	0
10018	-0.007746279789030091
10019	-0.0024360683877528537
1001	-0.007086687863019905
10020	0.0212006758622228
10021	0
10022	3.819814164160452e-4
10023	0
10024	-0.004111800242716584
10025	0
10026	0
100272147	-3.275642999950269e-4
100287932	-0.00477043178770546
100288413	0
100289678	-0.00459526724702764
100293516	-0.012505810595618597
1002	-0.008579616818133611
100316904	-1.4214681723497547e-4
10036	0
10038	-0.007968371318398918
10039	-0.006255340845771858
1003	0.0031434819609583043
10040	-0.028723440651707937
10042	0
10043	-0.005537826095928432
10045	-0.012540116639345436
10046	-0.03427059461604799
10047	0.0016951637607453684
10048	-0.007106387528650547
10049	0.006737604180323918
1004	0
100505741	0.020871245867099007
100505761	0
100505879	0
100505933	0
100506144	-0.008862690352576627
100506469	0.005160045686707416
100506504	0.003256411416317308
100506571	0.02114870450608692
100506581	0
100506963	0.003753338044264956
100507331	0
100507436	0.0030846098240924972
100507605	-0.0011149561332687934
10050	-0.011429481359847034
10051	0
10052	0.00865516797914831
10053	0
10054	-7.034820586923904e-12
10055	0.0017085902645835752
10057	-0.01766260200163048
10058	0.0019144467422802817
10059	0
1005	0.001242551491043087
10060	0.002297087442089792
10061	-0.006720496638997598
10062	-0.015123001109551702
10066	0
10067	0
10069	-0.022114586733775362
1006	-0.010039312670892867
10072	-0.001859710539271237
10073	0.0028120444349884867
10075	8.618480155376355e-5
10076	3.318887066292142e-5
10077	-0.001270794537747424
10078	0
10079	0.0025138758137453567
1007	0
10083	0
10084	0
10085	0
10086	0.007350481106087381
10087	0
10089	-0.009085114664828595
1008	-0.02204413651874524
10090	0.005800906975360998
10092	0.004036874894500214
10093	0
10095	0.008636249485935533
10096	0
10097	-0.007987455862042348
10098	-0.017584196895406776
10099	0.026681047360364047
1009	0
100	-0.012176923706109
10100	0.011092582492458177
10101	0
10102	-0.008760535630572611
10103	0
10105	-0.008954915297633849
10106	-0.02819152873159198
10107	0
10109	0
1010	0.002726896797088129
10110	-0.0017437264709420414
10111	0.009287640432904665
10112	-0.0025281831686619484
10113	0
10114	0
10116	0
10120	0
10121	-9.412716258613048e-4
10123	0.009533516115805774
10125	0.011392384231478188
10126	0
10127	0
10128	0
10129	-0.0030671937038747325
1012	0.007129866499806085
10130	0.003976955958122473
10131	0.011889303774780742
10133	0.02360729687572449
10134	0
10135	0.014320663660440283
10136	0.005923949992049432
10137	-0.009472360111536193
10138	-0.006914114999919667
10139	0
1013	0
10140	-0.006790858710781535
10141	0.010406159663110015
10142	-1.9809226441227254e-4
10144	-0.02705539360551903
10146	0
10147	-0.0025399853001829816
10148	0.014646786626123382
10149	0
1014	0.023541134670547238
10150	-0.026063485260297108
10152	0.003308365280435618
10153	-2.2482844089622605e-4
10154	0.006586430993158667
10155	0
10157	0
10158	-0.01008736326509583
10159	0.006870890374732776
1015	-0.0029380381433952683
10160	-0.004994552024157692
10161	0.006255010823184831
10162	0.004214357133168036
10163	-0.004136773485365724
10164	0
10165	0.0071900780284048305
10166	6.640278809106632e-4
10168	0.001004611337930564
1016	0
10170	-0.012207255153613681
10171	-0.010349764461696427
10174	-7.274004670588371e-4
10175	0
10178	-0.020922453209609528
10179	-0.002573280954661528
1017	0.0026985228038017475
10180	0.006305218664178682
10181	0
10184	0
10186	-0.044254042648695605
10188	0
10190	3.7188079275003727e-4
10193	-0.006367501491256234
10195	-0.010437263252092387
10196	0.004951467474591204
10197	-0.006317058932244866
10198	0.01349501237839294
10199	-0.005818375518961157
1019	0
101	0.019227972243902693
10200	-7.230306610543933e-4
10201	0.010495259845370784
10202	-0.012015150011636801
10203	-0.016061414921898564
10205	-0.005378497141680213
10206	0
10207	-0.013799511010222566
10208	-0.01885429844106267
10209	0
1020	0
10210	-0.0017330050364107203
10211	0
10212	0.004537560534988586
10213	-0.002878064752266749
10214	-0.0036317844315024365
