gene	female-elderly-coarse-3
10000	-2.6281021853741097e-4
10001	-0.005644665489382456
10002	-5.3472421531670395e-5
10003	0
100048912	0
10004	0.0037403744363859862
10005	-0.006022278932178636
10006	-8.224509757712032e-4
10007	0.003471120556373636
10009	-0.007523427153173936
1000	-0.011849181599380103
10010	-9.99842651697112e-4
100126791	-0.001736713547791734
100128124	-0.002419881207746315
100128640	1.0603123050991563e-4
100129128	-2.5431886871580086e-4
100129250	0.00493213125616957
100129271	-0.01799276184912431
100129361	0
100129482	0.007233258939301466
100130331	0.015365617662046178
100130449	0.018579428801876043
100132341	-0.0071811359239997785
100132476	-0.004257082743864684
100134713	-0.030522826442014764
100137047	-0.01536141531829931
10013	0.0035185332525115762
10014	0
10015	0.007756482879306397
10016	0
10017	-0.0051439721320216125
100188893	0.007459739091244466
10018	-0.0030370604180575056
10019	0.010995589404121592
1001	0
10020	0.021712860784832977
10021	-0.005598778356895712
10022	-0.006907858741819918
10023	0
10024	0
10025	0.008841665353746394
10026	-0.0016071565101140747
100272147	-0.005065963097582001
100287932	0.0034290261728824596
100288413	-0.02225430274799138
100289678	0.006742020412620303
100293516	0
1002	-0.0027164568135204154
100316904	0.021386291202241583
10036	0.014699930577878342
10038	-0.007126235041374926
10039	-0.025556999846937087
1003	-2.868795889429772e-4
10040	0
10042	0.005106795506531018
10043	0
10045	0
10046	-0.035648093358607205
10047	-0.0027201616816560003
10048	0.018098736531702107
10049	-0.017359836049167392
1004	-0.03450413462932147
100505741	-0.0013162404405055793
100505761	-0.013645790606805212
100505879	-0.0026445624670237773
100505933	0
100506144	-0.007456851741896753
100506469	0
100506504	-0.005700698284398668
100506571	2.4306526681759228e-5
100506581	0
100506963	0
100507331	-0.003383628716890043
100507436	0.06025229131132148
100507605	0
10050	0.01747294993764515
10051	-0.03791375379598442
10052	2.810455126427375e-6
10053	-0.004843970573505604
10054	0
10055	-0.012446028444114939
10057	0
10058	-0.023563896439559456
10059	-0.007063919133518357
1005	0.007997659081018777
10060	0
10061	0
10062	0.025854693772414974
10066	-9.57521565308634e-4
10067	-0.002858951393845339
10069	0
1006	-0.008399178524006916
10072	0.006330286118909333
10073	-0.016150026058777037
10075	0
10076	0.013916552202009339
10077	0
10078	-0.0027021528887912327
10079	-0.006546476749303649
1007	0
10083	0.010064681947773754
10084	-0.0011114483363002723
10085	0.004897453508117673
10086	0
10087	-0.002724341324907721
10089	-0.008991993562099277
