gene	female-young_adult-fine-2
1	0.005212284937799723
10	0
100	0.012784902559371331
1000	-0.015658855811743807
10000	-0.045424144751782705
100009676	-0.015672068511160226
10001	0
10002	0
10003	-0.0024341078084230503
10004	0
100048912	-0.0642192901877973
10005	0
10006	0
10007	0
10008	0.029311651139916316
10009	0
100093630	-0.01528471028049093
100093698	0
1001	-0.010728818616934019
10010	0.031420429681927944
100101467	0
100101938	-0.0038117166904301043
10011	0
100113407	-0.04411521380080968
100124700	6.437140723143289e-4
100125288	0.007932318722815244
100126791	-0.01538547855253791
100126793	0.016868094844423965
100127888	0
100127983	0
100128025	0.022024763846610677
100128071	0
100128098	-0.050422558882464046
100128124	0
100128126	0
100128139	0.004595716778141
100128164	0
100128191	0
100128239	0.010997889333362704
100128325	0.06049980603631446
100128554	-0.009598026756736829
100128590	0
100128640	0
100128731	0.027973327160520863
100128750	0.019307603152350503
100128782	-0.0026310315926062196
100128788	0.008612740613599667
100128881	0
100128893	-0.05199423822308986
100128927	0
100128946	0
100129128	-0.005222428062956217
100129175	0
100129195	0
100129196	0.042760575241587766
100129250	0.05001508202970294
100129271	0
100129361	0
100129427	0
100129461	-0.002998688084901715
100129482	0
100129503	-0.025939762844598015
100129550	-0.035360712070731215
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	-0.00037596419696611086
100129726	0
100129792	-0.04273384608489845
100129794	0.0031692890020060295
100129827	0.03882809247299229
100129845	0
100129858	-0.05032957584141693
100129917	0.03756091974530307
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	-0.01563300245443983
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	-0.04411304434489317
100130705	0
100130717	-0.037735618590163694
100130733	0.019753399124689222
100130776	-0.029441629518558488
100130894	-0.0021424797800816526
100130933	0.03104010985558683
100130950	-0.031108337187300848
100130958	0
100130967	0
100131017	0
100131067	0.0012872275535716611
100131117	0.02352427061050322
100131138	0
100131187	0.0350777788932134
100131211	-0.07765266976378546
100131213	0
100131303	0
100131347	0
100131366	0
100131434	-0.06322646068459474
100131496	0
100131655	-0.009980132345158507
100131691	-0.026196361018141455
100131755	-0.0682143783235402
100131801	0
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	-0.011446513062076774
100133311	0
100133461	0
100133612	0.011072942685360191
100133941	-0.04702806589114174
100133985	-0.0013646917522112964
100134229	0
100134259	0.05378017499329177
100134368	0
100134713	0
100137047	0.028246179883845174
10014	-0.014737272305282425
100141515	0.018758913131681973
100144597	0
100144602	0.01549658066932762
100144603	0
100144748	0
10015	0.019085200933225566
10016	0
100169752	0
100169989	0
10017	-0.0257218177484753
100170229	-0.003038864913639454
100170765	0.014757282938533997
100170841	0
10018	0
100188893	0.003859112393822388
100188953	0
100189589	-0.02321992053369142
10019	0.001325769858895582
100190938	0
100192379	0
100192386	0.020833588515896753
1002	0
10020	-0.014385480511272976
10021	0.006034080967276874
10022	0
10023	0.04310359919546188
10024	0.048408770166886786
10025	0
10026	-0.018767512932241156
100268168	0.0034435779939693146
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
100287177	0
100287366	0
100287482	0
100287569	-0.060189800493107355
100287616	0
100287814	-0.019784946362732914
100287896	0.0030405350684257365
100287902	0
100287932	-0.006064760374523478
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-0.020377308993643768
100288797	0
100289092	0.0459242089007859
100289097	0
100289098	-0.024443892313313755
100289187	-0.014158503819648057
100289274	0
100289341	-0.036195570940116745
100289373	0.01751540235038152
100289495	0
100289635	0
100289678	-0.007562842118005076
100292680	0
100293516	0
100294362	-0.005724003772561408
100294720	0
1003	0.008584493223672284
100302691	-0.0011209276000578475
100303728	-0.027608463135731124
100303755	0
100306951	0
100316904	-0.01487050141850848
100329135	0
100359394	-0.004013948108641972
10036	-0.00916772917488547
100379174	0
10038	-0.012295773081806353
100381270	-0.018453170931078098
10039	-0.052861552914900176
1004	-0.01966677123065154
10040	-0.007056201924718262
10042	-0.003711605140598597
100422737	0
10043	0
10044	0
10045	0
10046	-0.014070579436786228
10047	0
10048	0.021507247357302733
10049	-0.025169673520353278
100499171	-0.024741768765318518
1005	0
10050	0.001226204307266966
100500850	-0.052332820175077836
100505474	0.010059474040931837
100505478	0
100505495	0.015787124729504866
100505501	0
100505515	0
100505538	0.0255408158243724
100505540	0
100505545	-0.010277657699429843
100505549	-0.02990843319812534
100505573	0.0038160236610482825
100505583	0
100505609	0
100505616	0.013368220564807335
100505619	0
100505622	0
100505624	-0.03897944570095212
100505641	0
100505658	0
100505659	0
100505664	0
100505676	-2.528151059686364e-4
100505681	-0.022423358234849554
100505685	0.005058953327482494
100505687	0
100505696	0
100505715	0
100505718	0
100505738	0
100505741	0
100505746	0.06203668933891243
100505761	0.013338587924064131
100505768	0
100505776	0
100505782	0
100505783	-0.018130891002504545
100505797	-0.009497702497193406
100505811	-3.076475044172177e-4
100505812	-0.01759224778628241
100505826	0.04236358188796093
100505839	0
100505841	0
100505851	-0.028710036455665364
100505854	0
100505876	-0.0013306429264650175
100505877	0
100505879	7.63528245402873e-4
100505881	0.036623019612589465
100505890	0
100505893	0
100505894	0.008631898950112014
100505933	0
100505964	0.0035857269594749643
100505967	-0.008091990570317037
100505975	0.003471027085924238
100505978	0
100505984	-0.01066587600562092
100505985	0
100505989	0
100506012	0
100506013	-0.036291321993204194
100506022	0
100506025	0.023944179656563022
100506049	0
100506068	0.014514788608829038
100506071	0
100506082	0
100506083	0
100506098	0.030662849485039154
100506100	-0.029925238458503572
100506107	0
100506108	0
100506113	0.07641682591310071
100506115	-0.031335880583620336
100506119	0
100506122	0
100506125	0.026988994503622292
100506126	0
100506127	-0.0374054808927854
100506142	0.04123799979940754
100506144	0.016525586554868552
100506172	0
100506175	0.01016452783355445
100506195	0
100506207	0.023318417203532876
100506215	0.025486938113179394
100506229	0.040138280058635914
100506237	0
100506243	0.05759445711847057
100506271	0
100506274	-0.0018457123313064614
100506286	0
100506289	0
100506302	-0.008850005475904739
100506314	-0.01780078290039142
100506319	0.025762628272780093
100506368	0
100506374	0
100506380	0.07030190591833094
100506385	0
100506405	0
100506406	0
100506409	-0.01504507753922934
100506413	-0.0020497426296676503
100506421	0
100506428	-0.0018677535023371927
100506433	0.03525686154476506
100506457	-0.0041706092010657635
100506462	-0.018913393817115324
100506465	0.02513513990114157
100506469	-0.016138628231063306
100506475	-0.011585947195358867
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0.03232852827660456
100506504	0
100506526	0
100506527	0
100506530	0
100506540	0.05250450184947609
100506542	-0.007944969339492836
100506571	0
100506581	8.547729373002323e-4
100506599	0.008314595111252463
100506603	-0.0178617965462846
100506606	0
100506622	0
100506655	0
100506660	-0.012720205177131065
100506668	0
100506675	0.07587084925035925
100506677	-2.3652937834683414e-4
100506679	0
100506680	0
100506686	-0.06383080486659483
100506691	-0.04135555568061808
100506696	-0.016634459964322505
100506697	0
100506710	0
100506713	0.0176615555656737
100506714	-0.051550479238828835
100506724	0
100506733	0
100506742	0
100506755	0
100506757	-0.0019098743261609017
100506765	0
100506776	0.06344239420461943
100506779	0
100506790	0
100506791	0.0011902431095544555
100506795	0.0071299561901593195
100506797	-0.008604724869878809
100506826	-0.009977095918716606
100506827	0
100506834	0
100506840	0
100506866	0.00210959839743593
100506874	0
100506895	0
100506907	0
100506922	-0.06715369072507806
100506930	0.040767368509366325
100506963	0
100506994	0
100506999	0
100507027	0
100507034	0.02129375221078684
100507050	0
100507057	-0.034568296775004954
100507058	0
100507059	0
100507062	0
100507064	0.05593769710855987
100507086	0
100507114	-0.021814530498157486
100507117	0
100507143	0
100507156	0
100507171	0
100507173	-0.026806081760411295
100507203	0
100507206	0
100507240	0
100507246	0.009291749362885206
100507250	0
100507254	0
100507257	0.012822180889639245
100507261	0.010828420821905417
100507266	0.028691184563590932
100507274	0
100507277	0
100507283	0.025338413483701742
100507290	0.020531510417827498
100507300	0.0171541702914182
100507303	-0.004929216545055873
100507316	-0.01358830922030008
100507331	-0.00758950732403621
100507336	0
100507362	0
100507384	0.017683603730554522
100507388	0.008787385194325254
100507389	0
100507391	0
100507392	0.017585540191425143
100507403	0
100507421	0
100507423	0
100507428	-0.00242871992084338
100507433	-0.011511553576519248
100507436	0.02334831303888571
100507459	0
100507461	0.017650606453689172
100507462	0.0243045977423071
100507463	0
100507468	0
100507470	0
100507475	-0.019855812630779575
100507477	2.850597305341467e-4
100507487	0.06719101723316563
100507495	0.005528280454453168
100507506	0
100507524	0
100507527	0
100507533	0
100507534	0
100507537	0.05183754797251419
100507540	0
100507547	0
100507564	0
100507567	-0.03255454098505008
100507584	0
100507600	0
100507602	0.07580768580684588
100507605	0
100507629	0
100507632	0.010873999609854716
100507642	0.04970140181615203
100507650	0.015777231243941026
100508631	0
10051	-0.006747909339730473
10052	-0.021543823253574197
100526820	-0.02181043559317715
100528062	-0.017075517060062582
10053	0.04491462318793946
100533106	-0.012636202887016699
100533178	0
100533182	-0.02774721832510124
10054	-0.01666215743723515
10055	0
10056	-0.0018843335662487638
10057	0
10058	-0.007217662272355633
10059	0
1006	-0.051350548801080066
10060	5.775982679467346e-4
10061	0
10062	0.05421308318787102
100628307	0
100631378	0
100652740	0
100652791	0.003996381205111622
100652824	0
100652853	0
100652911	0
100652929	0
100652999	-0.0015107984987210565
10066	-0.0027319948962375856
10067	0
10068	-0.013478774612131046
10069	-0.0045992653236079555
1007	0
10071	-0.014308566452445057
10072	0
10073	0
10075	0
10076	0.0010017661021757332
10077	-0.029776119009036813
10078	0.02101743260391821
10079	0.052243678002162085
1008	0
10081	0
10082	0
100820829	0
10083	0
10084	0
10085	0.018738364573877373
100852408	0
100852409	0
100859921	0
100859930	0
10086	-0.01609193225042375
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0.010207054899398627
100862671	-0.06909477329337146
100862679	0.009826387839206183
100862680	0
100862704	-0.019003839087965692
10087	1.0280942212833063e-4
100873930	0.012516663878793884
100873942	0
100874012	0
100874018	0
100874021	0
100874032	-0.012137948337061161
100874051	0
100874063	0
100874143	0
100874178	0.004201053990326545
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	-0.025822342048563172
100874253	0.03475428635843871
100874323	0
100874362	0
100874365	0
100885778	0
100885781	0.0029642130600077733
100885798	0
100885848	0.011907994285732
10089	0.07782979474030453
1009	0
10090	0.02324367795103507
10092	0
10093	0.005972377049694491
10095	-0.007772891147147419
10096	-0.009556094979873949
10097	-0.007682001630713385
10098	0
10099	0
100996246	0.03631014972049675
100996251	0
100996279	0.0030579245202376265
100996286	-0.009984178599375912
100996301	0.023521448507658506
100996307	0.025728341722787224
100996342	0
100996419	0
100996425	0.0973752635236222
100996455	-0.008498449125898339
100996485	0.02420995504296203
100996490	0.0019036022884073376
100996492	-0.023911492701659928
100996570	0
100996579	-0.03754932292082802
100996590	-0.0036583538487622537
100996624	0
100996671	0
100996694	0
100996702	-0.025419173470741255
100996902	0
101	0
1010	3.6703377957069165e-4
10100	-0.05172803421691419
10101	0.014613420978487432
10102	0.024246278582878988
10103	0.011329357105050952
10105	0.028888130535595337
101055625	0.2009644762831635
101059948	0
10106	0
101060019	0
101060200	0.006546542030817073
101060264	0.019177611514128716
101060544	0.03109176023914869
10107	-0.013131754793253233
10109	0.012456091617951531
10110	0
10111	0
10112	0.009732977863602204
10113	0
10114	-0.016172890447742526
10116	0
10117	0.008960272752794665
1012	0.018242219149493283
10120	0.015047627296699848
10121	0
10123	0
10125	0
10126	0.0025274561660488136
10127	0
10128	0.017620854202780176
10129	0.031312029944659724
1013	0.016326788662775718
10130	0.00434636818971705
10131	0.02094743826302614
10133	0
10134	0
10135	-0.010817295988472808
10136	0.008819717214899379
10137	0.0012678429530637361
10138	0
10139	-9.000483253425094e-4
1014	0
10140	0
10141	0.003009660580689657
101410533	-0.028208712046570914
101410538	-0.011757179126932431
10142	0.04293103929067509
10143	0
10144	0
10146	0.014873043117635302
10147	-0.012969422064132185
10148	0
10149	-0.01753509906873407
1015	0
10150	0
10152	0.010735468564456785
10153	0
10154	-0.005036280036007919
10155	-0.0035411869609519434
101559451	0.03169353611407359
10157	-0.007180299444552824
10158	-0.04628259242258671
10159	0
1016	-0.04509049899501509
10160	-0.007803577117768249
10161	0.0361219101104638
10162	0
10163	0
10164	0
10165	0.0054337988289716865
10166	-0.004210954547052444
