gene	female-adolescent-coarse-2
10000	-2.427748959934458e-4
10001	-0.016877760786011862
10002	7.076127614088787e-4
10003	0.004033762558528429
100048912	0
10004	0.00745442587974969
10005	-1.0936387491003602e-11
10006	-0.010501974083866142
10007	0
10009	-0.0010493298571546726
1000	-0.001184318960277539
10010	0.010618376400345641
100126791	0.01188210783265903
100128124	-0.0017366506461457504
100128640	-0.001731255935576893
100129128	0
100129250	-0.0034784460048922724
100129271	0.026636221087878963
100129361	0.0121690758088589
100129482	-0.008866491609042097
100130331	0.001124068002739522
100130449	0
100132341	0.012260824620139046
100132476	0
100134713	3.063340722557536e-4
100137047	0.006476531098669276
10013	0
10014	0.003505408710515847
10015	0
10016	0
10017	0
100188893	0.0028388247228762803
10018	0.004749611049166714
10019	4.971789443007066e-4
1001	-0.009924018768949838
10020	0.0034397936096704405
10021	0
10022	0.008623440221427536
10023	-0.022073134834601955
10024	0
10025	0
10026	0.0114469225678576
100272147	0
100287932	-0.0021980044979070983
100288413	0
100289678	-3.841449784056401e-4
100293516	0.010550868574038358
1002	0
100316904	-0.027067923447245984
10036	0
10038	0.0040312021602224215
10039	-0.011276112569719797
1003	0
10040	-0.013048088718519788
10042	0
10043	-8.413585150627243e-4
10045	0
10046	0.004338646128345222
10047	0
10048	-6.740829404402664e-5
10049	-0.018263538777528763
1004	2.9932481510883455e-4
100505741	-0.009200637357055567
100505761	0.01937952077114151
100505879	0.001594236894258572
100505933	0
100506144	0.0030436363945489557
100506469	0
100506504	-0.003462730039600847
100506571	-0.00983230064239429
100506581	-0.005476858866490671
100506963	0
100507331	0
100507436	-0.024255248949825933
100507605	-0.0038540040754423193
10050	-0.0029586633363511356
10051	-0.011671610346476563
10052	-0.0049864729298341225
10053	0.0011542245766794114
10054	-2.057687544900594e-10
10055	-0.0033257381414455514
10057	-0.014395968826917654
10058	0.020948079454484292
10059	0
1005	-0.027366855490429606
10060	0.0025902408494189763
10061	-0.0055217161291299804
10062	-7.229731156666064e-4
10066	-0.006649258002698141
10067	0.0058715158280740415
10069	0
1006	0
10072	-0.013541137912094239
10073	0
10075	-2.579019860276425e-4
10076	-0.019784618017428108
10077	0
10078	0.008050919938212624
10079	-1.771282131961301e-11
1007	0.0015527177281257788
10083	0
10084	-0.013555400042166639
10085	-0.006569177332510702
10086	0
10087	-0.0011745163927593635
10089	-2.368695145840567e-10
1008	0.015655496262672472
10090	-0.011832842191403473
10092	-0.008783041683812234
10093	0.005994085950348914
10095	-0.007728696350466446
10096	-1.8667476456557183e-4
10097	0.0010673746928788462
10098	-0.035214849218697004
10099	0.011169749620866701
1009	-0.005923785382400557
100	-0.008402160991195172
10100	-0.017685943536261788
10101	-0.022099402910939266
10102	0
10103	0.01048424110893378
10105	0.012875649286757673
10106	0.008263251902336318
10107	0
10109	0
1010	0
10110	0.020144861985247328
10111	-0.010703524240380976
10112	-0.018456417773730027
10113	0
10114	0.005131860176125903
10116	-0.02115568591698063
10120	0.007636815492147397
10121	-0.0066144802147490595
10123	0.047309645205971154
10125	-0.020609464223186196
10126	-3.375716680808434e-4
10127	-0.004576904012049021
10128	-3.605468093599419e-4
10129	0.013619840552534611
1012	-0.016808334923298182
10130	0.002489297726440919
10131	0
10133	-0.02587423997373131
10134	-0.01025771529058213
10135	0.004243441779905965
10136	0.006417287941725335
10137	0
10138	0
10139	0.00371129072324984
1013	0
10140	0.030169309256242838
10141	0
10142	0.004880002125949375
10144	0.002941743113327441
10146	-4.6047313947087054e-4
10147	0.0018327014696583402
10148	-0.008093443933499431
10149	-0.02212177668805032
1014	0.0027694361627894197
10150	0
10152	0.011527084162426517
10153	0.024054581855234364
10154	0.005480008922569402
10155	-0.004541886352515323
10157	0
10158	-0.0064430375720718955
10159	0.0014808143973257127
1015	0
10160	0.002245472555583677
10161	-0.011457818353479327
10162	0.012464584887477703
10163	-0.004465355067400496
10164	-2.35184543400285e-10
10165	0.007175914737769939
10166	-6.078896760574262e-4
10168	0
1016	0.002795938776157892
10170	0.003053254846587922
10171	0.0035918897634193503
10174	0
10175	0.002821831487391373
10178	-0.007375558534595916
10179	-0.016300428070124096
1017	0
10180	-0.010010267944894211
10181	0.0013916921516238662
10184	-0.019992045501116735
10186	-0.007762218152817142
10188	0
10190	3.965844276459182e-5
10193	-0.005659795978014055
10195	-0.005510076276915983
10196	2.953013630150433e-4
10197	0
10198	-8.917156432071715e-11
10199	0.006487555851575835
1019	0.009430264999417853
101	0
10200	-0.018412686492216127
10201	-0.011497247712621589
10202	0.026349788165419268
10203	0.01624698372861039
10205	-0.01412938330579859
10206	0
10207	6.034216108916044e-4
10208	-0.006797984672498845
10209	-0.009498829036420593
1020	0.01050014359504869
10210	0.003826977790708243
10211	0.011057838459198865
10212	-0.016267396603869562
10213	0.008923824519451775
10214	0
10215	0.0017934186647633667
10216	-0.003995944444998973
10217	0.0065246240319924275
10218	5.803147940561266e-4
10219	0.023201894253892567
1021	-0.014915755278070885
10220	0
10221	-0.005992226439795022
10223	-5.199138855331161e-4
10225	-0.01643048677563804
10226	-3.3633727372408875e-10
10227	-0.0019257152031252158
10228	0.0021988383029611733
10229	0.012260746908417093
1022	-0.014238302247815185
10230	0
10231	-0.0016972652074228442
10232	0.008207487454271793
10233	-0.008641010561763023
10234	-0.001669114302021021
10235	-0.008373370993731487
10236	-4.393924212536818e-11
10237	-2.611357107346926e-4
10238	7.845366150865072e-4
10240	-1.9058657659976188e-4
10241	0
10242	0
10243	-0.00868825149591914
10244	0.01083440170668672
10245	0
10246	0
10247	0
10248	-0.008116621235217798
10249	-0.003097088049091469
10250	0
10252	-0.005021647684342751
10253	0.018015064174360315
10254	-0.008404811957812725
10255	-0.0056818523683577595
10256	-0.006778195510739285
10257	0.002396033895796057
1025	0.018412513198163852
10260	0.021412474198170165
10261	-0.027162155521684866
10262	0
10263	-4.882704217721782e-4
10265	-0.013905779965026252
10266	-4.448082103101833e-4
10267	0.043424444463115275
10268	-0.001082506809100922
10269	0.004896902877015262
1026	-0.02570533204030451
10270	-8.768845238472264e-4
10272	0
10273	0.007171878502775543
10274	-0.01279478773534727
10276	0.030533410231461163
10277	0
10278	-0.0038275125430994013
10279	-0.015896552794055316
1027	0.0010482015607553952
10280	-0.0017911586447133113
10281	8.354150521674967e-5
10282	-0.009030889443073705
10284	-1.0970827515405636e-5
10285	-0.007933660422674713
10286	-0.008248385916799168
10287	-0.005668125188404552
10288	-0.0337694100295652
10289	-0.010153673936254258
1028	-0.022567978939230557
10290	0
10291	0
10293	-4.628612444512742e-4
10294	0
10295	0
10296	0
10297	0.004893287622466625
10298	0
10299	0.0011213286283385552
1029	0.005349524333869602
102	-0.015675690923990963
10300	-7.074102263090882e-12
10301	-0.008203369983826694
10302	0
10307	0
10308	-4.1006694991164266e-10
10309	-0.01591932985568807
1030	0
10311	0
10312	0
10313	-0.015783785902059495
10314	0.013160562276006661
10316	0
10317	0.005629481342436423
10318	-0.005899460105032268
10319	-0.005906716046413545
1031	0
10320	-0.004893557098822978
10321	0.0157530578486238
10322	-0.0013335576174045097
10324	0.004026845934037846
10325	0.005972448970976575
10327	0
10328	-6.756042328069041e-4
10329	0.006915568157505731
1032	0.009844022740762072
10330	0
10331	0.005036729124595534
10332	0.016915146952192595
10333	-9.781949533092336e-4
10336	-0.0061328299730873176
1033	2.318296130491442e-4
10342	-9.56135121252051e-11
10343	-3.6390862219728954e-4
10346	-8.899469200567233e-10
10347	2.4434436159619506e-5
10351	0.013851153910732189
10352	-0.0030997366623338207
10360	0
10362	-0.020242978395916288
10363	1.2541900861513366e-4
10365	0.01852706992535957
10367	0
10368	-0.0074113653625878795
10369	0.002901966122247342
1036	-0.026031108172260838
10370	0.03563206186518064
10371	0
10376	0.0014970712257560631
10379	0.01903502050772636
10381	-0.021896871639709582
10382	0.0020606280491320223
10383	-0.01634532010583674
10384	0.012694045078480548
10385	-1.034090935656896e-10
10388	0.003774217169457796
10389	0.0023937640621394707
1038	0.0010259528294554354
10390	0
103910	0
10391	0.031156966840189617
10392	0.005636515330781953
10393	-1.5773434395934164e-4
10394	0
10395	0.011921004449704887
10396	-0.004420744703432895
10397	0
10398	0.02685401488080644
10399	-0.007164481893730406
1039	-0.01630549959491
103	0.0015474184385120167
10400	-0.006459729373856775
10401	-0.018689792503903135
10402	0
10403	-0.014082117426375036
10404	0
10406	0
10407	0.030181230551572468
10408	0.0011413782129143615
10409	0.017621112309435735
1040	-0.018680264136013498
10411	0.005225496240541866
10413	-0.0029123222910733505
10417	-0.022806007906685667
10418	-0.0061074791020651765
10419	0.008106850708436903
1041	7.932242275072331e-4
10420	0
10421	0.002472250487339841
10422	0.016778252219163632
10423	-0.004053119890769075
10424	-0.00920276070159464
10425	0
10426	0
10427	-0.012314216290259306
10428	0
10430	-1.9273224383130462e-10
10432	0.008608135359978258
10434	0.019094950849816748
10435	0.02256339593765245
10436	0
10437	-0.0028885934414904237
10438	0.02141725135001302
10439	0.017496337916431553
1043	0.007985775656051006
10440	0
10443	0.0032432872540438884
10444	0
10445	0
10446	-0.011454013009612893
10449	0.01222618726433723
1044	0
10450	0
10451	-0.008771270257633022
10454	-0.0030899274513413702
10455	-0.03765066546919804
10456	0.0033125975858793112
10457	0.004823617598538734
10458	0
1045	0
10460	-0.006703498269659138
10461	-0.007194765091441785
10462	-0.018256795415352477
10463	0
10464	0
10465	0
10466	-0.009835709390341662
10467	-0.0022979547582455263
10468	-0.012153382170349097
10469	0.003805307261294441
1046	5.474755840645307e-4
10471	-0.020488692623888256
10472	-6.471408602883352e-4
10473	0.01030651800917474
10474	-5.3703917214375765e-11
10475	0
10478	0
10479	-0.005721764284872337
1047	-0.041378869774796906
10480	0.0063426725163066985
10481	-0.017285681874521338
10482	-0.010579475795991892
10483	0
10484	0
10485	0.011149188467404293
10486	0.0024614327912670358
10487	-0.004441349895873578
10488	0
10489	0
1048	0.014813003089964194
10490	-0.004358718243094988
10491	0.010334907922255242
10492	-0.0032704910474339343
10493	-5.133895681370545e-5
10494	0.009833076161332149
10495	0
10497	7.614687991570454e-4
10498	0
10499	0.012705571112352895
104	-0.006201032511020048
10500	0
10501	0
10505	-0.012442392144750614
10507	-0.001714985234377953
1050	-0.023858597838777165
10512	-0.009525694172164239
10513	0
10514	-4.8431787293912155e-4
10516	0.0436023664906225
10518	0
10519	-0.0023400173292448916
1051	-0.013724827317797575
10520	-0.0019054238114558641
10521	-1.46519648972492e-10
10522	-0.00828735207258033
10523	0
10524	0.007241721346896554
10525	-0.017346830636422207
10526	-0.007550616193182154
10527	-0.008447793152556215
10528	0
10529	-0.010925022434184
1052	0.0014120168455003736
10531	-0.00839706261577455
10533	0
10534	0
10535	-0.0182090800344589
10536	0.007020322144657235
10537	0.021454594528429786
10538	-3.463632692834399e-4
10539	0
1053	0.007972199100398128
10540	0.006686524753046971
10541	-6.759503074691704e-4
10542	0.0030613454385694343
10544	0
10548	-0.009006559014837797
10549	0.002945903024058432
1054	-0.0026976664251741897
10550	0.006407392895989568
10551	0.0011215314513994606
10552	-0.003189930906685947
10553	-0.018227814804136967
10554	0.012445832681488266
10555	0
10556	0.0031409489075227342
10557	0
10558	0.0015649963947914226
10559	0
10560	0.019326272234267045
10561	2.2008447033780183e-4
10562	-0.01462684044730791
10563	0
10564	-0.003405727427773995
10565	0.005880568719830367
10566	-0.006725464457095251
10567	-0.017230122574397478
10568	0.00397712089810383
1056	0
10570	0
10572	0
10573	-0.0025844996203755245
10574	0
10575	0
10576	-8.748494586087538e-11
10577	0.008865956863255853
10578	0.01071483553089338
10579	0
10580	-0.007364879933120966
10581	-0.021052721789669288
10584	-0.004309084227775753
10585	2.1178453713145392e-4
10586	0
10587	-0.009674209715839842
10589	-0.004610446018291174
1058	0
10590	-0.007038508292232447
10591	-0.005095352408380144
10592	-0.010481355184020083
10594	-0.02807659542869053
10595	0.004061613887505999
10598	-4.109275664078902e-11
10599	0
1059	0.02756521500171613
105	-0.0023385686201602986
10600	0
10602	0
10603	0.0056020262447321854
10606	-0.01754839268052735
10607	0
10608	-1.8654277048454216e-11
10609	0.0010990974896522426
1060	0.009159439518219164
10610	0.0039604236629852616
10611	-5.72829204773908e-4
10612	0.002411105722158728
10613	0.017547751620255556
10614	-0.007091385026224531
10615	0.01257110093481544
10616	0.01322217942364259
10617	0
10618	6.104915621781488e-4
10621	0.006419664933691385
10622	0.016636017151582656
10623	0
10625	0.016185735279098334
10627	-0.005973976413863451
10628	-0.02684267219892593
10629	0
1062	0
10630	-0.02000387100980855
10631	-0.013962521739834538
10632	-0.007244706900962996
10633	0.025572847754428033
10634	0.004318467925469533
10635	0.0029495253840328083
10636	0
10637	-0.0015528487089489999
1063	0.005128196843596092
10640	-0.004597279709114715
10641	-0.011007913179811089
10643	-0.09591261320841205
10645	0
10647	-4.634804658864629e-4
10648	0
10650	0.0025246155512880777
10651	0
10652	0
10653	-0.01926110542395047
10654	-1.1021451479533075e-11
10656	-0.006523270191142554
10657	-0.006628205044531787
10658	0.0010171341880393446
10659	-0.001704528261819151
10660	0
10661	0.003944192007275632
10663	0.028439442814801215
10664	-0.009090669756071128
10665	0
10666	-0.0016259090121185581
10667	-0.004309420772342316
10668	0.010414753787122956
10669	-0.010884703793630315
10670	-0.0071479370464253116
10671	0
10672	0.002589003156304898
10675	-1.0136520809498477e-4
10677	5.878236173842605e-4
10678	-0.0022279100589485787
10681	0.019178071155130285
10682	-0.005948850326422894
10683	0
10686	-0.004081465582986127
10687	0.0029049090127223802
1068	0
10690	0
10691	-0.0020550148263163543
10692	0
10693	7.374817829726035e-5
10694	8.570419790828036e-4
10695	-0.009547952148626245
10699	0
1069	-0.010756200610865015
1070	0.02695504408276685
10712	8.830925292347826e-4
10713	-1.0903131344429918e-10
10714	-0.0010936317132026036
10716	-0.00591235382459431
1071	-2.169015644275648e-10
10721	0.02255238429955461
10723	0.01793924216064142
10724	-0.0012320224480224559
10725	0
10726	3.341935886233524e-5
10728	-0.0019234317598468317
10730	0.0024710454488709763
10732	-0.0011993278860610952
10733	0
10734	-0.00633044902821213
10735	0
10736	-6.116480848616548e-4
10737	-7.028847570821486e-4
10738	-0.003045854670496918
10739	-0.0056644582405693256
10741	0.004238832051336875
10742	-1.8210540593372686e-10
10744	-0.006902306875308698
10745	0.00808913288176489
10746	-0.007025385196173144
10747	-0.008314548121310177
10749	-0.010334478707644406
10750	0
10752	-0.012424903056908779
10753	-0.0032086931599072397
10755	0
10758	0
1075	0.03914140370522978
10761	-0.007071372806132149
10762	0
10763	-0.011691646483318998
10765	-1.6163548712792702e-12
10766	0.010239965161849843
10767	0
10768	-0.016667421598740885
10769	-0.006826960567199679
10771	0.0028268412427423896
10772	0.015003983275467283
10773	-0.0018444955880547245
10775	-0.004968845663303067
10776	0
10777	-0.010453126178965495
10778	0
10780	0
10781	-0.002710684662267874
10782	0
10785	4.642168377936292e-4
10786	0.008621085274925503
10787	0
10788	0.0027012349540966843
10791	-8.020355566571925e-10
10793	0.01065468638011516
10794	-0.0010596766891101546
10795	0.01401017364363185
10797	0.009959453405842027
10798	0
10799	-0.00893282989554705
107	-0.008574399259184648
10801	-0.02997242176923092
10802	0
10803	-0.015638397442450803
10807	-0.004697448146945829
10808	0.0015378029948549903
1080	0
10810	-0.022190174739419456
10813	-0.007072546774294953
10814	-0.018724835742570656
10816	-0.009870845394339262
10817	0
10818	-0.011276936167554468
1081	1.4410822468185837e-4
10825	0
10826	0
10827	0.008800840592976632
10840	0.0058144685855327375
10841	-0.006084521764719102
10842	-0.00375000559123687
10844	-0.003428409135267201
10845	0.022344039847020693
10846	0
10847	0
10848	-0.003277457859708522
10849	0.017152124116333583
1084	0
10850	-0.007625697828900303
10855	-0.016559130718865084
10856	-8.87655994004986e-4
10857	-8.397725855969063e-12
10858	-0.00945794589227293
10859	-0.03639094753401457
10861	0
10863	0.0017232034683434083
10864	0.0019410189404948145
10865	7.570468011811961e-4
10866	0.0308178404721255
10867	0
10868	0.02313636679523769
10869	0
10871	0.008346543187675914
10873	0.02142114325567872
10874	-0.0019039626979843122
10875	0.0063233197087643215
10876	0
10879	-0.007937390680799638
1087	0
10880	0
10881	0
10882	0.008215563214415427
10884	0
10885	0.0023687476308430827
1088	0.00858280432115109
10891	-0.02720766597764237
10892	0.011470056938068194
10893	0
10894	0.0036046646441649705
10895	0.00224968243955617
10897	0.004726883670402371
10898	0
10899	0.0021405743548884994
1089	-0.01165233860453375
108	-0.006954952231720331
10900	0
10902	3.0022368163028457e-4
