gene	group
10129	pos_female-adolescent-coarse-1
10135	pos_female-adolescent-coarse-1
10136	pos_female-adolescent-coarse-1
10140	pos_female-adolescent-coarse-1
10149	pos_female-adolescent-coarse-1
10170	pos_female-adolescent-coarse-1
10202	pos_female-adolescent-coarse-1
1020	pos_female-adolescent-coarse-1
10347	pos_female-adolescent-coarse-1
10351	pos_female-adolescent-coarse-1
10457	pos_female-adolescent-coarse-1
10537	pos_female-adolescent-coarse-1
1075	pos_female-adolescent-coarse-1
10766	pos_female-adolescent-coarse-1
10793	pos_female-adolescent-coarse-1
10924	pos_female-adolescent-coarse-1
10964	pos_female-adolescent-coarse-1
10974	pos_female-adolescent-coarse-1
11024	pos_female-adolescent-coarse-1
11061	pos_female-adolescent-coarse-1
11075	pos_female-adolescent-coarse-1
1107	pos_female-adolescent-coarse-1
11126	pos_female-adolescent-coarse-1
11142	pos_female-adolescent-coarse-1
11156	pos_female-adolescent-coarse-1
11160	pos_female-adolescent-coarse-1
11197	pos_female-adolescent-coarse-1
1124	pos_female-adolescent-coarse-1
116138	pos_female-adolescent-coarse-1
1232	pos_female-adolescent-coarse-1
1244	pos_female-adolescent-coarse-1
1281	pos_female-adolescent-coarse-1
1301	pos_female-adolescent-coarse-1
131544	pos_female-adolescent-coarse-1
1384	pos_female-adolescent-coarse-1
1428	pos_female-adolescent-coarse-1
145389	pos_female-adolescent-coarse-1
1475	pos_female-adolescent-coarse-1
159	pos_female-adolescent-coarse-1
1634	pos_female-adolescent-coarse-1
1645	pos_female-adolescent-coarse-1
1687	pos_female-adolescent-coarse-1
171546	pos_female-adolescent-coarse-1
1734	pos_female-adolescent-coarse-1
1740	pos_female-adolescent-coarse-1
1749	pos_female-adolescent-coarse-1
1791	pos_female-adolescent-coarse-1
1804	pos_female-adolescent-coarse-1
1843	pos_female-adolescent-coarse-1
1844	pos_female-adolescent-coarse-1
1890	pos_female-adolescent-coarse-1
1936	pos_female-adolescent-coarse-1
1942	pos_female-adolescent-coarse-1
1959	pos_female-adolescent-coarse-1
1960	pos_female-adolescent-coarse-1
201134	pos_female-adolescent-coarse-1
202559	pos_female-adolescent-coarse-1
2037	pos_female-adolescent-coarse-1
2040	pos_female-adolescent-coarse-1
2043	pos_female-adolescent-coarse-1
2081	pos_female-adolescent-coarse-1
211	pos_female-adolescent-coarse-1
216	pos_female-adolescent-coarse-1
2180	pos_female-adolescent-coarse-1
221395	pos_female-adolescent-coarse-1
2274	pos_female-adolescent-coarse-1
2280	pos_female-adolescent-coarse-1
22905	pos_female-adolescent-coarse-1
23078	pos_female-adolescent-coarse-1
23231	pos_female-adolescent-coarse-1
23258	pos_female-adolescent-coarse-1
23345	pos_female-adolescent-coarse-1
23436	pos_female-adolescent-coarse-1
23590	pos_female-adolescent-coarse-1
23643	pos_female-adolescent-coarse-1
23769	pos_female-adolescent-coarse-1
246	pos_female-adolescent-coarse-1
249	pos_female-adolescent-coarse-1
2530	pos_female-adolescent-coarse-1
253190	pos_female-adolescent-coarse-1
2550	pos_female-adolescent-coarse-1
2556	pos_female-adolescent-coarse-1
25809	pos_female-adolescent-coarse-1
25849	pos_female-adolescent-coarse-1
25858	pos_female-adolescent-coarse-1
25895	pos_female-adolescent-coarse-1
25907	pos_female-adolescent-coarse-1
259197	pos_female-adolescent-coarse-1
259230	pos_female-adolescent-coarse-1
25940	pos_female-adolescent-coarse-1
26030	pos_female-adolescent-coarse-1
26137	pos_female-adolescent-coarse-1
26152	pos_female-adolescent-coarse-1
26155	pos_female-adolescent-coarse-1
261734	pos_female-adolescent-coarse-1
26191	pos_female-adolescent-coarse-1
26226	pos_female-adolescent-coarse-1
26232	pos_female-adolescent-coarse-1
26233	pos_female-adolescent-coarse-1
26275	pos_female-adolescent-coarse-1
26509	pos_female-adolescent-coarse-1
26511	pos_female-adolescent-coarse-1
26517	pos_female-adolescent-coarse-1
26750	pos_female-adolescent-coarse-1
27018	pos_female-adolescent-coarse-1
27030	pos_female-adolescent-coarse-1
27123	pos_female-adolescent-coarse-1
27141	pos_female-adolescent-coarse-1
27163	pos_female-adolescent-coarse-1
27344	pos_female-adolescent-coarse-1
273	pos_female-adolescent-coarse-1
2791	pos_female-adolescent-coarse-1
2867	pos_female-adolescent-coarse-1
28965	pos_female-adolescent-coarse-1
28998	pos_female-adolescent-coarse-1
290	pos_female-adolescent-coarse-1
2920	pos_female-adolescent-coarse-1
2921	pos_female-adolescent-coarse-1
2948	pos_female-adolescent-coarse-1
29933	pos_female-adolescent-coarse-1
29951	pos_female-adolescent-coarse-1
30001	pos_female-adolescent-coarse-1
3012	pos_female-adolescent-coarse-1
3046	pos_female-adolescent-coarse-1
3049	pos_female-adolescent-coarse-1
308	pos_female-adolescent-coarse-1
3099	pos_female-adolescent-coarse-1
3128	pos_female-adolescent-coarse-1
3142	pos_female-adolescent-coarse-1
3226	pos_female-adolescent-coarse-1
322	pos_female-adolescent-coarse-1
3248	pos_female-adolescent-coarse-1
325	pos_female-adolescent-coarse-1
3298	pos_female-adolescent-coarse-1
32	pos_female-adolescent-coarse-1
3429	pos_female-adolescent-coarse-1
3479	pos_female-adolescent-coarse-1
3574	pos_female-adolescent-coarse-1
3578	pos_female-adolescent-coarse-1
357	pos_female-adolescent-coarse-1
3596	pos_female-adolescent-coarse-1
3600	pos_female-adolescent-coarse-1
3614	pos_female-adolescent-coarse-1
3620	pos_female-adolescent-coarse-1
3624	pos_female-adolescent-coarse-1
3645	pos_female-adolescent-coarse-1
3759	pos_female-adolescent-coarse-1
3764	pos_female-adolescent-coarse-1
3772	pos_female-adolescent-coarse-1
3779	pos_female-adolescent-coarse-1
3820	pos_female-adolescent-coarse-1
3823	pos_female-adolescent-coarse-1
3848	pos_female-adolescent-coarse-1
3904	pos_female-adolescent-coarse-1
3934	pos_female-adolescent-coarse-1
3937	pos_female-adolescent-coarse-1
3955	pos_female-adolescent-coarse-1
3959	pos_female-adolescent-coarse-1
4001	pos_female-adolescent-coarse-1
4065	pos_female-adolescent-coarse-1
406	pos_female-adolescent-coarse-1
4070	pos_female-adolescent-coarse-1
4116	pos_female-adolescent-coarse-1
4150	pos_female-adolescent-coarse-1
4199	pos_female-adolescent-coarse-1
4217	pos_female-adolescent-coarse-1
4237	pos_female-adolescent-coarse-1
4306	pos_female-adolescent-coarse-1
4345	pos_female-adolescent-coarse-1
440387	pos_female-adolescent-coarse-1
4436	pos_female-adolescent-coarse-1
4494	pos_female-adolescent-coarse-1
4499	pos_female-adolescent-coarse-1
4604	pos_female-adolescent-coarse-1
4693	pos_female-adolescent-coarse-1
4703	pos_female-adolescent-coarse-1
4741	pos_female-adolescent-coarse-1
4744	pos_female-adolescent-coarse-1
4792	pos_female-adolescent-coarse-1
4794	pos_female-adolescent-coarse-1
4804	pos_female-adolescent-coarse-1
481	pos_female-adolescent-coarse-1
4821	pos_female-adolescent-coarse-1
4852	pos_female-adolescent-coarse-1
4884	pos_female-adolescent-coarse-1
4897	pos_female-adolescent-coarse-1
4914	pos_female-adolescent-coarse-1
4922	pos_female-adolescent-coarse-1
4938	pos_female-adolescent-coarse-1
4973	pos_female-adolescent-coarse-1
5004	pos_female-adolescent-coarse-1
5021	pos_female-adolescent-coarse-1
5027	pos_female-adolescent-coarse-1
5063	pos_female-adolescent-coarse-1
5069	pos_female-adolescent-coarse-1
5105	pos_female-adolescent-coarse-1
51063	pos_female-adolescent-coarse-1
51069	pos_female-adolescent-coarse-1
51094	pos_female-adolescent-coarse-1
51099	pos_female-adolescent-coarse-1
51171	pos_female-adolescent-coarse-1
51176	pos_female-adolescent-coarse-1
51195	pos_female-adolescent-coarse-1
5122	pos_female-adolescent-coarse-1
5125	pos_female-adolescent-coarse-1
51312	pos_female-adolescent-coarse-1
51317	pos_female-adolescent-coarse-1
51351	pos_female-adolescent-coarse-1
5136	pos_female-adolescent-coarse-1
51427	pos_female-adolescent-coarse-1
5152	pos_female-adolescent-coarse-1
51567	pos_female-adolescent-coarse-1
5156	pos_female-adolescent-coarse-1
51611	pos_female-adolescent-coarse-1
51700	pos_female-adolescent-coarse-1
5172	pos_female-adolescent-coarse-1
5178	pos_female-adolescent-coarse-1
5266	pos_female-adolescent-coarse-1
5270	pos_female-adolescent-coarse-1
5311	pos_female-adolescent-coarse-1
5321	pos_female-adolescent-coarse-1
5367	pos_female-adolescent-coarse-1
53919	pos_female-adolescent-coarse-1
5446	pos_female-adolescent-coarse-1
54504	pos_female-adolescent-coarse-1
54674	pos_female-adolescent-coarse-1
5473	pos_female-adolescent-coarse-1
54843	pos_female-adolescent-coarse-1
54997	pos_female-adolescent-coarse-1
55007	pos_female-adolescent-coarse-1
55022	pos_female-adolescent-coarse-1
55076	pos_female-adolescent-coarse-1
55093	pos_female-adolescent-coarse-1
55100	pos_female-adolescent-coarse-1
55106	pos_female-adolescent-coarse-1
55167	pos_female-adolescent-coarse-1
5525	pos_female-adolescent-coarse-1
55353	pos_female-adolescent-coarse-1
55454	pos_female-adolescent-coarse-1
55540	pos_female-adolescent-coarse-1
5569	pos_female-adolescent-coarse-1
55755	pos_female-adolescent-coarse-1
55786	pos_female-adolescent-coarse-1
55844	pos_female-adolescent-coarse-1
56253	pos_female-adolescent-coarse-1
56267	pos_female-adolescent-coarse-1
56271	pos_female-adolescent-coarse-1
5636	pos_female-adolescent-coarse-1
5649	pos_female-adolescent-coarse-1
5654	pos_female-adolescent-coarse-1
56605	pos_female-adolescent-coarse-1
56675	pos_female-adolescent-coarse-1
56882	pos_female-adolescent-coarse-1
56892	pos_female-adolescent-coarse-1
56951	pos_female-adolescent-coarse-1
56992	pos_female-adolescent-coarse-1
57016	pos_female-adolescent-coarse-1
57103	pos_female-adolescent-coarse-1
57124	pos_female-adolescent-coarse-1
57134	pos_female-adolescent-coarse-1
5734	pos_female-adolescent-coarse-1
5743	pos_female-adolescent-coarse-1
57586	pos_female-adolescent-coarse-1
5763	pos_female-adolescent-coarse-1
57795	pos_female-adolescent-coarse-1
57862	pos_female-adolescent-coarse-1
5825	pos_female-adolescent-coarse-1
5906	pos_female-adolescent-coarse-1
5909	pos_female-adolescent-coarse-1
5929	pos_female-adolescent-coarse-1
59348	pos_female-adolescent-coarse-1
59349	pos_female-adolescent-coarse-1
5955	pos_female-adolescent-coarse-1
6035	pos_female-adolescent-coarse-1
6038	pos_female-adolescent-coarse-1
6047	pos_female-adolescent-coarse-1
6051	pos_female-adolescent-coarse-1
608	pos_female-adolescent-coarse-1
6091	pos_female-adolescent-coarse-1
613	pos_female-adolescent-coarse-1
6228	pos_female-adolescent-coarse-1
6241	pos_female-adolescent-coarse-1
6277	pos_female-adolescent-coarse-1
6297	pos_female-adolescent-coarse-1
6299	pos_female-adolescent-coarse-1
6304	pos_female-adolescent-coarse-1
6320	pos_female-adolescent-coarse-1
6328	pos_female-adolescent-coarse-1
641	pos_female-adolescent-coarse-1
6424	pos_female-adolescent-coarse-1
64377	pos_female-adolescent-coarse-1
6446	pos_female-adolescent-coarse-1
644	pos_female-adolescent-coarse-1
64792	pos_female-adolescent-coarse-1
6482	pos_female-adolescent-coarse-1
6495	pos_female-adolescent-coarse-1
6521	pos_female-adolescent-coarse-1
6557	pos_female-adolescent-coarse-1
656	pos_female-adolescent-coarse-1
6648	pos_female-adolescent-coarse-1
6659	pos_female-adolescent-coarse-1
668	pos_female-adolescent-coarse-1
6691	pos_female-adolescent-coarse-1
671	pos_female-adolescent-coarse-1
6935	pos_female-adolescent-coarse-1
7021	pos_female-adolescent-coarse-1
7030	pos_female-adolescent-coarse-1
7045	pos_female-adolescent-coarse-1
7048	pos_female-adolescent-coarse-1
7075	pos_female-adolescent-coarse-1
7097	pos_female-adolescent-coarse-1
7101	pos_female-adolescent-coarse-1
712	pos_female-adolescent-coarse-1
7163	pos_female-adolescent-coarse-1
7188	pos_female-adolescent-coarse-1
718	pos_female-adolescent-coarse-1
7262	pos_female-adolescent-coarse-1
7280	pos_female-adolescent-coarse-1
7291	pos_female-adolescent-coarse-1
72	pos_female-adolescent-coarse-1
7369	pos_female-adolescent-coarse-1
7422	pos_female-adolescent-coarse-1
7436	pos_female-adolescent-coarse-1
7485	pos_female-adolescent-coarse-1
761	pos_female-adolescent-coarse-1
7694	pos_female-adolescent-coarse-1
7699	pos_female-adolescent-coarse-1
770	pos_female-adolescent-coarse-1
771	pos_female-adolescent-coarse-1
783	pos_female-adolescent-coarse-1
