gene	female-older_adult-coarse-2
1	0.031013638893250605
10	0
100	-0.0787370884762644
1000	0
10000	0.029421808596079506
100009676	0
10001	0
10002	0
10003	-0.033561318120618945
10004	0.03419491757855281
100048912	-0.004135764015834405
10005	0
10006	-0.004242009384733172
10007	-0.005053349886927796
10008	-0.04235213477786293
10009	-0.002790921217528675
100093630	-0.08214143071966724
100093698	0.0025452988146365168
1001	-0.02338776331698323
10010	-0.0011380061641616801
100101467	0
100101938	0.08151371817970325
10011	0.010193883756600951
100113407	0.035029745269402446
100124700	0
100125288	0.002782644357006685
100126791	0
100126793	0.02336490611174838
100127888	-0.017472153606834132
100127983	0.03967154680813197
100128025	0.017154785256159325
100128071	-0.08028499847455783
100128098	0.0072195996227908165
100128124	0.1025339959330968
100128126	0.023162080063992226
100128139	0.009957249120241216
100128164	0
100128191	0.03436907124980975
100128239	0.013589045106559132
100128325	-0.0077162005320797
100128554	0
100128590	0.008717480927280048
100128640	-0.0034061053846510753
100128731	-0.01605936052526025
100128750	-0.003811904504564723
100128782	-0.004300194869306361
100128788	0
100128881	-0.009766115604444186
100128893	0
100128927	0.0013949460033809713
100128946	0.019538734101011195
100129128	2.836749313798258e-4
100129175	0
100129195	-0.003650799938825297
100129196	-0.025969132944531556
100129250	-0.045389445311893636
100129271	0.014987205553565343
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	-0.011401872114795335
100129597	0
100129620	0
100129654	0.0036641343345199615
100129662	-0.03904999760827386
100129716	0.04194669495149108
100129722	0
100129726	-0.016863372902480248
100129792	0
100129794	0.010351163191176209
100129827	0
100129845	0
100129858	0.004195958759572881
100129917	0.02030247231379295
100129935	0
10013	-0.019427594400331025
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.1044696236301912
100130449	-0.021441631427912423
100130476	0
100130519	-0.00842511693635535
100130522	-0.009138423781044585
100130548	-0.00239681148943924
100130613	0
100130691	0.03778813330598804
100130705	-0.01395741670277839
100130717	0.04408896245767222
100130733	-0.09496313570166573
100130776	-0.017715831696386044
100130894	0.010660128087748117
100130933	8.826421985995543e-4
100130950	0.00301800839811393
100130958	0
100130967	-0.06018277431883626
100131017	0
100131067	0
100131117	0.0025924338108621182
100131138	0
100131187	-0.020266110752329508
