gene	male-elderly-coarse-3
1	0
10	-0.001723871712232389
100	-0.0022515547607980108
1000	0.0043887189679522615
10000	0
100009676	0
10001	0
10002	0
10003	0.018316519054247915
10004	-0.030288030376822945
100048912	-0.006377603040534341
10005	0
10006	-0.0010936132926115914
10007	0
10008	0
10009	0
100093630	0
100093698	0
1001	0
10010	0
100101467	0.005355026700438695
100101938	0.003720013300904888
10011	0.010252414637026261
100113407	0
100124700	0
100125288	0.01771091478259043
100126791	0
100126793	0
100127888	0.037851319411639106
100127983	-0.019376162994029063
100128025	0.01453852475691668
100128071	0.011852154055471064
100128098	0
100128124	-0.0374614367663098
100128126	-0.002204411981821477
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0
100128554	0
100128590	-0.0947793935390072
100128640	0.005243345169442007
100128731	-0.013580329119890723
100128750	0
100128782	-0.0026768560835335304
100128788	0.009381630129217486
100128881	0
100128893	0.01727820534738864
100128927	0
100128946	0
100129128	-0.012793586531356442
100129175	0
100129195	0.014635867339420348
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0.007378902015731475
100129654	0.025236685666179103
100129662	-0.023123851311338837
100129716	-0.052656032949313106
100129722	0
100129726	0
100129792	-0.030080867374390585
100129794	0
100129827	0
100129845	0.0012833668620896696
100129858	0
100129917	0.010476310540641466
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	0.028234683922007654
100130522	-0.005241089305597011
100130548	0
100130613	0
100130691	0.04067332279651645
100130705	0
100130717	0.05417363887075162
100130733	0
100130776	-0.0065414276128721895
100130894	0
100130933	0
100130950	0.008229925298732482
100130958	0
100130967	-3.432857693805344e-4
100131017	0
100131067	-0.0010094996739786549
100131117	0
100131138	0
100131187	0
100131211	-0.012819342412869241
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0.01797502205496873
100131691	0
100131755	0
100131801	-0.017681746789416898
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0.0026354848132889995
100132891	0.03285688065371517
100133205	0.014109601114618201
100133311	0.006689509913632686
100133461	0
100133612	0
100133941	-0.032940982727657935
100133985	0
100134229	0
100134259	-0.02034064870796961
100134368	0
100134713	0.010827978000164322
100137047	0
10014	0
100141515	0
100144597	0
100144602	0
100144603	8.15112241810954e-5
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0
100188893	-0.006381357762437637
100188953	0.004961443309990591
100189589	0
10019	0
100190938	0
100192379	0
100192386	-0.02592767845848088
1002	-0.0015039548732787777
10020	-0.008035926391732784
10021	0
10022	-0.014370858378197357
10023	0
10024	0.008293267875474037
10025	0
10026	-9.420964691884863e-4
100268168	0
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
100287177	0.033972143638092325
100287366	0
100287482	0.01740893402909693
100287569	0.03410056515553234
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0.001980435181822535
100288637	0
100288797	0.005579135286828268
100289092	0
100289097	0
100289098	-0.0027118437591335345
100289187	0
100289274	0
100289341	0.0034152461011994614
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	-0.0071528480413257526
100302691	0
100303728	0
100303755	0
100306951	0
100316904	-0.015562767858368338
100329135	-0.0021676314828873423
100359394	0
10036	0
100379174	0.0029486906137056396
10038	0
100381270	0
10039	0.0074184255536782024
1004	-0.006189032233069368
10040	0.0011111809715124471
10042	0
100422737	0
10043	-2.7718032411181565e-4
10044	0
10045	0
10046	0
10047	0
10048	0
10049	0
100499171	-0.0028306683588608813
1005	0.0034578856607233046
10050	0
100500850	0
100505474	0
100505478	0
100505495	0
100505501	0.01899403474009578
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0.009068189157562847
100505583	-0.007335580908986197
100505609	0
100505616	0
100505619	0
100505622	0
100505624	-0.036546751843780464
100505641	0
100505658	0
100505659	0.012630934352636503
100505664	-0.03315754566499847
100505676	0
100505681	0.03616890255885841
100505685	0
100505687	0
100505696	0
100505715	0
100505718	0.009792549541256992
100505738	0
100505741	0.038988049486391
100505746	0.015962396563986944
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0.029624457223725545
100505839	0
100505841	0
100505851	0
100505854	0
100505876	0.005907915229851662
100505877	0
100505879	0
100505881	0
100505890	0
100505893	0
100505894	0
100505933	0
100505964	0
100505967	0
100505975	-0.046310691496542475
100505978	0
100505984	0
100505985	-0.013503812783275383
100505989	0
100506012	0.004673420432934184
100506013	0.015269028825458414
100506022	-0.01625928823426012
100506025	0
100506049	0
100506068	0
100506071	0.005603260525018356
100506082	0
100506083	-0.04022377025358354
100506098	0.006498743961939616
100506100	0
100506107	0
100506108	0
100506113	0
100506115	-0.014768406086811367
100506119	-0.006790285749080921
100506122	0
100506125	-0.0396328051145552
100506126	0
100506127	0
100506142	0
100506144	0.002659210850812409
100506172	0
100506175	-9.785209593877852e-4
100506195	0
100506207	0.008135568828049593
100506215	0
100506229	0
100506237	0
100506243	-0.003254561752526561
100506271	-4.199672805836739e-4
100506274	0.02019797278954731
100506286	0
100506289	0
100506302	0
100506314	-0.05042578904808514
100506319	0
100506368	0.00320999295939344
100506374	-0.03567606648117894
100506380	-0.02829873282177393
100506385	0
100506405	0
100506406	0
100506409	-0.01078242856486219
100506413	0
100506421	0.0037730131653962895
100506428	0
100506433	0
100506457	-0.008123551818152228
100506462	0
100506465	0.02155635113601515
100506469	0
100506475	0
100506489	0
100506492	0.002379870226728255
100506495	0
100506497	0.02613104197060034
100506498	0.06926715632332366
100506504	0.008934784683832232
100506526	0
100506527	0
100506530	0
100506540	0
100506542	0
100506571	0
100506581	-0.007875611426358306
100506599	0.03279466809875618
100506603	-4.5019266162934796e-4
100506606	0.015139764687349845
100506622	-0.010418146732081237
100506655	0
100506660	-0.04916643013420455
100506668	0
100506675	-0.039308036692286774
100506677	-0.002861359005327226
100506679	0
100506680	0
100506686	0.05714001527572716
100506691	-0.0027999724099789154
100506696	0
100506697	0.020843333314663856
100506710	0
100506713	0
100506714	0.006555493922548823
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	-0.0077497465121358885
100506795	0.04928308461536949
100506797	0
100506826	-0.0337572226109396
100506827	0
100506834	0
100506840	0
100506866	-0.004643862934312977
100506874	0
100506895	0
100506907	0
100506922	0.005968551411561826
100506930	-0.021529225704205276
100506963	0
100506994	0
100506999	0
100507027	-0.005329569235400949
100507034	0.017065666042605624
100507050	0
100507057	-0.01617266045707893
100507058	0
100507059	0
100507062	0
100507064	0.002050515965067949
100507086	0.005298133871753926
100507114	0
100507117	0.017364972108671623
100507143	0
100507156	0.011197586016081883
100507171	0.011442443242112932
100507173	0
100507203	0
100507206	-0.031078144681239546
100507240	0
100507246	0.004335021813159199
100507250	0
100507254	0
100507257	0
100507261	0
100507266	0
100507274	0
100507277	0
