gene	group
135398	pos_female-adolescent-coarse-1
1356	pos_female-adolescent-coarse-1
137392	pos_female-adolescent-coarse-1
138429	pos_female-adolescent-coarse-1
139065	pos_female-adolescent-coarse-1
139105	pos_female-adolescent-coarse-1
1404	pos_female-adolescent-coarse-1
140576	pos_female-adolescent-coarse-1
140834	pos_female-adolescent-coarse-1
1414	pos_female-adolescent-coarse-1
144402	pos_female-adolescent-coarse-1
144699	pos_female-adolescent-coarse-1
144715	pos_female-adolescent-coarse-1
145407	pos_female-adolescent-coarse-1
145773	pos_female-adolescent-coarse-1
145788	pos_female-adolescent-coarse-1
145957	pos_female-adolescent-coarse-1
147920	pos_female-adolescent-coarse-1
150082	pos_female-adolescent-coarse-1
150159	pos_female-adolescent-coarse-1
150372	pos_female-adolescent-coarse-1
150696	pos_female-adolescent-coarse-1
151254	pos_female-adolescent-coarse-1
151258	pos_female-adolescent-coarse-1
151295	pos_female-adolescent-coarse-1
151484	pos_female-adolescent-coarse-1
151658	pos_female-adolescent-coarse-1
153684	pos_female-adolescent-coarse-1
154	pos_female-adolescent-coarse-1
157574	pos_female-adolescent-coarse-1
1586	pos_female-adolescent-coarse-1
160622	pos_female-adolescent-coarse-1
161176	pos_female-adolescent-coarse-1
161502	pos_female-adolescent-coarse-1
161835	pos_female-adolescent-coarse-1
1633	pos_female-adolescent-coarse-1
166647	pos_female-adolescent-coarse-1
1669	pos_female-adolescent-coarse-1
1675	pos_female-adolescent-coarse-1
1678	pos_female-adolescent-coarse-1
1763	pos_female-adolescent-coarse-1
1838	pos_female-adolescent-coarse-1
1890	pos_female-adolescent-coarse-1
1903	pos_female-adolescent-coarse-1
192683	pos_female-adolescent-coarse-1
1969	pos_female-adolescent-coarse-1
200014	pos_female-adolescent-coarse-1
200162	pos_female-adolescent-coarse-1
200315	pos_female-adolescent-coarse-1
200942	pos_female-adolescent-coarse-1
201161	pos_female-adolescent-coarse-1
202	pos_female-adolescent-coarse-1
203	pos_female-adolescent-coarse-1
2037	pos_female-adolescent-coarse-1
2052	pos_female-adolescent-coarse-1
206358	pos_female-adolescent-coarse-1
206412	pos_female-adolescent-coarse-1
2119	pos_female-adolescent-coarse-1
212	pos_female-adolescent-coarse-1
216	pos_female-adolescent-coarse-1
2172	pos_female-adolescent-coarse-1
2184	pos_female-adolescent-coarse-1
219348	pos_female-adolescent-coarse-1
2195	pos_female-adolescent-coarse-1
2199	pos_female-adolescent-coarse-1
220042	pos_female-adolescent-coarse-1
220164	pos_female-adolescent-coarse-1
221150	pos_female-adolescent-coarse-1
2213	pos_female-adolescent-coarse-1
2215	pos_female-adolescent-coarse-1
222229	pos_female-adolescent-coarse-1
222235	pos_female-adolescent-coarse-1
222696	pos_female-adolescent-coarse-1
222698	pos_female-adolescent-coarse-1
222962	pos_female-adolescent-coarse-1
2281	pos_female-adolescent-coarse-1
23051	pos_female-adolescent-coarse-1
2308	pos_female-adolescent-coarse-1
23089	pos_female-adolescent-coarse-1
23170	pos_female-adolescent-coarse-1
23181	pos_female-adolescent-coarse-1
23205	pos_female-adolescent-coarse-1
23209	pos_female-adolescent-coarse-1
23229	pos_female-adolescent-coarse-1
23239	pos_female-adolescent-coarse-1
23275	pos_female-adolescent-coarse-1
23286	pos_female-adolescent-coarse-1
23324	pos_female-adolescent-coarse-1
23348	pos_female-adolescent-coarse-1
23408	pos_female-adolescent-coarse-1
23430	pos_female-adolescent-coarse-1
23498	pos_female-adolescent-coarse-1
2352	pos_female-adolescent-coarse-1
23547	pos_female-adolescent-coarse-1
23613	pos_female-adolescent-coarse-1
23650	pos_female-adolescent-coarse-1
2517	pos_female-adolescent-coarse-1
253012	pos_female-adolescent-coarse-1
253018	pos_female-adolescent-coarse-1
253639	pos_female-adolescent-coarse-1
253650	pos_female-adolescent-coarse-1
2542	pos_female-adolescent-coarse-1
255061	pos_female-adolescent-coarse-1
25759	pos_female-adolescent-coarse-1
25895	pos_female-adolescent-coarse-1
25907	pos_female-adolescent-coarse-1
25992	pos_female-adolescent-coarse-1
2623	pos_female-adolescent-coarse-1
2624	pos_female-adolescent-coarse-1
2628	pos_female-adolescent-coarse-1
2633	pos_female-adolescent-coarse-1
26579	pos_female-adolescent-coarse-1
26780	pos_female-adolescent-coarse-1
2696	pos_female-adolescent-coarse-1
27030	pos_female-adolescent-coarse-1
27033	pos_female-adolescent-coarse-1
27109	pos_female-adolescent-coarse-1
27132	pos_female-adolescent-coarse-1
27290	pos_female-adolescent-coarse-1
27303	pos_female-adolescent-coarse-1
2802	pos_female-adolescent-coarse-1
282809	pos_female-adolescent-coarse-1
283	pos_female-adolescent-coarse-1
283208	pos_female-adolescent-coarse-1
283856	pos_female-adolescent-coarse-1
283870	pos_female-adolescent-coarse-1
283927	pos_female-adolescent-coarse-1
284	pos_female-adolescent-coarse-1
284186	pos_female-adolescent-coarse-1
284422	pos_female-adolescent-coarse-1
284615	pos_female-adolescent-coarse-1
284825	pos_female-adolescent-coarse-1
2850	pos_female-adolescent-coarse-1
285533	pos_female-adolescent-coarse-1
2877	pos_female-adolescent-coarse-1
2890	pos_female-adolescent-coarse-1
28970	pos_female-adolescent-coarse-1
28992	pos_female-adolescent-coarse-1
28999	pos_female-adolescent-coarse-1
29103	pos_female-adolescent-coarse-1
2917	pos_female-adolescent-coarse-1
29780	pos_female-adolescent-coarse-1
2982	pos_female-adolescent-coarse-1
2997	pos_female-adolescent-coarse-1
3005	pos_female-adolescent-coarse-1
3010	pos_female-adolescent-coarse-1
3034	pos_female-adolescent-coarse-1
3123	pos_female-adolescent-coarse-1
3135	pos_female-adolescent-coarse-1
3145	pos_female-adolescent-coarse-1
319103	pos_female-adolescent-coarse-1
3240	pos_female-adolescent-coarse-1
3306	pos_female-adolescent-coarse-1
3310	pos_female-adolescent-coarse-1
338651	pos_female-adolescent-coarse-1
338773	pos_female-adolescent-coarse-1
3394	pos_female-adolescent-coarse-1
3397	pos_female-adolescent-coarse-1
3398	pos_female-adolescent-coarse-1
3399	pos_female-adolescent-coarse-1
340348	pos_female-adolescent-coarse-1
343099	pos_female-adolescent-coarse-1
3455	pos_female-adolescent-coarse-1
346606	pos_female-adolescent-coarse-1
3475	pos_female-adolescent-coarse-1
347744	pos_female-adolescent-coarse-1
347862	pos_female-adolescent-coarse-1
348093	pos_female-adolescent-coarse-1
3490	pos_female-adolescent-coarse-1
3491	pos_female-adolescent-coarse-1
3512	pos_female-adolescent-coarse-1
352999	pos_female-adolescent-coarse-1
353174	pos_female-adolescent-coarse-1
3553	pos_female-adolescent-coarse-1
3579	pos_female-adolescent-coarse-1
3595	pos_female-adolescent-coarse-1
3687	pos_female-adolescent-coarse-1
3690	pos_female-adolescent-coarse-1
3697	pos_female-adolescent-coarse-1
3699	pos_female-adolescent-coarse-1
374470	pos_female-adolescent-coarse-1
375061	pos_female-adolescent-coarse-1
375444	pos_female-adolescent-coarse-1
3755	pos_female-adolescent-coarse-1
376940	pos_female-adolescent-coarse-1
3802	pos_female-adolescent-coarse-1
3811	pos_female-adolescent-coarse-1
3823	pos_female-adolescent-coarse-1
387496	pos_female-adolescent-coarse-1
388567	pos_female-adolescent-coarse-1
388588	pos_female-adolescent-coarse-1
3948	pos_female-adolescent-coarse-1
3957	pos_female-adolescent-coarse-1
3959	pos_female-adolescent-coarse-1
3984	pos_female-adolescent-coarse-1
