gene	male-older_adult-fine-1
10000	0.003275509006485399
10001	0.023577808718444053
10002	-0.018897840609157737
10003	0.015954861632172156
100048912	-0.00683661041792897
10004	0.02508981398675812
10005	-0.045704261009577064
10006	-0.029288505746610356
10007	-0.04416795142687147
10009	-0.026714944898786
1000	0
10010	-0.026614573175596793
100126791	0
100128124	-0.010446874596218163
100128640	0.0030419452099815403
100129128	-0.034764815726865
100129250	-3.11990068531328e-10
100129271	-0.030034525473573482
100129361	0.002108730142225059
100129482	-0.013644797723979247
100130331	-0.0035850158545053814
100130449	-0.013094813241181943
100132341	-0.019146459340034085
100132476	0.005543042631294146
100134713	-1.7264330462079588e-10
100137047	0.0013425016570552716
10013	0.02099974481054885
10014	-0.027132506127916213
10015	0.0014398510637833274
10016	-7.898104797544747e-10
10017	0.0036405586599740523
100188893	-0.008260924266518324
10018	-5.139376715100057e-10
10019	8.389427544021926e-5
1001	-0.05407865614176966
10020	0.00999369618088331
10021	-0.010899638721747243
10022	0.01133286663586455
10023	0.022413222313921607
10024	0.03373683524470767
10025	0.006142896814516487
10026	-0.04199244631620298
100272147	0.004175922032687565
100287932	0.030292922099507513
100288413	0.04986678497665556
100289678	-0.0142182689784309
100293516	0.023311489641695826
1002	0.003258441944710433
100316904	-0.0021153147826985007
10036	0.005282465594115978
10038	0.009872569366555837
10039	0.025434033170867062
1003	0.04798309143832476
10040	-0.004381821846702548
10042	0.004830065990455633
10043	-0.002129704010411172
10045	0.052205806433668844
10046	-5.31522638901371e-10
10047	2.85789504233877e-4
10048	0.042088046177811186
10049	-0.0020715520822758614
1004	-0.0016134967249639852
100505741	-0.014141988676079673
100505761	-0.03628126128094297
100505879	0.008934115532540797
100505933	-0.007194324317971139
100506144	0.0052845292449995316
100506469	0.00673420583978014
100506504	-0.008273624941594717
100506571	0.019877642337408602
100506581	-0.030777545358371454
100506963	-0.019189633046742382
100507331	-0.0208775446613336
100507436	-0.002863860108173887
100507605	-1.2727713716678832e-10
10050	0.019639604239510798
10051	-0.05588224625832372
10052	0.004938510854120874
10053	-0.017953317491534355
10054	0.008606450218893254
10055	0
10057	0.03373232363568713
10058	0.004296855701402626
10059	-9.875154591889808e-10
1005	-0.0038315879039562384
10060	-0.02264756630442926
10061	-1.3401714635243176e-10
10062	0.03597367366227086
10066	-8.742469914562142e-10
10067	-8.556056357376318e-10
10069	0.004352086382017927
1006	0.029510037550861803
10072	-8.171655736605543e-10
10073	0.0011740148546206105
10075	-1.4974589079778436e-10
10076	0.009091486682841094
10077	-0.01217807765305445
10078	0.005821821752548342
10079	0.009034853763939922
1007	0.020156489846764908
10083	-0.002286809234434433
10084	0
10085	-0.013909390872897675
10086	-3.212028805886545e-10
10087	0.0174145764375316
10089	0.02095037536074365
1008	-0.03781424335231049
10090	-0.00963018719614357
10092	-0.031272225721397984
10093	-0.019575504756651603
10095	-0.025542677224784583
10096	-0.007493713162984779
10097	-0.011502587222283476
10098	0.03758553048181106
10099	0.009372283514753678
1009	0.01038158903551226
100	-0.019891582267642937
10100	-0.0019790318168303833
10101	0.015590831497925098
10102	-0.009666269368334679
10103	-0.07407720431396746
10105	-0.017364457244466065
10106	-0.012452519280730807
10107	-0.006434077131871975
10109	-0.011872932696828542
1010	-1.5714788862360634e-10
10110	0.01603213606279062
10111	-0.016737986960763136
10112	0.03651468544692491
10113	0.022851013804997176
10114	0.04647085198623468
10116	-0.033381306225990365
10120	0.011358769121394696
10121	-0.0098329800271706215
10123	0.03610459486208303
10125	0.0220718052744517
10126	0.0015386429461460161
10127	-0.014505118229041792
10128	0.02596750192447301
10129	0.03488505079415514
1012	0.0019500469523972414
10130	0
