gene	female-child-fine-2
10000	-0.005413114888529607
10001	0.007177491011196368
10002	0
10003	0.007597777225576917
100048912	0
10004	0
10005	-0.00406476438946169
10006	0.007653937254554908
10007	0
10009	0
1000	-0.003025754351401963
10010	-0.009520547376527607
100126791	-0.0011604676960044026
100128124	0.0032926298769553825
100128640	-0.0031712982469518955
100129128	0
100129250	0.003408463715550849
100129271	0
100129361	0
100129482	-0.00336554630348422
100130331	0.004049586605639845
100130449	-0.008713661768437499
100132341	0
100132476	0
100134713	-0.012627821257382668
100137047	0
10013	0
10014	0
10015	-0.005227939833677243
10016	0.0019093977843380727
10017	-4.860056885738453e-4
100188893	0
10018	0
10019	0.01705880566753832
1001	-0.012236996775080517
10020	-0.002505764632703063
10021	0
10022	0
10023	-0.004780504552622597
10024	0
10025	0.0037039416803331597
10026	0.016847188025325865
100272147	0.0074958668185421025
100287932	0
100288413	-0.004092942976354568
100289678	0.003948806425694721
100293516	-0.015115573092586801
1002	9.131039708909944e-4
100316904	0
10036	0
10038	0
10039	0.001317298601987508
1003	0.0065496298212181815
10040	8.784988927622161e-5
10042	-5.626422783847851e-5
10043	-0.0048904183206474414
10045	0
10046	0
10047	0
10048	0
10049	0
1004	-2.0857904667971812e-5
100505741	0
100505761	-0.0044186811511235154
100505879	0
100505933	0
100506144	0
100506469	0
100506504	0
100506571	1.6048519605282884e-4
100506581	0.003830462044480234
100506963	-0.001150703044862931
100507331	0
100507436	-0.022457766534814072
100507605	0
10050	0
10051	0
10052	-0.004066178536902001
10053	0
10054	0.004122792176298485
10055	0
10057	-0.0033129053743908648
10058	-0.013290217583114678
10059	0.0051721302238766885
1005	-0.016295091149095543
10060	0
10061	0
10062	-0.014063201956738047
10066	0
10067	0.0010619671292663921
10069	0
1006	-0.0025144590432410207
10072	-0.0057285153132455415
10073	0
10075	0
10076	-0.012122198555389088
10077	0
10078	0
10079	0.012607374704001138
1007	-0.0031453642353715954
10083	-0.001246823730390499
10084	0
10085	-0.008348627011579816
10086	0
