gene	male-older_adult-coarse-3
1	0.03907530547725835
10	0.07105471031071424
100	-0.02297889761023541
1000	0.0791134414934994
10000	0.022495221450441975
100009676	0
10001	-0.00938415246178011
10002	0
10003	-0.02689339544648168
10004	0
100048912	0.029756479514558922
10005	-0.025692900268201653
10006	9.23418110046426e-4
10007	-0.008277831866856782
10008	0
10009	-0.02360353396329406
100093630	0
100093698	0
1001	-0.05114166897762843
10010	-0.01949298613819079
100101467	-0.015411815153105591
100101938	0
10011	0.02154902799531206
100113407	0.031183734321126894
100124700	0.006041391075068884
100125288	-0.0316730658054325
100126791	0.03868534395788071
100126793	-0.025507229400677893
100127888	0.018419382784031046
100127983	0.07733508930825293
100128025	0
100128071	-0.0059166710808249805
100128098	0
100128124	-0.0305821908454281
100128126	0
100128139	0
100128164	0
100128191	0.050263714774662877
100128239	0.04538496640531857
100128325	0
100128554	0
100128590	0
100128640	0
100128731	0
100128750	-0.0027635239854881767
100128782	0.038572244303860324
100128788	0.0013146736621589717
100128881	0
100128893	0
100128927	0.04181630331491064
100128946	0.0038454614914190887
100129128	0.07147796851299892
100129175	0
100129195	0
100129196	-0.03327282124696325
100129250	-0.025843196497639546
100129271	0.008085324661894204
100129361	-0.0014055853580165352
100129427	0
100129461	0.009052002607838103
100129482	0
100129503	0
100129550	-0.00526450054124492
100129597	0
100129620	-0.015380194495985072
100129654	0
100129662	0.022279167586668744
100129716	0.054236969897946914
100129722	0.00714593943839818
100129726	-0.01836524521336747
100129792	0.032747430927400116
100129794	0
100129827	-0.010359292709992097
100129845	0
100129858	0
100129917	-0.06874315966597103
100129935	0
10013	-0.022631230604435705
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.05275842736243439
100130449	0.07123022047868152
100130476	0.0184715635663394
100130519	-0.011526555211081644
100130522	-0.0225815611476969
100130548	0
100130613	0.0019714825053367743
100130691	-0.05794917924548593
100130705	-0.00101645509684846
100130717	0
100130733	0.0034996342008544144
100130776	0
100130894	0
100130933	0.015504319914159619
100130950	0
100130958	-0.011596343050303862
100130967	0.0014353522563361808
100131017	0
100131067	0
100131117	-0.06504694153063269
100131138	0.029593845219995633
100131187	0
100131211	0.00323197060342588
100131213	0
100131303	0
100131347	0
100131366	-0.013892573099463632
100131434	0
100131496	-5.632450781952995e-4
100131655	-0.06618351395304889
100131691	0.04080337028842694
100131755	-0.012958599147013805
100131801	-0.003105596007112989
100131814	0.06213047027955147
100131816	0
100132074	-0.04334373771472145
100132078	0
100132341	0
100132386	-0.010775046652380008
100132464	-0.028687887409148096
100132476	0
100132596	0
100132677	-0.015485320604666711
100132891	-0.05098339550558781
100133205	0
100133311	0
100133461	0
100133612	0
100133941	0.0823213313604152
100133985	-0.0030753249610219204
100134229	0.038181739497008337
100134259	0.051052979106650645
100134368	0
100134713	-0.0017014772944243365
100137047	0.08767250596633404
10014	0
100141515	0.027657943330760524
100144597	0
100144602	-0.0034045086885293088
100144603	-0.0048450155720156885
100144748	0
10015	0
10016	-0.015424215930233656
100169752	0
100169989	0
10017	0
100170229	-0.0022317232573887446
100170765	0
100170841	0
10018	0
100188893	0
100188953	0.02281954618352874
100189589	0.026447370361199398
10019	-0.005358045855509782
100190938	-0.008922920135603606
100192379	0
100192386	0.03700549213942583
1002	0
10020	0
10021	0
10022	0
10023	0
10024	-0.0180910792212348
10025	-0.045970064411453
10026	-0.0026452440147568647
100268168	-0.02342803078822722
100270679	0
100272147	-0.04660783573783176
100286844	0.013713080711538107
100287015	-0.015006611257282214
100287114	0
100287177	0.06415914161580191
100287366	0.007970734103006421
100287482	-0.05908271395395654
100287569	0
100287616	9.770991835947444e-4
100287814	-0.0057313815305589854
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0.03725711875311111
100288797	-2.864583697546287e-4
100289092	-0.013113356644744865
100289097	0
100289098	-0.02228739000686757
100289187	0
100289274	-0.00622722245490596
100289341	-0.05364213238770363
100289373	-0.01900378917003061
100289495	0
100289635	0
100289678	0.005205732426043509
100292680	0
100293516	0.0281448735561079
100294362	0
100294720	0
1003	0.023019591268632823
100302691	0.013582830627347145
100303728	0
100303755	0.01241596777061562
100306951	0.014706573710018994
100316904	0.048779472903606985
100329135	0.002675737473175047
100359394	0
10036	0
100379174	-0.03306570734068154
10038	-0.01875318828849376
100381270	-0.018241809473332003
10039	0.08610961160653796
1004	-0.05596262445077554
10040	0
10042	-0.03946679674069849
100422737	0.012234989406252368
10043	-0.00741416899851438
10044	-0.0018482323632068602
10045	-0.012556961806251422
10046	0.028341259489645436
10047	0
10048	0
10049	0
100499171	0.036040051294269945
1005	-0.00595062737576774
10050	0.025868698284756696
100500850	-0.059846379436727465
100505474	0.03285518027943155
100505478	0.03258237757574535
100505495	0
100505501	0.007863268908486615
100505515	0.0027874917846832698
100505538	-0.007286352774111222
100505540	-0.005223784815339609
100505545	0
100505549	0
100505573	0
100505583	0.013190994897407474
100505609	0
100505616	0.06308471723452616
100505619	0
100505622	-0.009191841653397002
100505624	0.022632239055580764
100505641	9.56331371844026e-4
100505658	0.014152067737582178
100505659	0.052305707702823334
100505664	0.042519972283925955
100505676	0
100505681	0
100505685	-0.022930591897661865
100505687	0
100505696	0.029624593892182464
100505715	-0.06800587768506815
100505718	0
100505738	0.04778065725004231
100505741	0
100505746	-0.06275441768204071
100505761	0
100505768	0
100505776	0
100505782	0.00487594341130665
100505783	0
100505797	-0.01577409996451396
100505811	-8.180404416164031e-4
100505812	-0.004561938007749266
100505826	-0.03268890110216905
100505839	-0.009629182901014383
100505841	0
100505851	0
100505854	0
100505876	-0.00509945669041801
100505877	-0.01056748697167185
100505879	-0.06696494748732877
100505881	0
100505890	0
100505893	0
100505894	-0.049794181144873134
100505933	0.036329374008742164
100505964	0
100505967	0
100505975	0.052616530579668634
100505978	0
100505984	0
100505985	0.031271549619530964
100505989	0.01104562743776637
100506012	0.008410767225760007
100506013	-0.009175801903590018
100506022	-0.042299034787078756
100506025	-0.02699148599673993
100506049	0.010473528262839189
100506068	-0.034112456602387
100506071	0
100506082	0
100506083	0.06124149043471833
100506098	0
100506100	0.012283882951183475
100506107	0.036482725521948624
100506108	0.0260915313841227
100506113	0.024848966694134653
