gene	female-elderly-fine-1
10000	-0.016693002707047884
10001	-6.601471310402662e-4
10002	0
10003	2.2485298237345796e-6
100048912	-0.003994079229317568
10004	0.012843996756014041
10005	0
10006	0.004853790217056927
10007	-0.007051821581519911
10009	-0.01594381062970485
1000	-0.04254827127878894
10010	0
100126791	0
100128124	-0.005847117798435781
100128640	-4.4949868243776526e-4
100129128	-0.0026734920792150074
100129250	0.005092716250320927
100129271	-0.0020722642468963322
100129361	0
100129482	0
100130331	0
100130449	-0.029062103969268154
100132341	-0.0176103348821571
100132476	0
100134713	0
100137047	0
10013	-0.002965246772599683
10014	0
10015	0.0013714697928115058
10016	0
10017	-0.007056216699559575
100188893	0
10018	0.0018336178165789681
10019	0.011229541326489878
1001	0.0061515860857460644
10020	0.017564225505938027
10021	0
10022	-0.017898124454621234
10023	0.004556746010157503
10024	0
10025	0.004732037255509269
10026	-0.0034182604617236097
100272147	-4.2603570766310725e-5
100287932	0
100288413	-0.013180961328747678
100289678	0
100293516	0
1002	0
100316904	0.02091238801919701
10036	0
10038	-0.004416147051016826
10039	0
1003	0
10040	0.01399845724535982
10042	-5.371042979327903e-5
10043	-9.331725416473756e-4
10045	-0.01649026680703959
10046	-0.015479315855125996
10047	0
10048	0.00383630104584845
10049	-0.02760713250004253
1004	-0.010473776985037282
100505741	0
100505761	-0.00593035446252869
100505879	-0.002157536997970945
100505933	0
100506144	0
100506469	0.005319111717428903
100506504	-0.0024255366502025128
100506571	0
100506581	-0.011142098047004098
100506963	0.01462912885598829
100507331	0.0028271427075224433
100507436	0.01768686465520463
100507605	0
10050	0
10051	-0.008189808877625694
10052	0
10053	-0.018768873185829024
10054	-0.013340348957149039
10055	-0.010461730150715162
10057	0.0016442553497912275
10058	0.0058946425903988915
10059	-0.0025742478086565293
1005	-0.01112147908899105
10060	0
10061	0
10062	0.022207764742121317
10066	0
10067	0
10069	-0.015586170006659019
1006	0
10072	9.247348549318726e-4
10073	-0.02567449807223072
10075	0
10076	0.003069238049634427
10077	0.0031578015345914727
10078	0.0029109203882626573
10079	0
1007	0.006615876213681523
10083	0.02236825466211679
10084	-0.014741113418635552
10085	-0.012721756970641684
10086	0
10087	0.009728169724840138
10089	0
1008	0
10090	-4.1488458049155713e-4
10092	0
10093	0.0029942242046344077
10095	0.008340226050641145
10096	0
10097	0
10098	-0.003916056031395303
10099	-0.011360427282427973
1009	-0.019283903650025344
100	-0.012148900827799961
10100	0.002671144164131193
10101	-0.01609701478330312
10102	0
10103	-0.02409010449199185
10105	-0.01389528401501597
10106	0.012776700755212853
10107	-1.2068166777514576e-4
10109	0
1010	0.0022637809300875248
10110	-0.011533498544412513
10111	-7.304721788128734e-4
10112	-1.2831471144951568e-4
10113	0
10114	0.004676690552550355
10116	-0.0062108384503630695
10120	0.009705249040013589
10121	0.009900367986123778
10123	-0.006815096049780779
10125	0
10126	3.281272680694508e-4
10127	0.004032033165228029
10128	-0.0069828790021744256
10129	-0.0109980764470584
1012	0.0020576831746306544
10130	-0.006782713772285205
10131	0
10133	-0.013567405619261627
10134	-0.005754670706962622
10135	-0.012267504426944742
10136	-0.004593239311347704
10137	0.0026068171503168193
10138	-0.005282241486109523
10139	0.00198495184869242
1013	0
10140	0.013236977894326001
10141	0
10142	-0.010484276854583049
10144	0.020323877111492996
10146	0
10147	0
10148	0.01923095420840481
10149	0.008868403778510546
1014	-0.014641962715876372
10150	-0.0040028284173753564
10152	-0.010250818888129218
10153	0
10154	-0.007029495846259575
10155	-0.007978420756136698
10157	-0.017291815387510758
10158	0.015422731510500375
10159	0
1015	2.3583583853333185e-4
10160	-0.02878791539134093
10161	0
10162	0.0026345876463665387
10163	0
10164	0
10165	0
10166	0
10168	-0.0015619360976686716
1016	-0.003563416878999647
10170	0
10171	0
10174	0
10175	-0.007269856369866702
10178	0
10179	0
1017	-0.0017895023640963693
10180	0
10181	1.6907860540406726e-4
10184	0.004925290662434315
10186	-0.017507486022146638
10188	0
10190	0.001626300230160326
10193	0
10195	-0.009582886581292907
10196	-0.0015393285173367702
10197	0
10198	-0.00801092420128619
10199	0
1019	9.363911219300498e-4
101	0
10200	0
10201	0.016208071114490758
10202	-0.015342166681110833
10203	-0.014308208513558992
10205	0
10206	0.012850126418410853
10207	-0.0033389280407406605
10208	0
10209	0.0025852354762238216
1020	-0.00557690031824283
10210	0
10211	0.0030399758991867787
10212	0
10213	0
10214	0
10215	0.002446043560117435
10216	0.03743242408119352
10217	0.009894804705166155
10218	-0.002314980767506192
10219	-0.0046510636127725866
1021	-0.004175240313653872
10220	0.0035245853860574475
10221	0.0029894410127060175
10223	0
10225	-0.02402190421822667
10226	0.008470487148395833
10227	-3.733191283434958e-4
10228	-0.010640059376203223
10229	0
1022	-0.004727711775733657
10230	-0.007288674765525458
10231	0.025395583736289043
10232	-0.013974723097344367
10233	0.001954493140620611
10234	0.009584392489857091
10235	-0.002322526415952529
10236	0
10237	0
10238	-0.0021824959489019856
10240	0.007837132538763749
10241	0
10242	0
10243	-0.010467429602754633
10244	-0.0018904151967642122
10245	-0.0018173655313578042
10246	0
10247	-0.012857459428462368
10248	0.014275178522308455
10249	0
10250	0.002505851648583554
10252	0.025099400389111487
10253	-0.008536553118530172
10254	0
10255	0
10256	0
10257	-0.0071838342584080025
1025	0.002625021996527447
10260	-1.524218817912581e-4
10261	0
10262	0
10263	0.001436605598728071
10265	0.008805170596332566
10266	-0.008854550670250734
10267	0.01334885531471425
10268	0.00784557795865761
10269	0.006951909251343169
1026	-0.0027774744422071874
10270	0
10272	-0.006195409506922664
10273	0
10274	-0.010618132374081912
10276	-1.9532261759602185e-4
10277	0.006462315767152164
10278	0.003278658710373118
10279	0.021684552338093986
1027	0
10280	-0.0011683893132293506
10281	0
10282	-0.004014864378423293
10284	0
10285	0
10286	0.0020246822722089415
10287	0
10288	0
10289	0.010676748372895808
1028	0.04183199817398098
10290	0
10291	-0.0014269194271372284
10293	0
10294	0.003908499943261164
10295	-0.00936890598463068
10296	-0.0024154928916747392
10297	0
10298	4.6793278596258116e-4
10299	0
1029	-0.011333821899482639
102	-0.006375166420791524
10300	0
10301	-0.021176008193890046
10302	0
10307	-0.002869972613885544
10308	0.006723856078460667
10309	-0.025808970021732686
1030	0
10311	0
10312	-0.00844767417039939
10313	-0.002187809592886811
10314	0.017028075100217505
10316	0
10317	0
10318	-0.004049049008811442
10319	-0.002090500016768549
1031	-0.0013111606912243178
10320	0
10321	-0.02877160110760377
10322	0
10324	-0.008003490625951272
10325	8.867240319764739e-4
10327	0
10328	0
10329	0.010122699755567325
1032	0
10330	0
10331	0.008085665898070341
10332	0.0011941079428536988
10333	0
10336	0
1033	0.012462410627040194
10342	0
10343	0
10346	0.016685746873243392
10347	0
10351	-0.0049778143586170255
10352	0.0011651499409935607
10360	0
10362	0
10363	0.0049760362845594295
