gene	female-adolescent-fine-3
10000	-0.004315924562420114
10001	0
10002	0
10003	-0.006713059652673363
100048912	-0.001978900616981801
10004	0.019662575853315576
10005	-0.008973256633724605
10006	-0.007233482389257145
10007	-0.0020827158581100966
10009	0
1000	0
10010	-0.0014530392788273294
100126791	0
100128124	-0.011507555996494116
100128640	-0.0016470088874289627
100129128	0.012967980655705046
100129250	0
100129271	0.03774399538977537
100129361	-3.428845872800507e-4
100129482	0.008756117362868947
100130331	0.00457126848750886
100130449	0.0034545888416143327
100132341	0.0017435968030722806
100132476	0
100134713	0
100137047	0
10013	-0.003129785189697966
10014	0
10015	0
10016	0
10017	0
100188893	0
10018	0.0024890609283368193
10019	-0.0012008167422639855
1001	-0.002861602825653028
10020	-0.013495147717196844
10021	0
10022	0.010890065346693734
10023	0
10024	0
10025	-0.006915705520225762
10026	0.012143894672415079
100272147	0
100287932	1.0904100724309636e-4
100288413	-0.004224212787467069
100289678	0
100293516	0.029160990863467517
1002	-0.013691516538682584
100316904	-0.01980501799504604
10036	0
10038	-0.002077253043177333
10039	0.01093015872973563
1003	0.005650318328715317
10040	-0.04587318010841445
10042	0
10043	-0.007130938407346124
10045	-0.03321410626532359
10046	0
10047	0
10048	0
10049	0
1004	0.0029691596703902224
100505741	-0.009550809679314966
100505761	0.0021137569613557208
100505879	0
100505933	0
100506144	0
100506469	0.004198777578068449
100506504	-0.003252636257438814
100506571	-0.0068086255288025
100506581	-0.005097955794617136
100506963	-0.004988608684922335
100507331	0
100507436	0
100507605	0
10050	-0.006672326875491567
10051	0
10052	0.003127129788224186
10053	-0.006779974886660804
10054	-5.908167569147095e-4
10055	0
10057	-0.024169110871135834
10058	0.02623877053188901
10059	0
1005	-0.0030107525531726936
10060	-0.0070637448509544435
10061	-0.0024861889134016233
10062	-0.002017465765314849
10066	-0.015915950299063092
10067	0.008563296779101507
10069	0.0011030271314804504
1006	-0.0018880740133134799
10072	-0.004101168952814975
10073	0.007139882133737887
10075	-3.192796065795269e-4
10076	0.0050144079195880145
10077	0.002677372876529849
10078	0.0022736962483704912
10079	0.006152781444377493
1007	0
10083	0.004028508249042067
10084	-0.02554898787600777
10085	-0.010927944593514266
10086	0.006282216979131206
10087	-0.009142651084886726
10089	-4.4360040284969923e-4
1008	0.002486259686246881
10090	-0.015006870895235582
10092	0
10093	0.006577559068085127
10095	-0.025277392636594974
10096	-0.005870946925662137
10097	-3.6843822316655876e-4
10098	0
10099	0
1009	0
100	-0.03308849020168325
10100	-0.00294572006801872
10101	-0.015644992154602914
10102	2.817840185312382e-4
10103	0.02569820156315339
10105	0
10106	0.001327866466395341
10107	0.006952382302179958
10109	0
1010	0.008727963361997323
10110	0
10111	0.008241716074648252
10112	0.00935462560014688
10113	0
10114	0.0187221582821131
10116	0
10120	0
10121	-0.004689752759145624
10123	0.005634698133043618
10125	-0.0178557449644376
10126	-0.00465791956172874
10127	0
10128	-0.0023121670219271376
10129	0.0031388643934920197
1012	0
10130	0
10131	-0.010944962420615864
10133	-0.020568383557747226
10134	-0.01048086354658238
10135	0
10136	-0.006557928489327858
10137	0
10138	0
10139	-0.0012569683794295954
1013	0
10140	0.01749708895127972
10141	-6.673358503879793e-4
10142	0.0016785389812460701
10144	0
10146	-0.0014798115187976424
10147	0
10148	-0.006447154468541969
10149	-0.002391737387552211
1014	-0.005742804488058651
10150	-0.016596552999339022
10152	-0.004266534468830251
10153	0.0037106962325997262
10154	0.022392739907542224
10155	0.008686429449920558
10157	-0.006478154021066074
10158	-0.014606840095778499
10159	0
1015	-0.004696794898574016
10160	-5.865536231560007e-4
10161	0
10162	0.007333520001071417
10163	0
10164	-0.0018635096432429933
10165	0.0049057170684876595
10166	0
10168	0
1016	0
10170	0.0332873827524682
10171	0
10174	0
10175	-0.002781094868592525
10178	-0.02494321589834479
10179	-0.0052092783008114
1017	0.013997154891890656
10180	-0.001506804821903231
10181	-3.9868369807597305e-4
10184	-0.015485676733149349
10186	-0.011167386802387089
10188	4.0564371076685354e-4
10190	-0.0019476873817240994
10193	-0.002515088001818218
10195	-0.008389224623874309
10196	0.010298182141691927
10197	0
10198	-4.1456567445367123e-4
10199	0.0010309955591945167
1019	0
101	0.016380002035084388
10200	-0.022513555067573496
10201	0
10202	0.0021315219201724226
10203	9.67934499912646e-5
10205	0
10206	0
10207	0
10208	0
10209	0
1020	0.009862139361127738
10210	-0.003821723349288278
10211	-0.006228604863814928
10212	-0.010399936010685618
10213	-4.9425874099437974e-5
10214	0
10215	0
10216	-8.607818525094395e-4
10217	-0.003886468968896783
10218	0.005715542339086785
10219	0.018199357788155325
1021	-2.940224848161479e-5
10220	0
10221	-0.013123710178853488
10223	-0.017093452837664856
10225	-8.515760817618205e-4
10226	-0.00463416217068035
10227	0
10228	0
10229	0.003262156723853464
