gene	female-young_child-fine-2
10000	0
10001	0.0035070012152389955
10002	-7.646670184802735e-4
10003	0
100048912	0
10004	-0.0018125530461545127
10005	0.009190843418663051
10006	9.168895565828967e-4
10007	0
10009	0
1000	0
10010	0.003952237926844063
100126791	0
100128124	0.012863682673852144
100128640	0.02000390974446219
100129128	0.0047693068373136065
100129250	0.005960189554681252
100129271	0.00934252302176933
100129361	-9.165827574977311e-4
100129482	0
100130331	0.0010296626543722363
100130449	0.00977422949273077
100132341	-0.001242943516301617
100132476	0
100134713	0
100137047	0
10013	0
10014	-0.007252181475897821
10015	4.9592092614665003e-5
10016	-0.004103051574013782
10017	0
100188893	0
10018	-0.009026949673367597
10019	0
1001	-0.02285142117589206
10020	0.02071336403348088
10021	0
10022	0
10023	0.0059259962595631255
10024	-0.0017216542005428289
10025	-0.009006995208010508
10026	-0.0039474435287234835
100272147	0.0028447676521771025
100287932	0
100288413	0
100289678	0
100293516	-0.007371790955388624
1002	0.008785035226913504
100316904	0
10036	0
10038	0
10039	0.01570524740897962
1003	0.007905680699901824
10040	-0.0066986856351076655
10042	0
10043	0
10045	0
10046	-0.010636145873367912
10047	-0.01009646048797739
10048	0
10049	-0.016884910527185867
1004	0
100505741	0
100505761	0
100505879	0
100505933	0
100506144	0
100506469	0
100506504	0
100506571	0
100506581	0.008650259809246358
100506963	0.004748170082984801
100507331	0.0010961024729429093
100507436	-0.0050786343562086314
100507605	0
10050	0
10051	0
10052	0
10053	0.008190170458224675
10054	-0.008598121700104185
10055	0
10057	-0.009328163131835586
10058	0.0045420948027420725
10059	-0.005789694347173422
1005	0.004687424744587403
10060	0
10061	0
10062	2.3552706688236875e-4
10066	0
10067	0.004215100612254592
10069	0
1006	-6.409178071166736e-4
10072	0.009918372975213119
10073	8.933941832614445e-4
10075	0
10076	0.022797435538507382
10077	-0.0047580217832797495
10078	0
10079	-0.01100758532092882
1007	-0.004875704448142186
10083	0
10084	0
10085	0.0038029930441907094
10086	0
10087	0.009831353220475658
10089	0
1008	-0.029034563976191727
10090	0
10092	3.717870055357492e-4
10093	-0.00180438655801988
10095	0.009237302448170026
10096	4.913696295235623e-4
10097	0.0050251231760761695
10098	0.011102752958064939
10099	0.008781639874829265
1009	-0.020592378260059076
100	-0.011946046314714298
10100	0.004707632905892286
10101	-0.005310778528370292
10102	-0.003934179511654063
10103	0
10105	-0.03100944577405532
10106	-0.005622437854723875
10107	-0.007679914738416953
10109	9.854355665586505e-4
1010	-0.016690208271452536
10110	-0.007480367066638928
10111	-0.010851967462573048
10112	0.002449376128109348
10113	0
10114	0.005368898704868637
10116	0.004859805946186227
10120	0
10121	0
10123	0.025522155735369555
10125	0.012616361209942247
10126	5.417505347504909e-4
10127	7.87633906566748e-4
10128	0
10129	0
1012	-0.008115016216049587
10130	-0.0025698210581825763
10131	-0.006748574917206895
10133	-0.0034148786643926066
10134	0.004737587783340064
10135	0
10136	0
10137	-0.0083212987375622
10138	-0.0011750710080017824
10139	-0.00628957790267524
1013	0.013720410268502046
10140	-0.010979546142621562
10141	0
10142	-0.0030393994125971413
10144	-0.005805755947555573
10146	0
10147	0
10148	-6.482199058755576e-4
10149	0.009863620525799166
1014	-3.0918959856684737e-4
10150	-0.0026315345360130044
10152	0
10153	-0.002277488191669485
10154	0
10155	0.00891640861605495
10157	0.007442402683661333
10158	-0.005861924488835883
10159	0
1015	-0.0024405129986846213
10160	-0.009013551003206183
10161	0.016533343396160027
10162	0
10163	0
10164	0.007485142953251925
10165	-0.008913512841918369
10166	0.003768597216160735
10168	0.004020319575219496
1016	0
10170	-0.015873695301804606
10171	-0.009412524464883385
10174	0
10175	0.001723189617893249
10178	0.006637037141677896
10179	0
1017	0
10180	0.005691033202454321
10181	0
10184	-0.0076703727099542455
10186	-0.010746766840294396
10188	-5.325268503911807e-4
10190	-0.0024451905470902176
10193	-0.0021491961108325063
10195	0
10196	-0.0019665028679390992
10197	0
10198	-0.008181187491180453
10199	0
1019	0
101	-0.012561300254494045
10200	-0.0014965791340853017
10201	0
10202	-0.02204692852931519
10203	0
10205	-5.501942007663633e-5
10206	0
10207	0
10208	0
10209	0.0014458760011567498
1020	0.006378851062201222
10210	-0.0013251936603112101
10211	0.0012558430764667429
10212	-0.0049545188615392945
10213	0
10214	0
