gene	female-child-fine-1
10000	-0.004526839884301189
10001	0
10002	0
10003	0.012220134910064325
100048912	0
10004	0
10005	0.001743051515056488
10006	0
10007	0.0032047638655733545
10009	0
1000	0
10010	-0.0068356680143818295
100126791	0
100128124	0
100128640	-0.01882858972829774
100129128	0
100129250	-0.010786109976215305
100129271	0
100129361	0.0016294803147199855
100129482	-0.018112823477731854
100130331	0
100130449	0
100132341	0.0023798390754016466
100132476	0
100134713	-0.006356661810771007
100137047	0.0037589654960432047
10013	0
10014	0
10015	0
10016	0
10017	0
100188893	0.002063786063709662
10018	-0.003659757550359428
10019	0.01777682239025621
1001	-0.012680820940781413
10020	-0.00323771876069035
10021	0
10022	0.0018581627869514307
10023	0
10024	0
10025	0
10026	0.004289666138206386
100272147	0
100287932	0
100288413	0
100289678	0.002174145283475832
100293516	-0.006882531083920986
1002	0.011331991004629059
100316904	-0.01217018152827495
10036	0
10038	0
10039	-0.009592618871255185
1003	8.567685965772974e-4
10040	0
10042	-0.0016908233066357714
10043	0.013882133070163283
10045	0
10046	0
10047	0
10048	0.003588954578825798
10049	-4.6646358952039986e-4
1004	-0.008105789854648302
100505741	0
100505761	7.745337450786404e-4
100505879	0
100505933	0
100506144	0
100506469	0.0013484343044910725
100506504	0
100506571	0
100506581	0
100506963	0.00986482449654225
100507331	0.0018956857606289453
100507436	-0.02857151322514471
100507605	0
10050	0
10051	-0.009540805633297511
10052	-0.006434652800368568
10053	0.002228055428634152
10054	0
10055	-0.0023391686687916614
10057	0
10058	-9.514384605817032e-4
10059	0
1005	-0.005069970412553557
10060	-0.0036196522185237296
10061	0
10062	0
10066	0.0021640699296176305
10067	0
10069	-0.004540514585231843
1006	0
10072	0
10073	-9.839517325256986e-4
10075	-0.0031663014768980114
10076	-0.0077983245577176565
10077	0.01816290885076268
10078	0.0014795936795326786
10079	-0.006366194331901654
1007	0
10083	0
10084	0
10085	-0.010210711880621387
10086	0
10087	0
10089	-0.0014922983981845949
1008	-0.025323068457271378
10090	-0.008207716896017092
10092	0
10093	0
10095	0.020530345083868713
10096	1.2340286291587073e-4
10097	0
10098	0.009243663412482879
10099	0
1009	9.72718030419791e-4
100	-0.005347212238905492
10100	-9.81088838638189e-4
10101	-0.009322178712699664
10102	0
10103	0
10105	-1.142786449840685e-4
10106	0
10107	-0.0073606365218661235
10109	1.0424884919620852e-4
