gene	female-child-coarse-2
10000	0
10001	0.008333866574353437
10002	-0.005274079072813944
10003	0
100048912	0
10004	-0.012318877041646687
10005	0.005666562899584271
10006	0.0017008654784959982
10007	-5.842142111370029e-10
10009	0
1000	-3.089190310572393e-10
10010	-4.5772307158506373e-10
100126791	-1.3426865248356347e-11
100128124	0.008324422479345795
100128640	0.022065969421962688
100129128	0.0037110163383435742
100129250	0.013151870553876364
100129271	0.009924722802094494
100129361	-0.0021192686280987853
100129482	0
100130331	6.954774045020412e-4
100130449	-8.937907088975072e-4
100132341	-4.5542571238386475e-10
100132476	0
100134713	-4.863905052919859e-4
100137047	-1.5729332049072736e-10
10013	5.195082155858823e-4
10014	-0.0035214364469902154
10015	-6.446305407748513e-10
10016	-0.004274793114855336
10017	0
100188893	-6.338947523325693e-10
10018	-0.0013884686549787383
10019	0.0018250867241438702
1001	-0.021560299415110066
10020	0.007124653165701917
10021	0.0016141105388758784
10022	-6.821536080992809e-5
10023	0.007389581365684938
10024	-0.002568052400401902
10025	-0.002740858360243601
10026	-3.170129765159732e-10
100272147	0.010472089886299572
100287932	-5.468354795103585e-10
100288413	-0.0023085912777386056
100289678	-2.2888594521950835e-10
100293516	-0.017688222534248486
1002	0.006590461454798665
100316904	0.014082813291745553
10036	-8.492310698619812e-4
10038	-3.890414126453458e-10
10039	0.016454554206290477
1003	0.011193289645085439
10040	-0.0035067381949311148
10042	-6.257160075359937e-10
10043	-0.004608126059841059
10045	-2.86663687722678e-10
10046	-0.0037000285191566627
10047	-0.012049924098085914
10048	-3.6412833974242243e-10
10049	-0.011106798441463922
1004	0
100505741	0.004107425031710538
100505761	-0.0020124787872885853
100505879	-1.2938313984956848e-4
100505933	0.0020513007217087434
100506144	-1.6331790892620927e-10
100506469	-1.337913027200719e-10
100506504	-3.085683572837589e-10
100506571	0.005794566014151485
100506581	0.015324565133359702
100506963	-1.4494745913408777e-10
100507331	0.007192738321645418
100507436	-0.006358615387462159
100507605	0
10050	-0.0010434070781139605
10051	0.002175472787786602
10052	0
10053	0.009831130170469042
10054	-0.00727389720596248
10055	-3.271842830201894e-10
10057	-0.016295653844161765
10058	-1.8457708565522513e-10
10059	-3.658254083035303e-10
1005	-3.9374307792651576e-10
10060	0
