gene	male-middle_adult-fine-2
10000	-3.2446464372306443e-10
10001	0
10002	0
10003	0.018569675566499386
100048912	0.016476948526951078
10004	0.007956329809044576
10005	0.00991519626427047
10006	0.008687186633104449
10007	-0.01875344347148999
10009	1.6153516498445403e-10
1000	-0.005461550380835716
10010	0.008461642786405314
100126791	2.2178413986979253e-5
100128124	0.003839290459649438
100128640	-0.03748529251478351
100129128	-0.009475385342061162
100129250	-0.0026620032167212673
100129271	5.073731259001092e-4
100129361	0.0033918102485767467
100129482	-0.013543706213222815
100130331	-0.01969717351445218
100130449	-0.01657765112186837
100132341	0.030854154023547492
100132476	0.0019474884313107205
100134713	-7.550731043983663e-4
100137047	-0.001694819920650878
10013	0.008339440992339122
10014	0.02309003427929863
10015	-0.011571062330085329
10016	-1.7003556033889926e-9
10017	0.022204166232439163
100188893	0.016114705141397023
10018	-0.04562645767516328
10019	0.002886740095212142
1001	-0.040486334895622846
10020	0.041744209281894186
10021	-0.01322825226684291
10022	-0.02205406986508305
10023	0.02357117450706315
10024	0.005642736036099787
10025	-0.012019300534374734
10026	-8.206230872454032e-11
100272147	-0.01430370111136565
100287932	-0.016428812922096962
100288413	-0.012212195494976635
100289678	4.162101727304282e-4
100293516	-0.03633901226946162
1002	0.031318264016350836
100316904	-0.02076453259500347
10036	-0.036144554221476166
10038	-0.006432785867939767
10039	0
1003	0.03173933328504608
10040	0.012188846716724705
10042	-0.025831451348681506
10043	-0.021430135737517023
10045	-0.01551744710955334
10046	0.008766456595109605
10047	-0.030014952357709165
10048	-0.023931533683790016
10049	-0.0020296108641003406
1004	-0.05359317741791231
100505741	-0.04011287884471964
100505761	-0.029767592126488655
100505879	0.0072013468360035615
100505933	1.207671370412248e-10
100506144	-0.0033078465730275444
100506469	0
100506504	-0.022955204198336215
100506571	0.013623508244796339
100506581	-0.01666620098673492
100506963	-0.046585907225644145
100507331	0.0018220593764753314
100507436	0.03069228085224147
100507605	0.011241124083045754
10050	0.0494045615980397
10051	-9.048767362004533e-4
10052	7.604801242063655e-4
10053	-2.4552377162211576e-11
10054	-0.0138718142737707
10055	0.01152390323510796
10057	0
10058	-0.07333418640523211
10059	0
1005	2.6573770254465287e-10
10060	0
10061	0
10062	0.03872955097361356
10066	0.003930348023230772
10067	-0.004519587749886009
10069	-0.07387655928823574
1006	-0.013884694274095655
10072	0.010286812037444847
10073	-0.0032480515166679502
10075	0.011932976480547584
10076	0.042900682644708414
10077	-0.035405330574237365
10078	-0.01416038525460265
10079	-0.12190305260014812
1007	0.07266612790741968
10083	-0.008847985485303847
10084	0.008746829058928155
10085	0.06371423362519484
10086	-2.4663246851035034e-10
10087	-0.025151737576803203
10089	0.03370015194593975
1008	-0.009745781692443986
10090	0.04980925084258479
10092	-0.03614163466166054
10093	-0.0017187332833095061
10095	-0.001324269423327587
10096	0
10097	0.010718803837797516
10098	0.005438342984120242
10099	0.014333927932869042
1009	-0.004835554185019224
100	-0.05515960086133623
10100	-0.03969841159045515
10101	0.06297750800106588
10102	-0.0020494558049733574
10103	0.006922659898944692
10105	0.02302606575599591
10106	-0.008586211968718229
10107	-0.015070814845007437
10109	0
1010	0.0252692406213014
10110	0.07544822786704249
10111	0.013334997084858248
