gene	female-adult-coarse-1
10000	0.008250915757722748
10001	0.011103221938125957
10002	0.0080735820417981
10003	-0.034582000205916105
100048912	0.025323845799082038
10004	-0.01060286075144191
10005	0.03409199023928529
10006	0.0033459987954933506
10007	-0.03879360471637203
10009	0.01871797989531041
1000	-0.009048239401867502
10010	-0.022070438644216664
100126791	0.0076561575631603
100128124	-0.014926629594187966
100128640	0.01221629316561901
100129128	-0.013403786147487839
100129250	0.023760763157130133
100129271	-0.010911850908978853
100129361	0.007552709243306151
100129482	-0.027624694253779693
100130331	0.002762529460747198
100130449	-0.04977632834727589
100132341	9.139370092783395e-11
100132476	0.0012116442322223854
100134713	0.005528837745405183
100137047	-0.015008826522514368
10013	-0.02263241237143878
10014	6.282968451904126e-12
10015	4.368396502045137e-10
10016	-0.005560129954104689
10017	0.011232037837213016
100188893	-0.03269419103794899
10018	-0.03130617076260866
10019	-0.006699011182657904
1001	0
10020	-0.0010212174816714786
10021	-0.003988986285271151
10022	0
10023	3.763868557011676e-10
10024	7.650515213142701e-11
10025	0.038496065468119546
10026	1.1240716002161472e-9
100272147	0.02162137568604755
100287932	0.017915938484926286
100288413	0.04433447889876043
100289678	-0.005980103419384675
100293516	-0.007417427443902367
1002	-4.804401824585241e-4
100316904	0.004119851844829326
10036	-8.893279385666008e-4
10038	-0.01167911934075764
10039	-0.04656756642484936
1003	0.03475390050333917
10040	0.008270159737368714
10042	0.014367196281523473
10043	0.01133068471458617
10045	-0.05691699135870459
10046	0.0023864773607800965
10047	-0.019039766057506024
10048	-0.00859022075240444
10049	0.015850574710142843
1004	1.597932397706362e-4
100505741	0.019312815607927
100505761	0.010227529759199772
100505879	0.001626724973086071
100505933	0.005316884787598224
100506144	-0.004569199737918567
100506469	-0.001974848088341977
100506504	0.02344709293431992
100506571	6.76431121031843e-11
100506581	-0.037147750527205085
100506963	-0.007006231912077097
100507331	-0.017473393895254055
100507436	-0.043438714106057555
100507605	-0.011756903698354792
10050	-0.016078065720366456
10051	0.0071791032496716905
10052	-0.004286479401148636
10053	0.06136227222487914
10054	0.015804596054080175
10055	0.013649440796089237
10057	9.665477502539086e-11
10058	-0.0031961467140121406
10059	0.014177900067917519
1005	0.012264782798751175
10060	0.01324039988675651
10061	-0.0018876588871214858
10062	-0.02005706596881076
10066	0.008134350123714284
10067	2.8798550953511206e-11
10069	0.0020190238655691307
1006	0
10072	2.781666157723041e-10
10073	8.367854066027495e-11
10075	9.825013331825162e-11
10076	-0.011612247785751845
10077	-0.010443684618653384
10078	-1.59655510977251e-5
10079	0.004563949360460408
1007	0.03354163915330902
10083	1.4235084027047074e-10
10084	-0.02521794892911158
10085	0.005986470512016249
10086	0.003318033279571335
10087	-0.033034920600088336
10089	-0.026027545718449067
1008	-0.001485599334463513
10090	0.04965644352716547
10092	0.0010171500062896382
10093	-0.023621608256276842
10095	0.00953133462716489
10096	-0.02015819213473179
10097	3.250886153418672e-10
10098	0.06327296675702158
10099	-0.03743499412525911
1009	0.04927595283301044
100	0.020797438036412846
10100	-0.022434500589854953
10101	9.66564898222065e-12
10102	0.007123850175872356
10103	0.020538673283640795
10105	0.017499741831398453
10106	-0.03372129907576559
10107	0.02254753261035164
10109	0.023463791113656353
1010	0.05008686617963258
10110	0
10111	-0.01240208805875892
