gene	female-older_adult-fine-1
10000	0.002223259794519351
10001	-0.00546959744896394
10002	7.922778145258217e-4
10003	-0.017902759865943522
100048912	0
10004	0.0017613325307889002
10005	-0.007961960813401578
10006	0
10007	0
10009	5.607633769624694e-4
1000	0.02622050641736804
10010	0.026101748598287258
100126791	0.0011595601456929395
100128124	-0.0030581845389486915
100128640	-0.0011369636568657555
100129128	0.016252348393039535
100129250	0
100129271	-1.9625998650567265e-4
100129361	-0.010297694950212963
100129482	0.020910387474227944
100130331	-0.012838629739254906
100130449	-0.0322117377804397
100132341	0.016999337123249678
100132476	0
100134713	0.034143174609453195
100137047	0.03005857330624351
10013	-0.008500155226801115
10014	-0.009538261498280184
10015	0.0012731847340365543
10016	-0.018360722819776656
10017	-0.02815054439005536
100188893	-6.419094644593145e-10
10018	-0.01884483897165597
10019	-0.019592810352408643
1001	0.015630981135890166
10020	0.04162031879786816
10021	0.0030290713052807676
10022	-0.020761161297463977
10023	-0.04243521028298635
10024	0
10025	-0.033945350040090666
10026	0.0013158151705044635
100272147	0.024163138420039254
100287932	0
100288413	9.174025356765745e-7
100289678	0.018226520610077807
100293516	-0.002752366519890397
1002	0.023040003034760025
100316904	-0.012109928853311315
10036	-0.007548237773183032
10038	0.05799658416906985
10039	0.019004094925671705
1003	0.0016257107502108416
10040	-0.07247490211843836
10042	0.021675224405103267
10043	8.833674872315832e-4
10045	0.04495075347653024
10046	-0.009383835062959922
10047	0
10048	0.007188525778004474
10049	0.01092549802843971
1004	0.008561141995181078
100505741	0.0018560297762635811
100505761	-0.0029899601109822952
100505879	0
100505933	0
100506144	0.016104189742304455
100506469	3.2114917873075915e-4
100506504	-0.007937093140000094
100506571	-0.029315588651676917
100506581	-0.015953911839990984
100506963	-0.0040201653303747024
100507331	-0.013478308937863347
100507436	-0.013217859487587148
100507605	0.002158915444111266
10050	0.005921825196911945
10051	-0.04090003699379183
10052	7.639789781435805e-4
10053	-0.002542171146875204
10054	-6.039186731138962e-10
10055	0.00800991933787357
10057	0.030077705253217058
10058	0
10059	0
1005	-0.001874937644675779
10060	-0.015209524537746934
10061	-0.005230193067514746
10062	0
10066	-0.0029359559659075346
10067	0.005665880981066827
10069	0.0028061539707091095
1006	0
10072	-0.008228992392566279
10073	0
10075	-0.009420045843735144
10076	0.011145548273614267
10077	0
10078	0.021080673153488223
10079	-0.040649589555244996
1007	0.004507005510548519
10083	0.033372328040335415
10084	0.010387265336188193
10085	0.028120474676365446
10086	0.003591802760740863
10087	4.835780432910636e-4
10089	0.008906930239840578
