gene	female-infant-coarse-2
10000	0
10001	0
10002	0
10003	0.00521970297098044
100048912	0
10004	0
10005	0.0012953458391459416
10006	0
10007	-0.0038458910569779724
10009	0
1000	3.084588126311288e-5
10010	-0.002532342454181127
100126791	0
100128124	-0.0013524526137753223
100128640	0
100129128	0
100129250	0
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	0
100132476	0
100134713	8.882634131142925e-4
100137047	0
10013	0
10014	0
10015	0
10016	0
10017	0
100188893	0
10018	0
10019	0.008947921510778974
1001	0.007370116963830012
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	-0.003951240165771231
100272147	0
100287932	5.310145461461445e-4
100288413	0
100289678	0
100293516	0
1002	-1.5970245078204893e-4
100316904	-0.007530092822238351
10036	-0.002505585868763542
10038	0
10039	-0.0023738617836730077
1003	0
10040	-0.019701268074788055
10042	-0.002234552027681696
10043	8.614166345884232e-4
10045	0
10046	-0.0022432613123971623
10047	0
10048	0
10049	6.05254220977877e-4
1004	6.752166326435728e-4
100505741	0
100505761	0
100505879	0
100505933	0
100506144	-0.002177407036185774
100506469	-0.001215206492287994
100506504	0
100506571	0
100506581	0
100506963	-0.0038050447097800564
100507331	-1.7894057847096012e-4
100507436	-0.022537862716550266
100507605	0
10050	0
10051	0.004901580329934204
10052	0
10053	0
10054	0
10055	-0.005531903215180707
10057	-0.010394858122670663
10058	-0.0026310961660598016
10059	0
1005	0.008386507291042978
10060	0
10061	0
10062	-0.008258414864469082
10066	0
10067	0
10069	0
1006	0.005366054520031186
10072	0.0021723129990532017
10073	0
10075	0
10076	0
10077	0
10078	0
10079	0.026449238736184176
1007	0
10083	0
10084	0
10085	-0.0036703666663210196
10086	0
10087	0
10089	-0.004579580613557317
1008	0.01947558612048135
10090	0.010708930730652589
10092	-0.006978210039072337
10093	0
10095	0.004924915400630674
10096	0
10097	-0.003983792568667244
10098	0
10099	0.013267768855571899
1009	0
100	0.011461612922864347
10100	0.0012827746456214395
10101	0
10102	0
10103	0.001462455126137089
10105	-9.260106584977286e-4
10106	-0.007634830533254509
10107	0
10109	0
1010	0.008921281366232638
10110	0
10111	0
10112	0.0012703353413687007
10113	0
10114	-0.004804732793049614
10116	0
10120	0
10121	0
10123	0.018934633810617607
10125	0.002573472473154691
10126	-0.0022686876503478655
10127	0
10128	0
10129	0
1012	0.0033774072635825627
10130	4.100844994902941e-4
10131	0
10133	0
10134	-0.004297650434217525
10135	0
10136	0
10137	0
10138	0
10139	-1.443614168777768e-4
1013	-0.0018678341661256307
10140	0
10141	-0.0020543242797981033
10142	0
10144	0
10146	0
10147	0
10148	0.013088662097071876
10149	-0.007889676350144502
1014	0
10150	5.9389875570703414e-5
10152	-4.5358023323992784e-5
10153	0
10154	0.01371769034659585
10155	0
10157	-0.009724614598340545
10158	-0.03576477653077984
10159	0
1015	-0.0029603337676497397
10160	0
10161	0
10162	0
10163	0
10164	-9.343883185205774e-4
10165	-0.004213585523281346
10166	0
10168	0
1016	0
10170	0.02449409705561358
10171	-0.003522378816962463
10174	0
10175	0.006314735069135964
10178	6.705842692088886e-4
10179	0
1017	0
10180	0.006138685320448763
10181	0
10184	0.0036399349981118528
10186	-6.494168835482922e-4
10188	0
10190	0
10193	-0.0011852468201170904
10195	0
10196	0
10197	0
10198	0.0026276308460239373
10199	-6.074016549073688e-4
1019	-0.001133417555768877
101	0.004628555960445402
10200	0
10201	0
10202	0
10203	0.0035074826622911092
10205	-4.2461647180399545e-4
10206	0.011244510923334864
10207	-0.0033473337430165143
10208	1.6262440228456888e-4
10209	0
1020	0.005917935543601699
10210	-0.001063217289343444
10211	-6.704368029882184e-4
10212	0
10213	-0.0036773973938404943
10214	0
10215	-0.002143624165422071
10216	0
10217	-0.006014661832149846
10218	0
10219	0
1021	0
10220	0
10221	0
10223	0
10225	-0.0018442899522874466
