gene	female-infant-fine-1
10000	-0.004065724200771865
10001	0
10002	0
10003	0.014454525208582137
100048912	0
10004	-0.016683424782738702
10005	6.3916262684296e-4
10006	0
10007	0
10009	-0.002934665047447647
1000	0.006007601229605084
10010	0
100126791	0
100128124	0
100128640	0
100129128	0
100129250	0.0025202885516271986
100129271	0.004356884146831667
100129361	0
100129482	9.362482089820763e-4
100130331	0
100130449	0
100132341	0
100132476	0
100134713	0
100137047	0
10013	0
10014	0.0037897558513704027
10015	0
10016	0
10017	0
100188893	0
10018	0.0033598894278251638
10019	-0.002419472439887674
1001	0
10020	-0.008957962486094909
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100272147	-0.00318998633949363
100287932	0
100288413	0
100289678	0
100293516	-0.01308660905615659
1002	-0.013039308578629725
100316904	-0.004144826373430521
10036	0
10038	-0.008631902429774999
10039	-0.0063476107651918206
1003	-0.004017522033245353
10040	0
10042	-0.0033671300852280393
10043	0
10045	0.0022929799950281537
10046	0.0021811595250296285
10047	0
10048	0.00485598724535691
10049	-0.005603452444734474
1004	0.0010198176411661576
100505741	0.005945860330844238
100505761	0.013701253452254704
100505879	0
100505933	0
100506144	-0.02045628040931751
100506469	0
100506504	0
100506571	4.8766524733924124e-4
100506581	-0.0012064365603095192
100506963	0
100507331	0
100507436	-0.01512890208136054
100507605	0
10050	0
10051	0.008330269211913644
10052	0.003040442768453101
10053	0.0018077109799526556
10054	0.004331868851543904
10055	0
10057	-7.25729935862013e-4
10058	0
10059	0
1005	0
10060	0
10061	0
10062	-0.014169753091664645
10066	-0.0023308899597626193
10067	0
10069	0.004143008365550382
1006	0.0074979439126244265
10072	0
10073	-7.182952971832083e-4
10075	0
10076	0
10077	0.001628946515322047
10078	0
10079	-0.008424095895902156
1007	0.0034085312233013746
10083	0
10084	0
10085	0
10086	0
10087	0
10089	0
1008	0.00514577218862952
10090	0
10092	0
10093	0.0029132041232509966
10095	0
10096	3.453843452878542e-4
10097	0
10098	0
10099	0.009116817640939424
1009	0
100	0.01149823259329125
10100	0.017386752617987573
10101	0
10102	0
10103	0
10105	-4.315977181915522e-4
10106	-0.006332249159134084
10107	0
10109	0
1010	0.003319915482336067
10110	-0.002258049350627931
10111	0
10112	0
10113	-0.0041980608142949275
10114	-5.478725667490569e-4
10116	3.4747573832062006e-4
10120	0
10121	0
10123	0.013917501465161294
10125	6.183762711373105e-4
10126	6.037185050124499e-4
10127	0
10128	0
10129	-0.0011879753149241163
1012	0.0034103784318802585
10130	-0.0057077073758405065
10131	4.1242296951064496e-4
10133	0
10134	-0.0071004159133889865
10135	0.002733059967323564
10136	-3.161114527802503e-4
10137	0.00561516733001108
10138	0
10139	0
1013	0
10140	0.014530335078168814
10141	-0.0017091550635232155
10142	-0.008409409802747979
10144	0.002584839364726952
10146	-0.0014456851676520443
10147	0
10148	0
10149	0
1014	-1.7392382673037148e-4
10150	0
10152	0
10153	0
10154	0
10155	0
10157	0
10158	-0.043162535613027866
10159	8.352411203771782e-4
1015	2.911284585537167e-4
10160	0.0015642971609916801
10161	0.009238581655163024
10162	6.18550991233249e-5
10163	0
10164	0
10165	-0.007199941250403616
10166	0
10168	-0.0013701044865245648
1016	0
10170	-0.023641377831826897
10171	0
10174	0
10175	0.005727847183491352
10178	0.0051117558851086434
10179	0.011506221863435811
1017	-0.003515026567626129
10180	-0.0046982356630264595
10181	0
10184	0
10186	0
10188	0
10190	0
10193	0
10195	0
10196	0
10197	0
10198	0.003392347974730199
10199	-0.015093877511474412
1019	0
101	-0.002438928228245825
10200	0
10201	0
10202	-0.0034419951568134995
10203	0.0025356919152450456
10205	-7.488579157624596e-4
10206	0
10207	0
10208	0
10209	0
1020	3.7908494392202655e-4
10210	0
10211	-0.002068128902731519
10212	8.406589260752317e-4
10213	-0.0034442473202881173
10214	0
10215	-0.004051640547775567
10216	-9.231546385144284e-4
10217	-0.0077858163192063784
10218	0
10219	-0.009451496244152069
1021	0.00898185811219771
10220	0
10221	0
10223	0.016144323730005843
10225	0
10226	0
10227	0
10228	0
10229	0.004359793312938073
1022	-0.011249235919764808
10230	0
10231	-0.011287089837845314
10232	-0.0043002005437209
10233	0
10234	-0.013062758095183364
10235	0.00818621290838392
10236	-0.0069150422114821935
10237	0
10238	0
10240	-0.0034670862397058995
10241	-1.1014786124339094e-4
10242	0
10243	0
10244	0.0029112801292097033
10245	-0.007173489610985796
10246	0
10247	0.001034317432130079
10248	0.0015399530540361828
10249	0.004496020014318517
10250	-0.00860740354184218
10252	0.015499286414733587
10253	0
10254	0
10255	0
10256	0
10257	1.8950264719235768e-4
1025	0
10260	0.0029753066321919807
10261	-0.00992119880751934
10262	0
10263	-0.00499915663405377
10265	-0.0032981760795602936
10266	2.8257352673345275e-4
10267	0.00808173451883715
10268	9.306524695580199e-4
10269	0
1026	0.002403839666526881
10270	0
10272	0
10273	-0.002122154809629513
10274	0
10276	0
10277	-0.004255435852422472
10278	0
10279	-0.0066130681851336226
1027	0.007573100808701185
10280	0
10281	0
10282	0
10284	0
10285	0
10286	0
10287	-9.822238408100244e-4
10288	0.02217679245848964
10289	0.0037866694703108895
1028	0.017641072428544423
10290	0
10291	-8.340424648505909e-4
10293	0
10294	0
10295	0.0018969214402097445
10296	0
10297	0
10298	0
10299	-1.120811637767114e-4
1029	-0.0016372011964813915
102	0.004692748723731464
10300	0
10301	0.008814749621921907
10302	0
10307	0
10308	-3.844359320808612e-4
10309	0
1030	-0.0015264948130331764
10311	0
10312	-0.0019713992037322056
10313	0
10314	0
10316	-0.0026373256216981993
10317	0
10318	0
10319	0
1031	-0.0018681060188461074
10320	0
10321	8.513776722949696e-4
10322	-0.0036096533952410447
10324	-0.00863488319684143
10325	0
10327	0
10328	0
10329	-0.010950964549289736
1032	0.005617909070473272
10330	-0.003338289770235187
10331	0
10332	-0.0052697862285385555
10333	-0.008039289177824913
10336	0
