gene	male-elderly-coarse-3
10000	-0.006753806574665347
10001	-2.444059328926769e-9
10002	-0.0025441916573461123
10003	-3.736780026570213e-10
100048912	-8.684161926297703e-10
10004	-0.008566690866077704
10005	-2.360499126696444e-9
10006	-3.4684938036418147e-9
10007	-0.0030208296727395555
10009	-0.009367355271858044
1000	-0.030492400176809726
10010	-0.004283767577729841
100126791	0.0209090224678069
100128124	0.011214294831455243
100128640	0.00838849630162274
100129128	-0.001771250555054203
100129250	-2.0950580891259774e-9
100129271	-1.3345922886674959e-9
100129361	-0.0033488263177928767
100129482	-0.016645808503554103
100130331	-8.136510632956166e-10
100130449	-0.03643074681462111
100132341	-2.310524995043843e-9
100132476	-4.4356002019528e-10
100134713	-0.0043212133660980095
100137047	0.008346258521947434
10013	-2.5963001647816653e-9
10014	0.0011647030595865631
10015	-3.0257765419656477e-9
10016	-0.0028642386281753033
10017	2.6172771779521927e-4
100188893	-2.005353654200517e-9
10018	0.0016080277899754906
10019	-0.002634626287175052
1001	-0.001660012225036938
10020	0.012675030003570068
10021	0.0020686917701124474
10022	-0.008155435659287684
10023	-2.2296830232425355e-9
10024	-0.014429910692164366
10025	-1.518893729151389e-9
10026	-0.004797348136992602
100272147	-2.5708010094169733e-9
100287932	0.0042218466585943895
100288413	-0.019573064090143068
100289678	-2.9245024389225212e-9
100293516	-5.602444465102268e-4
1002	-5.349087438241307e-10
100316904	0.017240516967958072
10036	-0.009546180352291858
10038	-0.009152599172170534
10039	0.008662815641260554
1003	-3.506204647616688e-10
10040	-0.03426984769811431
10042	-0.0019357393243026864
10043	0.019186617597260397
10045	-0.020991784011881637
10046	-0.02241037563058194
10047	-0.005606089922834312
10048	-0.0017870583310426085
10049	-0.01665664998792693
1004	-0.017108788421538075
100505741	-0.009305500464487314
100505761	-0.006566361522340324
100505879	-7.186624462673333e-10
100505933	0.0028044783193174223
100506144	-2.5692033649183976e-9
100506469	-1.872602889219946e-9
100506504	0.003347908893322877
100506571	-0.005346672197143847
100506581	-0.0015284752265386369
100506963	-0.0141160428400296
100507331	-0.006347118103633061
