gene	male-infant-coarse-1
10000	-0.003168695641968954
10001	0.005135907737983964
10002	5.003381725558236e-4
10003	0.02288492570372695
100048912	0
10004	-0.02117116490456535
10005	0
10006	3.1578855609743444e-4
10007	-0.012135108821170679
10009	0
1000	1.3024966707057685e-5
10010	0.0014185840035954823
100126791	0
100128124	-9.461237035412354e-4
100128640	0
100129128	0
100129250	0.0020166076695360712
100129271	7.079627877947144e-4
100129361	0
100129482	0.003491477432155306
100130331	0.007003828388627028
100130449	-5.30495267015171e-4
100132341	0.005757618542249196
100132476	0
100134713	-0.0011616754531415742
100137047	-2.9690706396600013e-5
10013	0.0021838824525128846
10014	0.0024997891380020222
10015	0
10016	0
10017	0
100188893	0
10018	-0.0015062202581909553
10019	0.011186629501431237
1001	0
10020	-0.014312904110552045
10021	0
10022	0
10023	0.017666764904978004
10024	0.001327073060683383
10025	0
10026	0
100272147	0
100287932	0
100288413	-8.72660123974621e-4
100289678	0
100293516	0
1002	-0.016910196877234253
100316904	0.005218245639092357
10036	0
10038	0
10039	0
1003	-0.007332648166040697
10040	0
10042	-0.007440410787150766
10043	0
10045	-0.008536146259840033
10046	0.004974138936243375
10047	0
10048	0.0021605199429460963
10049	-0.0013079565532905105
1004	0
100505741	0.001211151933272765
100505761	0.011399657979436156
100505879	0
100505933	0
100506144	-0.02125004382391073
100506469	-5.177594505958877e-4
100506504	-1.8349221511533892e-4
100506571	0
100506581	6.648166101220537e-4
100506963	-0.0025497919113503954
100507331	-0.0012020616727817257
100507436	-0.01031115074501063
100507605	0
10050	0
10051	0.013981908943501303
10052	-0.0013735265840669367
10053	0
10054	0
10055	0
10057	-0.002273263840007192
10058	0.007366987403624757
10059	0
1005	0.006562070430755976
10060	0
10061	0
10062	-8.479579150096997e-4
10066	-0.0015262424178950536
10067	0
10069	0.0035569992719611367
1006	0.020727389988767213
10072	8.463321577732882e-4
10073	0
10075	0
10076	0
10077	-0.004864015587835923
10078	0.001311146565602082
10079	0
1007	0.0041857428596157155
10083	0
10084	0.0041189232797887035
10085	-3.3626072088307254e-4
10086	0
10087	0
10089	0
1008	0
10090	-7.367303451731902e-4
10092	0
10093	0.0022765693136836363
