gene	female-older_adult-coarse-1
10000	0.016492388038104395
10001	-6.104354164180147e-5
10002	0
10003	0.01608469380296605
100048912	-0.009242172460853485
10004	0.0011182883235162412
10005	-0.04087773782585951
10006	-0.008292835847146105
10007	0.036458510788512664
10009	-6.453922982863876e-5
1000	0.029415653841147416
10010	0.005294397048757367
100126791	-0.02546149915915673
100128124	0.014952618527858112
100128640	-0.011596912573177269
100129128	0.002588805702665161
100129250	-0.012637385030494655
100129271	-0.0029323611640798566
100129361	-0.010219400218955026
100129482	0.01923557706979492
100130331	-0.03242290047257368
100130449	0.07426248759224681
100132341	0.017213203605585276
100132476	-0.0021092543416944215
100134713	0
100137047	0.02394770872667177
10013	0.03136552549539448
10014	-0.0020559080898487573
10015	-0.01047439954346845
10016	0
10017	-6.087674893435454e-11
100188893	0.018401842475645122
10018	0.011043508723265932
10019	8.550830269128476e-4
1001	0.010799777864551677
10020	1.8867584041549056e-9
10021	0.002234765859441068
10022	0.020094810856359117
10023	0.004608126855773386
10024	0
10025	-0.031557758312080283
10026	0
100272147	0
100287932	-0.009278409981314868
100288413	-0.021147307260866173
100289678	0.0023361752004405615
100293516	-0.01976178437007955
1002	-0.00199648425702975
100316904	-0.0013898529938907317
10036	0
10038	0.03143177746364501
10039	0.05049453514309452
1003	-0.041125926648505715
10040	0.023245293597239473
10042	-8.302255786691806e-4
10043	-0.011935984924576261
10045	0.08078917375789971
10046	-0.027977835753672367
10047	0.006010688036853758
10048	0.0025962159359252585
10049	-1.6939996069365304e-10
1004	-0.006203260803780731
100505741	-0.017886311698553106
100505761	-0.020483179331520013
100505879	2.9451921525848067e-4
100505933	-0.0026699203073912753
100506144	0.013542159616532927
100506469	0
100506504	2.9771829061844844e-11
100506571	0.022422778623408673
100506581	0.0605236710374566
100506963	-0.024187666054727337
100507331	0.001248956509721568
100507436	0.028221274650947568
100507605	0.010113650402587606
10050	0.02841179106603683
10051	-0.036918440484864014
10052	0.004630145290877106
10053	-0.050008353227627214
10054	-2.5498884932325565e-4
10055	0.005842669132294988
10057	0.0060428016012882505
10058	-0.033017335045599096
10059	-0.0063108555974466796
1005	-0.0037213473074865135
10060	-0.009694598050154378
10061	0.005865670970095309
10062	-0.013157400285331166
10066	0
10067	0
10069	0.0028574642648957578
1006	0.00427130586163787
10072	-0.0059364992529247285
10073	0.013956420180333039
10075	0
10076	0.012637134513994182
10077	6.770570209145571e-4
10078	-0.017650671789196666
10079	8.367698401646411e-4
1007	-0.022734918451427992
10083	-0.01780446299070561
10084	0.040211379684073394
10085	0.02406804572181559
10086	-0.007524460332895536
