experiment	run	sex	age_group	fold
SRP053274	SRR2984383	female	infant	2
SRP053274	SRR2984386	female	infant	2
SRP053274	SRR2984394	female	infant	2
SRP053274	SRR2984373	female	infant	2
SRP053274	SRR1791589	female	infant	2
SRP053274	SRR2984375	female	infant	2
ERP104782	ERR2174146	female	infant	4
ERP104782	ERR2174145	female	infant	4
ERP104782	ERR2174144	female	infant	4
ERP104782	ERR2174143	female	infant	4
SRP192714	SRR8908807	female	young_child	1
SRP192714	SRR8908816	female	young_child	1
SRP192714	SRR8908827	female	young_child	1
SRP192714	SRR8908804	female	young_child	1
SRP192714	SRR8908830	female	young_child	1
SRP192714	SRR8908823	female	young_child	1
SRP192714	SRR8908802	female	young_child	1
SRP192714	SRR8908808	female	young_child	1
SRP192714	SRR8908831	female	young_child	1
SRP192714	SRR8908821	female	young_child	1
SRP192714	SRR8908812	female	young_child	1
SRP192714	SRR8908800	female	young_child	1
SRP192714	SRR8908809	female	young_child	1
SRP192714	SRR8908820	female	young_child	1
SRP192714	SRR8908810	female	young_child	1
SRP192714	SRR8908801	female	young_child	1
SRP192714	SRR8908818	female	young_child	1
SRP192714	SRR8908834	female	young_child	1
SRP192714	SRR8908835	female	young_child	1
SRP192714	SRR8908814	female	young_child	1
SRP192714	SRR8908817	female	young_child	1
SRP192714	SRR8908826	female	young_child	1
SRP192714	SRR8908828	female	young_child	1
SRP192714	SRR8908813	female	young_child	1
SRP192714	SRR8908825	female	young_child	1
SRP192714	SRR8908806	female	young_child	1
SRP192714	SRR8908824	female	young_child	1
SRP192714	SRR8908811	female	young_child	1
SRP192714	SRR8908822	female	young_child	1
SRP192714	SRR8908805	female	young_child	1
SRP192714	SRR8908833	female	young_child	1
SRP192714	SRR8908815	female	young_child	1
SRP192714	SRR8908829	female	young_child	1
SRP192714	SRR8908803	female	young_child	1
SRP192714	SRR8908832	female	young_child	1
SRP192714	SRR8908819	female	young_child	1
SRP105312	SRR5483035	female	young_child	4
